"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"N_1","F5","Walk","Walk",0,0,0,"",2575.2345526765,1,10,2575.2345526765,0,2000,0,2.86137172519611
"N_1","F4","Walk","Walk",0,0,0,"",3276.86157148225,2,10,3276.86157148225,0,2000,0,3.64095730164694
"N_10","B4","Walk","Walk",0,0,0,"",815.464243931231,3,10,815.464243931231,0,2000,0,0.906071382145813
"N_10","B3","Walk","Walk",0,0,0,"",1087.09841272576,4,10,1087.09841272576,0,2000,0,1.20788712525085
"N_10","B5","Walk","Walk",0,0,0,"",1566.03924848931,5,10,1566.03924848931,0,2000,0,1.74004360943257
"N_100","B24","Walk","Walk",0,0,0,"",4283.01379434203,6,10,4283.01379434203,0,2000,0,4.75890421593559
"N_100","B25","Walk","Walk",0,0,0,"",4600.91426605867,7,10,4600.91426605867,0,2000,0,5.11212696228741
"N_1000","F6","Walk","Walk",0,0,0,"",1166.41637620564,8,10,1166.41637620564,0,2000,0,1.29601819578405
"N_1000","D6","Walk","Walk",0,0,0,"",4854.61643173594,9,10,4854.61643173594,0,2000,0,5.39401825748437
"N_10004","D5","Walk","Walk",0,0,0,"",7682.33498796415,10,10,7682.33498796415,0,2000,0,8.53592776440462
"N_10004","B1","Walk","Walk",0,0,0,"",10432.3433025467,11,10,10432.3433025467,0,2000,0,11.5914925583852
"N_10005","B2","Walk","Walk",0,0,0,"",1364.71648193551,12,10,1364.71648193551,0,2000,0,1.51635164659501
"N_10005","D6","Walk","Walk",0,0,0,"",1479.43476377174,13,10,1479.43476377174,0,2000,0,1.64381640419082
"N_10006","B2","Walk","Walk",0,0,0,"",1374.55348926537,14,10,1374.55348926537,0,2000,0,1.5272816547393
"N_10006","D6","Walk","Walk",0,0,0,"",1571.0969811096,15,10,1571.0969811096,0,2000,0,1.745663312344
"N_10007","B2","Walk","Walk",0,0,0,"",1355.64965277558,16,10,1355.64965277558,0,2000,0,1.50627739197287
"N_10007","D6","Walk","Walk",0,0,0,"",1485.66809898185,17,10,1485.66809898185,0,2000,0,1.65074233220206
"N_10008","B2","Walk","Walk",0,0,0,"",1309.75842435611,18,10,1309.75842435611,0,2000,0,1.45528713817346
"N_10008","D6","Walk","Walk",0,0,0,"",1491.39174534838,19,10,1491.39174534838,0,2000,0,1.65710193927598
"N_10009","D7","Walk","Walk",0,0,0,"",1254.93764786614,20,10,1254.93764786614,0,2000,0,1.39437516429571
"N_10009","D6","Walk","Walk",0,0,0,"",3920.85163453161,21,10,3920.85163453161,0,2000,0,4.35650181614623
"N_1001","F6","Walk","Walk",0,0,0,"",1159.44472169611,22,10,1159.44472169611,0,2000,0,1.28827191299568
"N_1001","D6","Walk","Walk",0,0,0,"",4815.69995928738,23,10,4815.69995928738,0,2000,0,5.35077773254153
"N_10011","D6","Walk","Walk",0,0,0,"",2692.17627213117,24,10,2692.17627213117,0,2000,0,2.99130696903464
"N_10011","D7","Walk","Walk",0,0,0,"",2957.88360161566,25,10,2957.88360161566,0,2000,0,3.28653733512851
"N_10012","D6","Walk","Walk",0,0,0,"",2674.85558669679,26,10,2674.85558669679,0,2000,0,2.97206176299644
"N_10012","D7","Walk","Walk",0,0,0,"",2986.98219539524,27,10,2986.98219539524,0,2000,0,3.31886910599471
"N_10013","B24","Walk","Walk",0,0,0,"",7104.46057445722,28,10,7104.46057445722,0,2000,0,7.89384508273025
"N_10013","B25","Walk","Walk",0,0,0,"",7385.9587332331,29,10,7385.9587332331,0,2000,0,8.20662081470345
"N_10014","B24","Walk","Walk",0,0,0,"",7074.97919102099,30,10,7074.97919102099,0,2000,0,7.86108799002332
"N_10014","B25","Walk","Walk",0,0,0,"",7358.32432257053,31,10,7358.32432257053,0,2000,0,8.17591591396725
"N_10015","B24","Walk","Walk",0,0,0,"",7074.24387930718,32,10,7074.24387930718,0,2000,0,7.86027097700798
"N_10015","B25","Walk","Walk",0,0,0,"",7357.25657161718,33,10,7357.25657161718,0,2000,0,8.17472952401909
"N_10016","B24","Walk","Walk",0,0,0,"",7044.01268892785,34,10,7044.01268892785,0,2000,0,7.82668076547539
"N_10016","B25","Walk","Walk",0,0,0,"",7325.9987249003,35,10,7325.9987249003,0,2000,0,8.13999858322256
"N_10017","B18","Walk","Walk",0,0,0,"",219.553065560157,36,10,219.553065560157,0,2000,0,0.243947850622397
"N_10017","B19","Walk","Walk",0,0,0,"",277.031162266537,37,10,277.031162266537,0,2000,0,0.307812402518374
"N_10017","B17","Walk","Walk",0,0,0,"",415.867981196966,38,10,415.867981196966,0,2000,0,0.462075534663295
"N_10017","D9","Walk","Walk",0,0,0,"",689.900181428526,39,10,689.900181428526,0,2000,0,0.766555757142807
"N_10017","B16","Walk","Walk",0,0,0,"",740.514706717582,40,10,740.514706717582,0,2000,0,0.822794118575091
"N_10018","A6","Walk","Walk",0,0,0,"",451.943083909965,41,10,451.943083909965,0,2000,0,0.502158982122183
"N_10018","A5","Walk","Walk",0,0,0,"",698.271443783957,42,10,698.271443783957,0,2000,0,0.775857159759952
"N_10018","B16","Walk","Walk",0,0,0,"",846.72569614925,43,10,846.72569614925,0,2000,0,0.940806329054722
"N_10018","B17","Walk","Walk",0,0,0,"",874.436070172911,44,10,874.436070172911,0,2000,0,0.971595633525457
"N_10018","B18","Walk","Walk",0,0,0,"",927.931304848714,45,10,927.931304848714,0,2000,0,1.03103478316524
"N_10019","B18","Walk","Walk",0,0,0,"",194.383310836787,46,10,194.383310836787,0,2000,0,0.215981456485319
"N_10019","B19","Walk","Walk",0,0,0,"",243.856690220116,47,10,243.856690220116,0,2000,0,0.270951878022351
"N_10019","B17","Walk","Walk",0,0,0,"",441.183443718037,48,10,441.183443718037,0,2000,0,0.490203826353375
"N_10019","D9","Walk","Walk",0,0,0,"",706.049518887216,49,10,706.049518887216,0,2000,0,0.784499465430241
"N_10019","B16","Walk","Walk",0,0,0,"",775.031324332812,50,10,775.031324332812,0,2000,0,0.861145915925347
"N_1002","F6","Walk","Walk",0,0,0,"",1588.41282181089,51,10,1588.41282181089,0,2000,0,1.76490313534543
"N_1002","D6","Walk","Walk",0,0,0,"",3752.93621333815,52,10,3752.93621333815,0,2000,0,4.16992912593127
"N_10020","F6","Walk","Walk",0,0,0,"",5693.23546408797,53,10,5693.23546408797,0,2000,0,6.32581718231997
"N_10020","F5","Walk","Walk",0,0,0,"",6498.01979393948,54,10,6498.01979393948,0,2000,0,7.22002199326609
"N_10021","B4","Walk","Walk",0,0,0,"",3235.22669326849,55,10,3235.22669326849,0,2000,0,3.59469632585388
"N_10021","B3","Walk","Walk",0,0,0,"",3336.33995648694,56,10,3336.33995648694,0,2000,0,3.7070443960966
"N_10029","A1","Walk","Walk",0,0,0,"",2532.12941290971,57,10,2532.12941290971,0,2000,0,2.81347712545524
"N_10029","D9","Walk","Walk",0,0,0,"",2666.96324301465,58,10,2666.96324301465,0,2000,0,2.9632924922385
"N_1003","F5","Walk","Walk",0,0,0,"",1905.80956599816,59,10,1905.80956599816,0,2000,0,2.1175661844424
"N_1003","F4","Walk","Walk",0,0,0,"",3895.20931968315,60,10,3895.20931968315,0,2000,0,4.3280103552035
"N_10030","A1","Walk","Walk",0,0,0,"",2313.87375711389,61,10,2313.87375711389,0,2000,0,2.57097084123765
"N_10030","D9","Walk","Walk",0,0,0,"",2414.31882591182,62,10,2414.31882591182,0,2000,0,2.68257647323536
"N_10031","A1","Walk","Walk",0,0,0,"",2514.69916356487,63,10,2514.69916356487,0,2000,0,2.79411018173875
"N_10031","D9","Walk","Walk",0,0,0,"",2665.28711759247,64,10,2665.28711759247,0,2000,0,2.9614301306583
"N_10032","A1","Walk","Walk",0,0,0,"",2484.03612678176,65,10,2484.03612678176,0,2000,0,2.76004014086862
"N_10032","D9","Walk","Walk",0,0,0,"",2634.25143121364,66,10,2634.25143121364,0,2000,0,2.92694603468183
"N_10033","A1","Walk","Walk",0,0,0,"",7439.34790734915,67,10,7439.34790734915,0,2000,0,8.26594211927683
"N_10033","A2","Walk","Walk",0,0,0,"",7866.68679172204,68,10,7866.68679172204,0,2000,0,8.74076310191338
"N_10034","B26","Walk","Walk",0,0,0,"",1727.72792439658,69,10,1727.72792439658,0,2000,0,1.91969769377398
"N_10034","B27","Walk","Walk",0,0,0,"",1859.22180556861,70,10,1859.22180556861,0,2000,0,2.06580200618734
"N_10035","A14","Walk","Walk",0,0,0,"",2914.82402485642,71,10,2914.82402485642,0,2000,0,3.23869336095158
"N_10035","A13","Walk","Walk",0,0,0,"",4999.10367327034,72,10,4999.10367327034,0,2000,0,5.55455963696704
