"stop_id","stop_code","stop_name","stop_lat","stop_lon","EZLink_Name","Type","stopType"
"N_1","N_1","N_1",39.0972771,-76.8004246,"N_1",0,0
"N_2","N_2","N_2",39.1094928,-76.7842974,"N_2",0,0
"N_3","N_3","N_3",39.13618,-76.7572928,"N_3",0,0
"N_4","N_4","N_4",39.1643372,-76.7362945,"N_4",0,0
"N_5","N_5","N_5",39.2050163,-76.6894442,"N_5",0,0
"N_6","N_6","N_6",39.2099672,-76.6830219,"N_6",0,0
"N_7","N_7","N_7",39.2063311,-76.5903871,"N_7",0,0
"N_8","N_8","N_8",39.2036437,-76.6275535,"N_8",0,0
"N_9","N_9","N_9",39.2033571,-76.6355126,"N_9",0,0
"N_10","N_10","N_10",39.2066508,-76.6422518,"N_10",0,0
"N_11","N_11","N_11",39.2235876,-76.8060996,"N_11",0,0
"N_12","N_12","N_12",39.2245518,-76.8061213,"N_12",0,0
"N_13","N_13","N_13",39.2247938,-76.8058164,"N_13",0,0
"N_14","N_14","N_14",39.2245618,-76.8058516,"N_14",0,0
"N_15","N_15","N_15",39.2162242,-76.795372,"N_15",0,0
"N_16","N_16","N_16",39.2096361,-76.7941561,"N_16",0,0
"N_17","N_17","N_17",39.2077833,-76.7876658,"N_17",0,0
"N_18","N_18","N_18",39.2015464,-76.7720178,"N_18",0,0
"N_19","N_19","N_19",39.2671348,-76.6219776,"N_19",0,0
"N_20","N_20","N_20",39.1920538,-76.7718036,"N_20",0,0
"N_21","N_21","N_21",39.2649931,-76.5638923,"N_21",0,0
"N_22","N_22","N_22",39.2684127,-76.5596603,"N_22",0,0
"N_23","N_23","N_23",39.2725483,-76.5545014,"N_23",0,0
"N_24","N_24","N_24",39.2840764,-76.5465315,"N_24",0,0
"N_25","N_25","N_25",39.2072421,-76.7825718,"N_25",0,0
"N_26","N_26","N_26",39.2074572,-76.7824742,"N_26",0,0
"N_27","N_27","N_27",39.2071865,-76.782367,"N_27",0,0
"N_28","N_28","N_28",39.2083174,-76.7828559,"N_28",0,0
"N_29","N_29","N_29",39.2085644,-76.782804,"N_29",0,0
"N_30","N_30","N_30",39.2085902,-76.7829728,"N_30",0,0
"N_31","N_31","N_31",39.183929,-76.8965795,"N_31",0,0
"N_32","N_32","N_32",39.1608406,-76.7159922,"N_32",0,0
"N_33","N_33","N_33",39.1624671,-76.711825,"N_33",0,0
"N_34","N_34","N_34",39.1604922,-76.6827205,"N_34",0,0
"N_35","N_35","N_35",39.1633297,-76.6585433,"N_35",0,0
"N_36","N_36","N_36",39.1592016,-76.7134644,"N_36",0,0
"N_37","N_37","N_37",39.1801187,-76.7077859,"N_37",0,0
"N_38","N_38","N_38",39.1777587,-76.690449,"N_38",0,0
"N_39","N_39","N_39",39.3216934,-76.6313616,"N_39",0,0
"N_40","N_40","N_40",39.3210227,-76.6309308,"N_40",0,0
"N_41","N_41","N_41",39.3085746,-76.6189759,"N_41",0,0
"N_42","N_42","N_42",39.1595771,-76.7175455,"N_42",0,0
"N_43","N_43","N_43",39.1592856,-76.7179423,"N_43",0,0
"N_44","N_44","N_44",39.1538885,-76.7212359,"N_44",0,0
"N_45","N_45","N_45",39.1525945,-76.7272703,"N_45",0,0
"N_46","N_46","N_46",39.1599494,-76.7174884,"N_46",0,0
"N_47","N_47","N_47",39.159422,-76.7181382,"N_47",0,0
"N_48","N_48","N_48",39.1540305,-76.7213768,"N_48",0,0
"N_49","N_49","N_49",39.1562562,-76.7196813,"N_49",0,0
"N_50","N_50","N_50",39.1767064,-76.6931744,"N_50",0,0
"N_51","N_51","N_51",39.1779092,-76.6915637,"N_51",0,0
"N_52","N_52","N_52",39.1847705,-76.6897981,"N_52",0,0
"N_53","N_53","N_53",39.1904022,-76.6771115,"N_53",0,0
"N_54","N_54","N_54",39.1903633,-76.6762747,"N_54",0,0
"N_55","N_55","N_55",39.1585024,-76.6946339,"N_55",0,0
"N_56","N_56","N_56",39.1851599,-76.6903572,"N_56",0,0
"N_57","N_57","N_57",39.1916536,-76.6917003,"N_57",0,0
"N_58","N_58","N_58",39.1627982,-76.6958098,"N_58",0,0
"N_59","N_59","N_59",39.1969495,-76.9240976,"N_59",0,0
"N_60","N_60","N_60",39.1880047,-76.9222606,"N_60",0,0
"N_61","N_61","N_61",39.38905,-76.722301,"N_61",0,0
"N_62","N_62","N_62",39.38917,-76.7219985,"N_62",0,0
"N_63","N_63","N_63",39.3892223,-76.7218746,"N_63",0,0
"N_64","N_64","N_64",39.3893413,-76.7215874,"N_64",0,0
"N_65","N_65","N_65",39.3900398,-76.7136548,"N_65",0,0
"N_66","N_66","N_66",39.3900701,-76.7132114,"N_66",0,0
"N_67","N_67","N_67",39.3900841,-76.7130734,"N_67",0,0
"N_68","N_68","N_68",39.235861,-76.471003,"N_68",0,0
"N_69","N_69","N_69",39.2361799,-76.471047,"N_69",0,0
"N_70","N_70","N_70",39.236295,-76.4710717,"N_70",0,0
"N_71","N_71","N_71",39.2119941,-76.8948533,"N_71",0,0
"N_72","N_72","N_72",39.2806458,-76.5060017,"N_72",0,0
"N_73","N_73","N_73",39.2818882,-76.5058422,"N_73",0,0
"N_74","N_74","N_74",39.2405665,-76.8363288,"N_74",0,0
"N_75","N_75","N_75",39.3407688,-77.0646032,"N_75",0,0
"N_76","N_76","N_76",39.344666,-77.0700214,"N_76",0,0
"N_77","N_77","N_77",39.3447864,-77.0705377,"N_77",0,0
"N_78","N_78","N_78",39.3450176,-77.071966,"N_78",0,0
"N_79","N_79","N_79",39.3448657,-77.0778935,"N_79",0,0
"N_80","N_80","N_80",39.3958665,-76.5743347,"N_80",0,0
"N_81","N_81","N_81",39.1306593,-76.794653,"N_81",0,0
"N_82","N_82","N_82",39.1105302,-76.836092,"N_82",0,0
"N_83","N_83","N_83",39.1108621,-76.8367988,"N_83",0,0
"N_84","N_84","N_84",39.3950026,-76.6871706,"N_84",0,0
"N_85","N_85","N_85",39.394897,-76.6874949,"N_85",0,0
"N_86","N_86","N_86",39.1864557,-76.7599196,"N_86",0,0
