"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
248,247,"Walk","Walk",0,0,0,"",308.005730646942,1,10,308.005730646942,0,616.011461293885,0,0.342228589607714
249,247,"Walk","Walk",0,0,0,"",523.643025863987,2,10,523.643025863987,0,1047.28605172797,0,0.581825584293319
247,248,"Walk","Walk",0,0,0,"",308.005730646818,3,10,308.005730646818,0,616.011461293636,0,0.342228589607575
249,248,"Walk","Walk",0,0,0,"",233.668513087253,4,10,233.668513087253,0,467.337026174505,0,0.259631681208058
247,249,"Walk","Walk",0,0,0,"",523.643025863999,5,10,523.643025863999,0,1047.286051728,0,0.581825584293332
248,249,"Walk","Walk",0,0,0,"",233.668513087165,6,10,233.668513087165,0,467.33702617433,0,0.259631681207961
251,250,"Walk","Walk",0,0,0,"",292.756423550029,7,10,292.756423550029,0,585.512847100059,0,0.325284915055588
252,250,"Walk","Walk",0,0,0,"",392.967078533522,8,10,392.967078533522,0,785.934157067045,0,0.436630087259469
253,250,"Walk","Walk",0,0,0,"",567.796723266863,9,10,567.796723266863,0,1135.59344653373,0,0.630885248074292
254,250,"Walk","Walk",0,0,0,"",378.034208164994,10,10,378.034208164994,0,756.068416329988,0,0.420038009072215
250,251,"Walk","Walk",0,0,0,"",292.756423550155,11,10,292.756423550155,0,585.51284710031,0,0.325284915055728
252,251,"Walk","Walk",0,0,0,"",180.099766967971,12,10,180.099766967971,0,360.199533935943,0,0.200110852186635
253,251,"Walk","Walk",0,0,0,"",366.077806109213,13,10,366.077806109213,0,732.155612218425,0,0.406753117899125
254,251,"Walk","Walk",0,0,0,"",601.352538407762,14,10,601.352538407762,0,1202.70507681552,0,0.668169487119736
250,252,"Walk","Walk",0,0,0,"",392.96707853318,15,10,392.96707853318,0,785.93415706636,0,0.436630087259089
251,252,"Walk","Walk",0,0,0,"",180.099766967802,16,10,180.099766967802,0,360.199533935604,0,0.200110852186447
253,252,"Walk","Walk",0,0,0,"",189.8293864037,17,10,189.8293864037,0,379.6587728074,0,0.210921540448555
254,252,"Walk","Walk",0,0,0,"",596.907123420767,18,10,596.907123420767,0,1193.81424684153,0,0.663230137134186
250,253,"Walk","Walk",0,0,0,"",567.7967232668,19,10,567.7967232668,0,1135.5934465336,0,0.630885248074223
251,253,"Walk","Walk",0,0,0,"",366.077806109053,20,10,366.077806109053,0,732.155612218105,0,0.406753117898947
252,253,"Walk","Walk",0,0,0,"",189.82938640373,21,10,189.82938640373,0,379.658772807461,0,0.210921540448589
254,253,"Walk","Walk",0,0,0,"",695.544088243866,22,10,695.544088243866,0,1391.08817648773,0,0.772826764715407
250,254,"Walk","Walk",0,0,0,"",378.034208164845,23,10,378.034208164845,0,756.06841632969,0,0.42003800907205
251,254,"Walk","Walk",0,0,0,"",601.35253840768,24,10,601.35253840768,0,1202.70507681536,0,0.668169487119645
252,254,"Walk","Walk",0,0,0,"",596.907123420751,25,10,596.907123420751,0,1193.8142468415,0,0.663230137134167
253,254,"Walk","Walk",0,0,0,"",695.544088243482,26,10,695.544088243482,0,1391.08817648696,0,0.77282676471498
255,254,"Walk","Walk",0,0,0,"",702.904545141377,27,10,702.904545141377,0,1405.80909028275,0,0.781005050157085
254,255,"Walk","Walk",0,0,0,"",702.904545141318,28,10,702.904545141318,0,1405.80909028264,0,0.78100505015702
272,261,"Walk","Walk",0,0,0,"",324.86959583462,29,10,324.86959583462,0,649.73919166924,0,0.360966217594022
261,272,"Walk","Walk",0,0,0,"",324.869595834691,30,10,324.869595834691,0,649.739191669381,0,0.360966217594101
281,280,"Walk","Walk",0,0,0,"",269.777580710908,31,10,269.777580710908,0,539.555161421816,0,0.299752867456565
284,280,"Walk","Walk",0,0,0,"",687.084928504437,32,10,687.084928504437,0,1374.16985700887,0,0.763427698338264
285,280,"Walk","Walk",0,0,0,"",639.712253633193,33,10,639.712253633193,0,1279.42450726639,0,0.710791392925769
280,281,"Walk","Walk",0,0,0,"",269.777580710794,34,10,269.777580710794,0,539.555161421588,0,0.299752867456438
283,282,"Walk","Walk",0,0,0,"",311.909595715796,35,10,311.909595715796,0,623.819191431592,0,0.346566217461995
282,283,"Walk","Walk",0,0,0,"",311.90959571628,36,10,311.90959571628,0,623.819191432559,0,0.346566217462533
280,284,"Walk","Walk",0,0,0,"",687.08492850458,37,10,687.08492850458,0,1374.16985700916,0,0.763427698338423
285,284,"Walk","Walk",0,0,0,"",300.395657877727,38,10,300.395657877727,0,600.791315755454,0,0.333772953197474
280,285,"Walk","Walk",0,0,0,"",639.712253632877,39,10,639.712253632877,0,1279.42450726575,0,0.710791392925419
284,285,"Walk","Walk",0,0,0,"",300.395657877744,40,10,300.395657877744,0,600.791315755487,0,0.333772953197493
382,375,"Walk","Walk",0,0,0,"",290.729780791207,41,10,290.729780791207,0,581.459561582413,0,0.323033089768007
375,382,"Walk","Walk",0,0,0,"",290.729780791286,42,10,290.729780791286,0,581.459561582573,0,0.323033089768096
1382,1228,"Walk","Walk",0,0,0,"",674.305779101416,43,10,674.305779101416,0,1348.61155820283,0,0.749228643446018
1383,1228,"Walk","Walk",0,0,0,"",297.478882923802,44,10,297.478882923802,0,594.957765847603,0,0.330532092137557
1384,1228,"Walk","Walk",0,0,0,"",328.71896210691,45,10,328.71896210691,0,657.437924213819,0,0.3652432912299
2912,1228,"Walk","Walk",0,0,0,"",528.212136592684,46,10,528.212136592684,0,1056.42427318537,0,0.586902373991871
1235,1233,"Walk","Walk",0,0,0,"",329.690886619893,47,10,329.690886619893,0,659.381773239786,0,0.366323207355437
1236,1233,"Walk","Walk",0,0,0,"",458.811966819911,48,10,458.811966819911,0,917.623933639822,0,0.509791074244346
3752,1233,"Walk","Walk",0,0,0,"",694.124304786864,49,10,694.124304786864,0,1388.24860957373,0,0.77124922754096
4248,1233,"Walk","Walk",0,0,0,"",364.973873759505,50,10,364.973873759505,0,729.947747519009,0,0.40552652639945
5505,1233,"Walk","Walk",0,0,0,"",652.720871793667,51,10,652.720871793667,0,1305.44174358733,0,0.725245413104074
1233,1235,"Walk","Walk",0,0,0,"",329.690886619592,52,10,329.690886619592,0,659.381773239183,0,0.366323207355102
1236,1235,"Walk","Walk",0,0,0,"",132.838062937556,53,10,132.838062937556,0,265.676125875112,0,0.147597847708396
1237,1235,"Walk","Walk",0,0,0,"",414.172307773013,54,10,414.172307773013,0,828.344615546026,0,0.460191453081126
1238,1235,"Walk","Walk",0,0,0,"",414.29241529601,55,10,414.29241529601,0,828.58483059202,0,0.460324905884455
2841,1235,"Walk","Walk",0,0,0,"",668.231527261512,56,10,668.231527261512,0,1336.46305452302,0,0.742479474735014
3752,1235,"Walk","Walk",0,0,0,"",613.874566536823,57,10,613.874566536823,0,1227.74913307365,0,0.682082851707582
3753,1235,"Walk","Walk",0,0,0,"",666.292110370714,58,10,666.292110370714,0,1332.58422074143,0,0.740324567078571
4248,1235,"Walk","Walk",0,0,0,"",679.243573558173,59,10,679.243573558173,0,1358.48714711635,0,0.754715081731303
5505,1235,"Walk","Walk",0,0,0,"",510.036018449533,60,10,510.036018449533,0,1020.07203689907,0,0.566706687166147
5961,1235,"Walk","Walk",0,0,0,"",636.263392701787,61,10,636.263392701787,0,1272.52678540357,0,0.706959325224207
1233,1236,"Walk","Walk",0,0,0,"",458.811966819934,62,10,458.811966819934,0,917.623933639869,0,0.509791074244372
1235,1236,"Walk","Walk",0,0,0,"",132.838062938022,63,10,132.838062938022,0,265.676125876045,0,0.147597847708914
1237,1236,"Walk","Walk",0,0,0,"",281.334311865123,64,10,281.334311865123,0,562.668623730245,0,0.312593679850136
1238,1236,"Walk","Walk",0,0,0,"",281.49866894003,65,10,281.49866894003,0,562.997337880061,0,0.312776298822256
2841,1236,"Walk","Walk",0,0,0,"",547.429279413363,66,10,547.429279413363,0,1094.85855882673,0,0.608254754903737
3752,1236,"Walk","Walk",0,0,0,"",592.263170488416,67,10,592.263170488416,0,1184.52634097683,0,0.658070189431573
3753,1236,"Walk","Walk",0,0,0,"",616.66438545079,68,10,616.66438545079,0,1233.32877090158,0,0.685182650500878
5505,1236,"Walk","Walk",0,0,0,"",540.929751890286,69,10,540.929751890286,0,1081.85950378057,0,0.601033057655873
5961,1236,"Walk","Walk",0,0,0,"",508.055470428329,70,10,508.055470428329,0,1016.11094085666,0,0.564506078253699
1235,1237,"Walk","Walk",0,0,0,"",414.172307773055,71,10,414.172307773055,0,828.344615546109,0,0.460191453081172
1236,1237,"Walk","Walk",0,0,0,"",281.334311864961,72,10,281.334311864961,0,562.668623729923,0,0.312593679849957
1238,1237,"Walk","Walk",0,0,0,"",9.16332769997162,73,10,9.16332769997162,0,18.3266553999432,0,0.0101814752221907
2841,1237,"Walk","Walk",0,0,0,"",324.580939359908,74,10,324.580939359908,0,649.161878719817,0,0.360645488177676
2843,1237,"Walk","Walk",0,0,0,"",494.303985696571,75,10,494.303985696571,0,988.607971393143,0,0.549226650773968
3752,1237,"Walk","Walk",0,0,0,"",641.627442082741,76,10,641.627442082741,0,1283.25488416548,0,0.712919380091934
3753,1237,"Walk","Walk",0,0,0,"",601.285734838343,77,10,601.285734838343,0,1202.57146967669,0,0.668095260931493
3756,1237,"Walk","Walk",0,0,0,"",641.701454603985,78,10,641.701454603985,0,1283.40290920797,0,0.713001616226649
5505,1237,"Walk","Walk",0,0,0,"",691.546963768139,79,10,691.546963768139,0,1383.09392753628,0,0.768385515297932
5961,1237,"Walk","Walk",0,0,0,"",253.038661643501,80,10,253.038661643501,0,506.077323287002,0,0.281154068492779
1235,1238,"Walk","Walk",0,0,0,"",414.292415295797,81,10,414.292415295797,0,828.584830591593,0,0.460324905884219
1236,1238,"Walk","Walk",0,0,0,"",281.49866894063,82,10,281.49866894063,0,562.997337881261,0,0.312776298822923
1237,1238,"Walk","Walk",0,0,0,"",9.1633276999858,83,10,9.1633276999858,0,18.3266553999716,0,0.0101814752222064
2841,1238,"Walk","Walk",0,0,0,"",317.512417065361,84,10,317.512417065361,0,635.024834130722,0,0.352791574517068
2843,1238,"Walk","Walk",0,0,0,"",494.2167000008,85,10,494.2167000008,0,988.4334000016,0,0.549129666667555
3752,1238,"Walk","Walk",0,0,0,"",650.088621373057,86,10,650.088621373057,0,1300.17724274611,0,0.722320690414507
3753,1238,"Walk","Walk",0,0,0,"",610.306614756307,87,10,610.306614756307,0,1220.61322951261,0,0.678118460840341
3756,1238,"Walk","Walk",0,0,0,"",650.161887852885,88,10,650.161887852885,0,1300.32377570577,0,0.722402097614317
5505,1238,"Walk","Walk",0,0,0,"",684.871171328381,89,10,684.871171328381,0,1369.74234265676,0,0.760967968142646
5961,1238,"Walk","Walk",0,0,0,"",247.729139897479,90,10,247.729139897479,0,495.458279794958,0,0.275254599886088
1241,1239,"Walk","Walk",0,0,0,"",355.99583924047,91,10,355.99583924047,0,711.991678480939,0,0.395550932489411
2843,1239,"Walk","Walk",0,0,0,"",631.893174188513,92,10,631.893174188513,0,1263.78634837703,0,0.702103526876126
2844,1239,"Walk","Walk",0,0,0,"",224.890374280978,93,10,224.890374280978,0,449.780748561955,0,0.249878193645531
4324,1239,"Walk","Walk",0,0,0,"",125.155862224609,94,10,125.155862224609,0,250.311724449218,0,0.139062069138454
4331,1239,"Walk","Walk",0,0,0,"",283.402829829662,95,10,283.402829829662,0,566.805659659324,0,0.314892033144069
4688,1239,"Walk","Walk",0,0,0,"",185.310136386265,96,10,185.310136386265,0,370.62027277253,0,0.205900151540294
1239,1241,"Walk","Walk",0,0,0,"",355.995839240361,97,10,355.995839240361,0,711.991678480722,0,0.39555093248929
2844,1241,"Walk","Walk",0,0,0,"",498.098177236788,98,10,498.098177236788,0,996.196354473576,0,0.553442419151987
4324,1241,"Walk","Walk",0,0,0,"",481.150216175852,99,10,481.150216175852,0,962.300432351704,0,0.534611351306502
4331,1241,"Walk","Walk",0,0,0,"",639.397345480956,100,10,639.397345480956,0,1278.79469096191,0,0.71044149497884
4688,1241,"Walk","Walk",0,0,0,"",170.686982139222,101,10,170.686982139222,0,341.373964278444,0,0.189652202376913
1375,1374,"Walk","Walk",0,0,0,"",467.715772935832,102,10,467.715772935832,0,935.431545871665,0,0.519684192150925
4241,1374,"Walk","Walk",0,0,0,"",277.745295409982,103,10,277.745295409982,0,555.490590819964,0,0.308605883788869
4646,1374,"Walk","Walk",0,0,0,"",652.350401748863,104,10,652.350401748863,0,1304.70080349773,0,0.724833779720959
1374,1375,"Walk","Walk",0,0,0,"",467.715772935742,105,10,467.715772935742,0,935.431545871484,0,0.519684192150824
1394,1375,"Walk","Walk",0,0,0,"",675.798001164757,106,10,675.798001164757,0,1351.59600232951,0,0.750886667960841
1395,1375,"Walk","Walk",0,0,0,"",278.761377200587,107,10,278.761377200587,0,557.522754401174,0,0.309734863556208
2780,1375,"Walk","Walk",0,0,0,"",585.957839406227,108,10,585.957839406227,0,1171.91567881245,0,0.651064266006919
4241,1375,"Walk","Walk",0,0,0,"",716.062039223354,109,10,716.062039223354,0,1432.12407844671,0,0.795624488025949
4646,1375,"Walk","Walk",0,0,0,"",564.937321250849,110,10,564.937321250849,0,1129.8746425017,0,0.627708134723165
5407,1375,"Walk","Walk",0,0,0,"",548.994865670878,111,10,548.994865670878,0,1097.98973134176,0,0.609994295189864
