"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"A2","A1","Walk","Walk",0,0,0,"",1232.91749666977,1,10,1232.91749666977,0,2465.83499333954,0,1.36990832963308
"A1","A2","Walk","Walk",0,0,0,"",1232.9174966701,2,10,1232.9174966701,0,2465.83499334019,0,1.36990832963344
"A3","A2","Walk","Walk",0,0,0,"",813.77765229648,3,10,813.77765229648,0,1627.55530459296,0,0.904197391440533
"A4","A2","Walk","Walk",0,0,0,"",1185.8017145658,4,10,1185.8017145658,0,2371.6034291316,0,1.31755746062867
"B11","A2","Walk","Walk",0,0,0,"",1320.02139900735,5,10,1320.02139900735,0,2640.04279801469,0,1.4666904433415
"B12","A2","Walk","Walk",0,0,0,"",1115.61773092583,6,10,1115.61773092583,0,2231.23546185165,0,1.23957525658425
"B13","A2","Walk","Walk",0,0,0,"",1066.48097840576,7,10,1066.48097840576,0,2132.96195681153,0,1.18497886489529
"B14","A2","Walk","Walk",0,0,0,"",1095.87337673669,8,10,1095.87337673669,0,2191.74675347337,0,1.21763708526298
"B15","A2","Walk","Walk",0,0,0,"",1277.86817500185,9,10,1277.86817500185,0,2555.73635000371,0,1.41985352777984
"F7","A2","Walk","Walk",0,0,0,"",1234.90632248711,10,10,1234.90632248711,0,2469.81264497421,0,1.37211813609678
"A2","A3","Walk","Walk",0,0,0,"",813.777652296479,11,10,813.777652296479,0,1627.55530459296,0,0.904197391440532
"A4","A3","Walk","Walk",0,0,0,"",426.081519107895,12,10,426.081519107895,0,852.163038215789,0,0.473423910119883
"A5","A3","Walk","Walk",0,0,0,"",1318.72503035541,13,10,1318.72503035541,0,2637.45006071083,0,1.46525003372824
"B10","A3","Walk","Walk",0,0,0,"",1145.82934880355,14,10,1145.82934880355,0,2291.6586976071,0,1.27314372089283
"B11","A3","Walk","Walk",0,0,0,"",780.158227167064,15,10,780.158227167064,0,1560.31645433413,0,0.866842474630071
"B12","A3","Walk","Walk",0,0,0,"",399.338621168968,16,10,399.338621168968,0,798.677242337936,0,0.443709579076631
"B13","A3","Walk","Walk",0,0,0,"",253.006536579872,17,10,253.006536579872,0,506.013073159744,0,0.281118373977636
"B14","A3","Walk","Walk",0,0,0,"",365.641621107393,18,10,365.641621107393,0,731.283242214787,0,0.406268467897104
"B15","A3","Walk","Walk",0,0,0,"",759.958852915051,19,10,759.958852915051,0,1519.9177058301,0,0.844398725461168
"F7","A3","Walk","Walk",0,0,0,"",616.076183298155,20,10,616.076183298155,0,1232.15236659631,0,0.684529092553506
"A2","A4","Walk","Walk",0,0,0,"",1185.80171456586,21,10,1185.80171456586,0,2371.60342913172,0,1.31755746062873
"A3","A4","Walk","Walk",0,0,0,"",426.081519108247,22,10,426.081519108247,0,852.163038216494,0,0.473423910120274
"A5","A4","Walk","Walk",0,0,0,"",993.217538957397,23,10,993.217538957397,0,1986.43507791479,0,1.103575043286
"B10","A4","Walk","Walk",0,0,0,"",1330.20390835213,24,10,1330.20390835213,0,2660.40781670425,0,1.47800434261347
"B11","A4","Walk","Walk",0,0,0,"",975.281757690505,25,10,975.281757690505,0,1950.56351538101,0,1.08364639743389
"B12","A4","Walk","Walk",0,0,0,"",559.174167391965,26,10,559.174167391965,0,1118.34833478393,0,0.621304630435516
"B13","A4","Walk","Walk",0,0,0,"",279.402072837025,27,10,279.402072837025,0,558.80414567405,0,0.310446747596695
"B14","A4","Walk","Walk",0,0,0,"",98.4374717535216,28,10,98.4374717535216,0,196.874943507043,0,0.109374968615024
"B15","A4","Walk","Walk",0,0,0,"",482.541094248812,29,10,482.541094248812,0,965.082188497624,0,0.536156771387569
"B16","A4","Walk","Walk",0,0,0,"",1129.21527285279,30,10,1129.21527285279,0,2258.43054570559,0,1.25468363650311
"F7","A4","Walk","Walk",0,0,0,"",790.64300766982,31,10,790.64300766982,0,1581.28601533964,0,0.878492230744244
"A3","A5","Walk","Walk",0,0,0,"",1318.72503035558,32,10,1318.72503035558,0,2637.45006071116,0,1.46525003372842
"A4","A5","Walk","Walk",0,0,0,"",993.217538957771,33,10,993.217538957771,0,1986.43507791554,0,1.10357504328641
"A6","A5","Walk","Walk",0,0,0,"",1118.70642107931,34,10,1118.70642107931,0,2237.41284215862,0,1.24300713453257
