"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"A1","A2","RTS","A_1","1",1,"1","A_1",120,1,120,50,120,240,120,2.5
"A10","A11","RTS","A_1","1",10,"2","A_1",120,2,120,50,120,240,120,2.5
"A10","A9","RTS","A_2","1",5,"3","A_2",120,3,120,50,120,240,120,2.5
"A11","A10","RTS","A_2","1",4,"4","A_2",120,4,120,50,120,240,120,2.5
"A11","A12","RTS","A_1","1",11,"5","A_1",120,5,120,50,120,240,120,2.5
"A12","A11","RTS","A_2","1",3,"6","A_2",120,6,120,50,120,240,120,2.5
"A12","A13","RTS","A_1","1",12,"7","A_1",180,7,120,50,180,240,180,3.75
"A13","A12","RTS","A_2","1",2,"8","A_2",180,8,120,50,180,240,180,3.75
"A13","A14","RTS","A_1","1",13,"9","A_1",300,9,120,50,300,240,300,6.25
"A14","A13","RTS","A_2","1",1,"10","A_2",240,10,120,50,240,240,240,5
"A2","A1","RTS","A_2","1",13,"11","A_2",120,11,120,50,120,240,120,2.5
"A2","A3","RTS","A_1","1",2,"12","A_1",120,12,120,50,120,240,120,2.5
"A3","A2","RTS","A_2","1",12,"13","A_2",120,13,120,50,120,240,120,2.5
"A3","A4","RTS","A_1","1",3,"14","A_1",60,14,120,50,60,240,60,1.25
"A4","A3","RTS","A_2","1",11,"15","A_2",120,15,120,50,120,240,120,2.5
"A4","A5","RTS","A_1","1",4,"16","A_1",120,16,120,50,120,240,120,2.5
"A5","A4","RTS","A_2","1",10,"17","A_2",60,17,120,50,60,240,60,1.25
"A5","A6","RTS","A_1","1",5,"18","A_1",120,18,120,50,120,240,120,2.5
"A6","A5","RTS","A_2","1",9,"19","A_2",120,19,120,50,120,240,120,2.5
"A6","A7","RTS","A_1","1",6,"20","A_1",60,20,120,50,60,240,60,1.25
"A7","A6","RTS","A_2","1",8,"21","A_2",120,21,120,50,120,240,120,2.5
"A7","A8","RTS","A_1","1",7,"22","A_1",120,22,120,50,120,240,120,2.5
"A8","A7","RTS","A_2","1",7,"23","A_2",120,23,120,50,120,240,120,2.5
"A8","A9","RTS","A_1","1",8,"24","A_1",180,24,120,50,180,240,180,3.75
"A9","A10","RTS","A_1","1",9,"25","A_1",120,25,120,50,120,240,120,2.5
"A9","A8","RTS","A_2","1",6,"26","A_2",180,26,120,50,180,240,180,3.75
"B1","B2","RTS","B_1","1",1,"27","B_1",180,27,120,50,180,240,180,3.75
"B10","B11","RTS","B_1","1",10,"28","B_1",120,28,120,50,120,240,120,2.5
"B10","B9","RTS","B_2","1",22,"29","B_2",120,29,120,50,120,240,120,2.5
"B11","B10","RTS","B_2","1",21,"30","B_2",120,30,120,50,120,240,120,2.5
"B11","B12","RTS","B_1","1",11,"31","B_1",120,31,120,50,120,240,120,2.5
"B12","B11","RTS","B_2","1",20,"32","B_2",120,32,120,50,120,240,120,2.5
"B12","B13","RTS","B_1","1",12,"33","B_1",151,33,120,50,151,240,151,3.14583333333333
"B13","B12","RTS","B_2","1",19,"34","B_2",120,34,120,50,120,240,120,2.5
"B13","B14","RTS","B_1","1",13,"35","B_1",149,35,120,50,149,240,149,3.10416666666667
"B14","B13","RTS","B_2","1",18,"36","B_2",180,36,120,50,180,240,180,3.75
"B14","B15","RTS","B_1","1",14,"37","B_1",180,37,120,50,180,240,180,3.75
"B15","B14","RTS","B_2","1",17,"38","B_2",180,38,120,50,180,240,180,3.75
"B15","B16","RTS","B_1","1",15,"39","B_1",180,39,120,50,180,240,180,3.75
"B16","B15","RTS","B_2","1",16,"40","B_2",180,40,120,50,180,240,180,3.75
"B16","B17","RTS","B_1","1",16,"41","B_1",120,41,120,50,120,240,120,2.5
"B17","B16","RTS","B_2","1",15,"42","B_2",120,42,120,50,120,240,120,2.5
"B17","B18","RTS","B_1","1",17,"43","B_1",120,43,120,50,120,240,120,2.5
"B18","B17","RTS","B_2","1",14,"44","B_2",120,44,120,50,120,240,120,2.5
"B18","B19","RTS","B_1","1",18,"45","B_1",60,45,120,50,60,240,60,1.25
"B19","B18","RTS","B_2","1",13,"46","B_2",60,46,120,50,60,240,60,1.25
"B19","B20","RTS","B_1","1",19,"47","B_1",180,47,120,50,180,240,180,3.75
"B2","B1","RTS","B_2","1",30,"48","B_2",180,48,120,50,180,240,180,3.75
"B2","B3","RTS","B_1","1",2,"49","B_1",300,49,120,50,300,240,300,6.25
"B20","B19","RTS","B_2","1",12,"50","B_2",180,50,120,50,180,240,180,3.75
"B20","B21","RTS","B_1","1",20,"51","B_1",120,51,120,50,120,240,120,2.5
"B21","B20","RTS","B_2","1",11,"52","B_2",120,52,120,50,120,240,120,2.5
"B21","B22","RTS","B_1","1",21,"53","B_1",240,53,120,50,240,240,240,5
"B22","B21","RTS","B_2","1",10,"54","B_2",240,54,120,50,240,240,240,5
"B22","B23","RTS","B_1","1",22,"55","B_1",60,55,120,50,60,240,60,1.25
"B23","B22","RTS","B_2","1",9,"56","B_2",120,56,120,50,120,240,120,2.5
"B23","B24","RTS","B_1","1",23,"57","B_1",420,57,120,50,420,240,420,8.75
"B24","B23","RTS","B_2","1",8,"58","B_2",420,58,120,50,420,240,420,8.75
"B24","B25","RTS","B_1","1",24,"59","B_1",120,59,120,50,120,240,120,2.5
"B25","B24","RTS","B_2","1",7,"60","B_2",60,60,120,50,60,240,60,1.25
"B25","B26","RTS","B_1","1",25,"61","B_1",120,61,120,50,120,240,120,2.5
"B26","B25","RTS","B_2","1",6,"62","B_2",120,62,120,50,120,240,120,2.5
"B26","B27","RTS","B_1","1",26,"63","B_1",300,63,120,50,300,240,300,6.25
"B27","B26","RTS","B_2","1",5,"64","B_2",300,64,120,50,300,240,300,6.25
"B27","B28","RTS","B_1","1",27,"65","B_1",180,65,120,50,180,240,180,3.75
"B28","B27","RTS","B_2","1",4,"66","B_2",120,66,120,50,120,240,120,2.5
"B28","B29","RTS","B_1","1",28,"67","B_1",120,67,120,50,120,240,120,2.5
"B29","B28","RTS","B_2","1",3,"68","B_2",120,68,120,50,120,240,120,2.5
"B29","B30","RTS","B_1","1",29,"69","B_1",180,69,120,50,180,240,180,3.75
"B3","B2","RTS","B_2","1",29,"70","B_2",300,70,120,50,300,240,300,6.25
"B3","B4","RTS","B_1","1",3,"71","B_1",180,71,120,50,180,240,180,3.75
"B30","B29","RTS","B_2","1",2,"72","B_2",180,72,120,50,180,240,180,3.75
"B30","B31","RTS","B_1","1",30,"73","B_1",120,73,120,50,120,240,120,2.5
"B31","B30","RTS","B_2","1",1,"74","B_2",120,74,120,50,120,240,120,2.5
"B4","B3","RTS","B_2","1",28,"75","B_2",240,75,120,50,240,240,240,5
"B4","B5","RTS","B_1","1",4,"76","B_1",120,76,120,50,120,240,120,2.5
"B5","B4","RTS","B_2","1",27,"77","B_2",120,77,120,50,120,240,120,2.5
"B5","B6","RTS","B_1","1",5,"78","B_1",120,78,120,50,120,240,120,2.5
"B6","B5","RTS","B_2","1",26,"79","B_2",180,79,120,50,180,240,180,3.75
"B6","B7","RTS","B_1","1",6,"80","B_1",120,80,120,50,120,240,120,2.5
"B7","B6","RTS","B_2","1",25,"81","B_2",120,81,120,50,120,240,120,2.5
"B7","B8","RTS","B_1","1",7,"82","B_1",120,82,120,50,120,240,120,2.5
"B8","B7","RTS","B_2","1",24,"83","B_2",120,83,120,50,120,240,120,2.5
"B8","B9","RTS","B_1","1",8,"84","B_1",120,84,120,50,120,240,120,2.5
"B9","B10","RTS","B_1","1",9,"85","B_1",180,85,120,50,180,240,180,3.75
"B9","B8","RTS","B_2","1",23,"86","B_2",120,86,120,50,120,240,120,2.5
"C1/D1/F1","C2","RTS","C_1","1",1,"87","C_1",840,87,120,50,840,240,840,17.5
"C1/D1/F1","D2","RTS","D_1","1",1,"88","D_1",660,88,120,50,660,240,660,13.75
"C1/D1/F1","F2","RTS","F_1","1",1,"89","F_1",660,89,120,50,660,240,660,13.75
"C10","C11","RTS","C_1","1",10,"90","C_1",1140,90,120,50,1140,240,1140,23.75
"C10","C9","RTS","C_2","1",4,"91","C_2",600,91,120,50,600,240,600,12.5
"C11","C10","RTS","C_2","1",3,"92","C_2",900,92,120,50,900,240,900,18.75
