stop_id,stop_code,stop_name,stop_lat,stop_lon,EZLink_Name,Type,stopType
A1,A1,JOHNS HOPKINS STATION (METRO),39.2982889999998,-76.594107,STN_JOHNS HOPKINS STATION (METRO),2,2
A2,A2,SHOT TOWER STATION (METRO) nb,39.2899519999998,-76.605814,STN_SHOT TOWER STATION (METRO) nb,2,2
A3,A3,CHARLES CENTER (METRO) nb,39.2894519999998,-76.616275,STN_CHARLES CENTER (METRO) nb,2,2
A4,A4,LEXINGTON MARKET (METRO) nb,39.2917299999998,-76.620914,STN_LEXINGTON MARKET (METRO) nb,2,2
A5,A5,STATE CENTER (METRO) nb,39.3015149999998,-76.623166,STN_STATE CENTER (METRO) nb,2,2
A6,A6,UPTON STATION (METRO) nb,39.3053179999998,-76.63672,STN_UPTON STATION (METRO) nb,2,2
A7,A7,PENN NORTH STAT (METRO) nb,39.3101949999998,-76.64259,STN_PENN NORTH STAT (METRO) nb,2,2
A8,A8,MONDAWMIN STATION (METRO) nb,39.3182109999998,-76.652759,STN_MONDAWMIN STATION (METRO) nb,2,2
A9,A9,WEST COLDSPRING STATION (METRO) nb,39.3364639999998,-76.672632,STN_WEST COLDSPRING STATION (METRO) nb,2,2
A10,A10,ROGERS STATION (METRO) nb,39.3463359999998,-76.694382,STN_ROGERS STATION (METRO) nb,2,2
A11,A11,REIST PLAZA STATION (METRO) nb,39.3525889999998,-76.706095,STN_REIST PLAZA STATION (METRO) nb,2,2
A12,A12,MILFORD MILL STATION (METRO) nb,39.3627769999998,-76.721459,STN_MILFORD MILL STATION (METRO) nb,2,2
A13,A13,OLD COURT STATION (METRO) nb,39.3710029999998,-76.743665,STN_OLD COURT STATION (METRO) nb,2,2
A14,A14,OWINGS MILLS STATION (METRO),39.4076419999998,-76.780768,STN_OWINGS MILLS STATION (METRO),2,2
B1,B1,BWI AIRPORT LT RAIL nb,39.1812979999998,-76.668468,STN_BWI AIRPORT LT RAIL nb,2,2
B2,B2,BWI BUSINESS PARK STATION,39.1915939999998,-76.673937,STN_BWI BUSINESS PARK STATION,2,2
B3,B3,LINTHICUM LT RAIL nb,39.2022609999998,-76.655047,STN_LINTHICUM LT RAIL nb,2,2
B4,B4,NORTH LINTHICUM LT RAIL nb,39.2143889999998,-76.645586,STN_NORTH LINTHICUM LT RAIL nb,2,2
B5,B5,NURSERY RD & LIGHT RAIL nb,39.2222909999998,-76.640943,STN_NURSERY RD & LIGHT RAIL nb,2,2
B6,B6,BATIMORE HIGHLANDS & LT RAIL nb,39.2342559999998,-76.633123,STN_BATIMORE HIGHLANDS & LT RAIL nb,2,2
B7,B7,PATAPSCO & LIGHT RAIL STAT nb,39.2420129999998,-76.629838,STN_PATAPSCO & LIGHT RAIL STAT nb,2,2
B8,B8,CHERRY HILL LIGHT RAIL STAT nb,39.2560339999998,-76.634892,STN_CHERRY HILL LIGHT RAIL STAT nb,2,2
B9,B9,WESTPORT LIGHT RAIL STAT nb,39.2621069999998,-76.631345,STN_WESTPORT LIGHT RAIL STAT nb,2,2
B10,B10,HAMBURG & LIGHT RAIL STAT nb,39.2784249999998,-76.620326,STN_HAMBURG & LIGHT RAIL STAT nb,2,2
