"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"1228","1384","Bus","BL_104_1","1",3,"1","BL_104_1",56,1,300,10,56,600,56,0.544444444444444
"1233","1235","Bus","BL_75_1","1",6,"2","BL_75_1",76,2,300,10,76,600,76,0.738888888888889
"1235","1236","Bus","BL_75_1","1",12,"3","BL_75_1",47,3,300,10,47,600,47,0.456944444444444
"1236","1237","Bus","BL_75_1","1",18,"4","BL_75_1",46,4,300,10,46,600,46,0.447222222222222
"1237","1238","Bus","BL_75_1","1",24,"5","BL_75_1",28,5,300,10,28,600,28,0.272222222222222
"1238","5961","Bus","BL_75_1","1",27,"6","BL_75_1",72,6,300,10,72,600,72,0.7
"1239","4688","Bus","BL_76_1","1",28,"7","BL_76_1",30,7,300,10,30,600,30,0.291666666666667
"1374","1375","Bus","BL_93_1","1",3,"8","BL_93_1",56,8,300,10,56,600,56,0.544444444444444
"1375","1395","Bus","BL_93_1","1",6,"9","BL_93_1",53,9,300,10,53,600,53,0.515277777777778
"1382","2912","Bus","BL_104_1","1",0,"10","BL_104_1",26,10,300,10,26,600,26,0.252777777777778
"1383","1228","Bus","BL_104_1","1",2,"11","BL_104_1",39,11,300,10,39,600,39,0.379166666666667
"1392","3112","Bus","BL_40_1","1",5,"12","BL_40_1/BL_73_1/BL_74_1",30,12,150,10,30,300,30,0.291666666666667
"1392","3112","Bus","BL_73_1","1",5,"12","BL_40_1/BL_73_1/BL_74_1",30,13,150,10,30,300,30,0.291666666666667
"1392","3112","Bus","BL_74_1","1",2,"12","BL_40_1/BL_73_1/BL_74_1",30,14,150,10,30,300,30,0.291666666666667
"1394","2780","Bus","BL_42_1","1",0,"13","BL_42_1",52,15,300,10,52,600,52,0.505555555555556
"1399","5514","Bus","BL_94_1","1",1,"14","BL_94_1",32,16,300,10,32,600,32,0.311111111111111
