trip_id,arrival_time,departure_time,stop_id,stop_sequence,service,service_id,stop_lat,stop_long,C_type
T122,11:20:00,11:20:00,A1,1,A_1,A_1,39.298289000000004,-76.594107,CR
T122,11:22:00,11:22:00,A2,2,A_1,A_1,39.289952,-76.605814,CR
T122,11:24:00,11:24:00,A3,3,A_1,A_1,39.289452000000004,-76.616275,CR
T122,11:25:00,11:25:00,A4,4,A_1,A_1,39.29173,-76.620914,CR
T122,11:27:00,11:27:00,A5,5,A_1,A_1,39.301515,-76.623166,CR
T122,11:29:00,11:29:00,A6,6,A_1,A_1,39.305318,-76.63672,CR
T122,11:30:00,11:30:00,A7,7,A_1,A_1,39.310195,-76.64259,CR
T122,11:32:00,11:32:00,A8,8,A_1,A_1,39.318211,-76.652759,CR
T122,11:35:00,11:35:00,A9,9,A_1,A_1,39.336464,-76.672632,CR
T122,11:37:00,11:37:00,A10,10,A_1,A_1,39.346336,-76.69438199999998,CR
T122,11:39:00,11:39:00,A11,11,A_1,A_1,39.352589,-76.70609499999998,CR
T122,11:41:00,11:41:00,A12,12,A_1,A_1,39.362777,-76.721459,CR
T122,11:44:00,11:44:00,A13,13,A_1,A_1,39.371003,-76.74366500000002,CR
T122,11:49:00,11:49:00,A14,14,A_1,A_1,39.407641999999996,-76.78076800000002,CR
T1, 6:12:00, 6:12:00,A14,1,A_2,A_2,39.407641999999996,-76.78076800000002,CR
T1, 6:16:00, 6:16:00,A13,2,A_2,A_2,39.371003,-76.74366500000002,CR
T1, 6:19:00, 6:19:00,A12,3,A_2,A_2,39.362777,-76.721459,CR
T1, 6:21:00, 6:21:00,A11,4,A_2,A_2,39.352589,-76.70609499999998,CR
T1, 6:23:00, 6:23:00,A10,5,A_2,A_2,39.346336,-76.69438199999998,CR
T1, 6:25:00, 6:25:00,A9,6,A_2,A_2,39.336464,-76.672632,CR
T1, 6:28:00, 6:28:00,A8,7,A_2,A_2,39.318211,-76.652759,CR
T1, 6:30:00, 6:30:00,A7,8,A_2,A_2,39.310195,-76.64259,CR
T1, 6:32:00, 6:32:00,A6,9,A_2,A_2,39.305318,-76.63672,CR
T1, 6:34:00, 6:34:00,A5,10,A_2,A_2,39.301515,-76.623166,CR
T1, 6:35:00, 6:35:00,A4,11,A_2,A_2,39.29173,-76.620914,CR
T1, 6:37:00, 6:37:00,A3,12,A_2,A_2,39.289452000000004,-76.616275,CR
T1, 6:39:00, 6:39:00,A2,13,A_2,A_2,39.289952,-76.605814,CR
T1, 6:41:00, 6:41:00,A1,14,A_2,A_2,39.298289000000004,-76.594107,CR
T572, 4:59:00, 4:59:00,B1,1,B_1,B_1,39.181298,-76.668468,LR
T572, 5:02:00, 5:02:00,B2,2,B_1,B_1,39.191594,-76.673937,LR
T572, 5:07:00, 5:07:00,B3,3,B_1,B_1,39.202261,-76.655047,LR
T572, 5:10:00, 5:10:00,B4,4,B_1,B_1,39.214389000000004,-76.645586,LR
T572, 5:12:00, 5:12:00,B5,5,B_1,B_1,39.222291,-76.64094300000002,LR
T572, 5:14:00, 5:14:00,B6,6,B_1,B_1,39.234256,-76.633123,LR
T572, 5:16:00, 5:16:00,B7,7,B_1,B_1,39.242013,-76.629838,LR
T572, 5:18:00, 5:18:00,B8,8,B_1,B_1,39.256034,-76.63489200000002,LR
T572, 5:20:00, 5:20:00,B9,9,B_1,B_1,39.262107,-76.631345,LR
T572, 5:23:00, 5:23:00,B10,10,B_1,B_1,39.278425,-76.620326,LR
T572, 5:25:00, 5:25:00,B11,11,B_1,B_1,39.282038,-76.619426,LR
T572, 5:27:00, 5:27:00,B12,12,B_1,B_1,39.286263,-76.619375,LR
T572, 5:29:31, 5:29:31,B13,13,B_1,B_1,39.289155,-76.619511,LR
T572, 5:32:00, 5:32:00,B14,14,B_1,B_1,39.291975,-76.619686,LR
T572, 5:35:00, 5:35:00,B15,15,B_1,B_1,39.296501,-76.619951,LR
T572, 5:38:00, 5:38:00,B16,16,B_1,B_1,39.303022,-76.620324,LR
T572, 5:40:00, 5:40:00,B17,17,B_1,B_1,39.307181,-76.619973,LR
T572, 5:42:00, 5:42:00,B18,18,B_1,B_1,39.311471999999995,-76.622241,LR
T572, 5:43:00, 5:43:00,B19,19,B_1,B_1,39.312388,-76.622754,LR
T572, 5:46:00, 5:46:00,B20,20,B_1,B_1,39.330979,-76.643242,LR
T572, 5:48:00, 5:48:00,B21,21,B_1,B_1,39.344153999999996,-76.647801,LR
T572, 5:52:00, 5:52:00,B22,22,B_1,B_1,39.367908,-76.651504,LR
T572, 5:53:00, 5:53:00,B23,23,B_1,B_1,39.376072,-76.650423,LR
T572, 6:00:00, 6:00:00,B24,24,B_1,B_1,39.429551000000004,-76.627089,LR
T572, 6:02:00, 6:02:00,B25,25,B_1,B_1,39.434124,-76.628174,LR
T572, 6:04:00, 6:04:00,B26,26,B_1,B_1,39.448592,-76.634893,LR
T572, 6:09:00, 6:09:00,B27,27,B_1,B_1,39.475603,-76.65351899999997,LR
T572, 6:12:00, 6:12:00,B28,28,B_1,B_1,39.481590999999995,-76.661789,LR
T572, 6:14:00, 6:14:00,B29,29,B_1,B_1,39.48995,-76.658265,LR
T572, 6:17:00, 6:17:00,B30,30,B_1,B_1,39.492211,-76.65487399999998,LR
T572, 6:19:00, 6:19:00,B31,31,B_1,B_1,39.496266999999996,-76.653746,LR
T708,15:25:00,15:25:00,B31,1,B_2,B_2,39.496266999999996,-76.653746,LR
T708,15:27:00,15:27:00,B30,2,B_2,B_2,39.492211,-76.65487399999998,LR
T708,15:30:00,15:30:00,B29,3,B_2,B_2,39.48995,-76.658265,LR
T708,15:32:00,15:32:00,B28,4,B_2,B_2,39.481590999999995,-76.661789,LR
T708,15:34:00,15:34:00,B27,5,B_2,B_2,39.475603,-76.65351899999997,LR
T708,15:39:00,15:39:00,B26,6,B_2,B_2,39.448592,-76.634893,LR
T708,15:41:00,15:41:00,B25,7,B_2,B_2,39.434124,-76.628174,LR
T708,15:42:00,15:42:00,B24,8,B_2,B_2,39.429551000000004,-76.627089,LR
T708,15:49:00,15:49:00,B23,9,B_2,B_2,39.376072,-76.650423,LR
T708,15:51:00,15:51:00,B22,10,B_2,B_2,39.367908,-76.651504,LR
T708,15:55:00,15:55:00,B21,11,B_2,B_2,39.344153999999996,-76.647801,LR
T708,15:57:00,15:57:00,B20,12,B_2,B_2,39.330979,-76.643242,LR
T708,16:00:00,16:00:00,B19,13,B_2,B_2,39.312388,-76.622754,LR
T708,16:01:00,16:01:00,B18,14,B_2,B_2,39.311471999999995,-76.622241,LR
T708,16:03:00,16:03:00,B17,15,B_2,B_2,39.307181,-76.619973,LR
T708,16:05:00,16:05:00,B16,16,B_2,B_2,39.303022,-76.620324,LR
T708,16:08:00,16:08:00,B15,17,B_2,B_2,39.296501,-76.619951,LR
T708,16:11:00,16:11:00,B14,18,B_2,B_2,39.291975,-76.619686,LR
T708,16:14:00,16:14:00,B13,19,B_2,B_2,39.289155,-76.619511,LR
T708,16:16:00,16:16:00,B12,20,B_2,B_2,39.286263,-76.619375,LR
T708,16:18:00,16:18:00,B11,21,B_2,B_2,39.282038,-76.619426,LR
T708,16:20:00,16:20:00,B10,22,B_2,B_2,39.278425,-76.620326,LR
T708,16:22:00,16:22:00,B9,23,B_2,B_2,39.262107,-76.631345,LR
T708,16:24:00,16:24:00,B8,24,B_2,B_2,39.256034,-76.63489200000002,LR
T708,16:26:00,16:26:00,B7,25,B_2,B_2,39.242013,-76.629838,LR
T708,16:28:00,16:28:00,B6,26,B_2,B_2,39.234256,-76.633123,LR
T708,16:31:00,16:31:00,B5,27,B_2,B_2,39.222291,-76.64094300000002,LR
T708,16:33:00,16:33:00,B4,28,B_2,B_2,39.214389000000004,-76.645586,LR
T708,16:37:00,16:37:00,B3,29,B_2,B_2,39.202261,-76.655047,LR
T708,16:42:00,16:42:00,B2,30,B_2,B_2,39.191594,-76.673937,LR
T708,16:45:00,16:45:00,B1,31,B_2,B_2,39.181298,-76.668468,LR
T1273,15:30:00,15:30:00,C1/D1/F1,1,C_1,C_1,38.899035999999995,-77.006795,HR
T1273,15:44:00,15:44:00,C2,2,C_1,C_1,38.994459,-77.030698,HR
T1273,15:50:00,15:50:00,C3,3,C_1,C_1,39.027125,-77.072188,HR
T1273,15:59:00,15:59:00,C4,4,C_1,C_1,39.085198,-77.14699300000002,HR
T1273,16:06:00,16:06:00,C5,5,C_1,C_1,39.141532,-77.193339,HR
T1273,16:09:00,16:09:00,C6,6,C_1,C_1,39.149791,-77.22711,HR
T1273,16:16:00,16:16:00,C7,7,C_1,C_1,39.172523,-77.269566,HR
T1273,16:26:00,16:26:00,C8,8,C_1,C_1,39.209542,-77.382234,HR
T1273,16:37:00,16:37:00,C9,9,C_1,C_1,39.273493,-77.53336999999998,HR
T1273,16:51:00,16:51:00,C10,10,C_1,C_1,39.311949,-77.627027,HR
T1273,17:10:00,17:10:00,C11,11,C_1,C_1,39.324586,-77.730548,HR
T1273,17:25:00,17:25:00,C12,12,C_1,C_1,39.362352,-77.82666,HR
T1273,17:30:00,17:30:00,C13,13,C_1,C_1,39.461113,-77.96165500000002,HR
T1262, 5:25:00, 5:25:00,C13,1,C_2,C_2,39.461113,-77.96165500000002,HR
T1262, 5:41:00, 5:41:00,C12,2,C_2,C_2,39.362352,-77.82666,HR
T1262, 5:50:00, 5:50:00,C11,3,C_2,C_2,39.324586,-77.730548,HR
T1262, 6:05:00, 6:05:00,C10,4,C_2,C_2,39.311949,-77.627027,HR
T1262, 6:15:00, 6:15:00,C9,5,C_2,C_2,39.273493,-77.53336999999998,HR
T1262, 6:25:00, 6:25:00,C8,6,C_2,C_2,39.209542,-77.382234,HR
T1262, 6:35:00, 6:35:00,C7,7,C_2,C_2,39.172523,-77.269566,HR
T1262, 6:41:00, 6:41:00,C6,8,C_2,C_2,39.149791,-77.22711,HR
T1262, 6:47:00, 6:47:00,C5,9,C_2,C_2,39.141532,-77.193339,HR
T1262, 6:55:00, 6:55:00,C4,10,C_2,C_2,39.085198,-77.14699300000002,HR
T1262, 7:02:00, 7:02:00,C3,11,C_2,C_2,39.027125,-77.072188,HR
T1262, 7:13:00, 7:13:00,C2,12,C_2,C_2,38.994459,-77.030698,HR
T1262, 7:35:00, 7:35:00,C1/D1/F1,13,C_2,C_2,38.899035999999995,-77.006795,HR
T1311,21:00:00,21:00:00,C1/D1/F1,1,D_1,D_1,38.899035999999995,-77.006795,HR
T1311,21:11:00,21:11:00,D2,2,D_1,D_1,38.946969,-76.873141,HR
T1311,21:15:00,21:15:00,D3,3,D_1,D_1,38.973444,-76.842772,HR
T1311,21:21:00,21:21:00,D4,4,D_1,D_1,39.020792,-76.762049,HR
T1311,21:28:00,21:28:00,D5,5,D_1,D_1,39.086859999999994,-76.706099,HR
T1311,21:37:00,21:37:00,D6,6,D_1,D_1,39.192327,-76.69456,HR
T1311,21:42:00,21:42:00,D7,7,D_1,D_1,39.23878,-76.69119599999998,HR
T1311,21:49:00,21:49:00,D8,8,D_1,D_1,39.293344,-76.653102,HR
T1311,22:00:00,22:00:00,D9,9,D_1,D_1,39.307177,-76.615903,HR
T1311,22:12:00,22:12:00,D10,10,D_1,D_1,39.338324,-76.41930699999998,HR
T1311,22:27:00,22:27:00,D11,11,D_1,D_1,39.415966999999995,-76.292139,HR
T1311,22:38:00,22:38:00,D12,12,D_1,D_1,39.509146,-76.162588,HR
T1311,22:50:00,22:50:00,D13,13,D_1,D_1,39.558089,-76.07318000000002,HR
T1297, 5:45:00, 5:45:00,D13,1,D_2,D_2,39.558089,-76.07318000000002,HR
T1297, 5:53:00, 5:53:00,D12,2,D_2,D_2,39.509146,-76.162588,HR
T1297, 6:03:00, 6:03:00,D11,3,D_2,D_2,39.415966999999995,-76.292139,HR
T1297, 6:15:00, 6:15:00,D10,4,D_2,D_2,39.338324,-76.41930699999998,HR
T1297, 6:30:00, 6:30:00,D9,5,D_2,D_2,39.307177,-76.615903,HR
T1297, 6:39:00, 6:39:00,D8,6,D_2,D_2,39.293344,-76.653102,HR
T1297, 6:46:00, 6:46:00,D7,7,D_2,D_2,39.23878,-76.69119599999998,HR
T1297, 6:54:00, 6:54:00,D6,8,D_2,D_2,39.192327,-76.69456,HR
T1297, 7:02:00, 7:02:00,D5,9,D_2,D_2,39.086859999999994,-76.706099,HR
T1297, 7:09:00, 7:09:00,D4,10,D_2,D_2,39.020792,-76.762049,HR
T1297, 7:17:00, 7:17:00,D3,11,D_2,D_2,38.973444,-76.842772,HR
T1297, 7:21:00, 7:21:00,D2,12,D_2,D_2,38.946969,-76.873141,HR
T1297, 7:36:00, 7:36:00,C1/D1/F1,13,D_2,D_2,38.899035999999995,-77.006795,HR
T1378,16:13:00,16:13:00,C1/D1/F1,1,F_1,F_1,38.899035999999995,-77.006795,HR
T1378,16:24:00,16:24:00,F2,2,F_1,F_1,38.976141,-76.929389,HR
T1378,16:32:00,16:32:00,F3,3,F_1,F_1,39.062044,-76.884971,HR
T1378,16:39:00,16:39:00,F4,4,F_1,F_1,39.101817,-76.842109,HR
T1378,16:45:00,16:45:00,F5,5,F_1,F_1,39.122855,-76.796351,HR
T1378,16:57:00,16:57:00,F6,6,F_1,F_1,39.181267999999996,-76.745121,HR
T1378,17:25:00,17:25:00,F7,7,F_1,F_1,39.283877000000004,-76.619664,HR
T1367, 7:10:00, 7:10:00,F7,1,F_2,F_2,39.283877000000004,-76.619664,HR
T1367, 7:29:00, 7:29:00,F6,2,F_2,F_2,39.181267999999996,-76.745121,HR
T1367, 7:37:00, 7:37:00,F5,3,F_2,F_2,39.122855,-76.796351,HR
T1367, 7:44:00, 7:44:00,F4,4,F_2,F_2,39.101817,-76.842109,HR
T1367, 7:49:00, 7:49:00,F3,5,F_2,F_2,39.062044,-76.884971,HR
T1367, 8:01:00, 8:01:00,F2,6,F_2,F_2,38.976141,-76.929389,HR
T1367, 8:21:00, 8:21:00,C1/D1/F1,7,F_2,F_2,38.899035999999995,-77.006795,HR
