from_stop_id,to_stop_id,transfer_type,min_transfer_time
4967,4251,,
7642,1342,,
11874,12132,,
11882,12076,,
7508,7512,,
3450,3590,,
10474,12396,,
2067,7682,,
11981,11995,,
11994,11982,,
11730,11698,,
12005,11543,,
11707,11722,,
13524,164,,
7524,7683,,
7522,6965,,
1003,11128,,
13593,13592,,
11561,11560,,
1412,1196,,
723,6110,,
5207,4987,,
13408,12015,,
13528,13525,,
11858,11861,,
6553,3109,,
7504,7516,,
1329,2670,,
11803,11786,,
23,168,,
164,7503,,
4929,4981,,
3170,5634,,
5982,1539,,
12012,12021,,
6837,4247,,
502,3213,,
8444,809,,
12177,2662,,
7508,519,,
7647,12002,,
11484,11490,,
7682,125,,
3213,502,,
5584,10880,,
11000,6461,,
11995,10532,,
12301,2494,,
1261,5196,,
11585,11592,,
10571,4650,,
7512,66,,
11704,11724,,
9281,739,,
11475,11499,,
11530,11534,,
10380,10777,,
7503,13523,,
156,31,,
7473,7470,,
7510,8422,,
67,516,,
4617,7596,,
11946,11970,,
11472,3369,,
7517,7503,,
11695,11733,,
1287,2047,,
13528,7517,,
10420,10419,,
5634,3086,,
5666,1221,,
6465,298,,
12078,11880,,
7587,8658,,
11521,11543,,
3095,3096,,
11959,11957,,
7597,7585,,
10550,998,,
7503,164,,
12461,11984,,
11787,11910,,
6226,5168,,
10587,10566,,
3526,3507,,
6110,723,,
7677,531,,
13524,13526,,
4134,3078,,
12018,13408,,
11972,11944,,
8978,3717,,
7200,806,,
4229,4967,,
11717,11897,,
11837,2175,,
11870,11781,,
11909,11788,,
4981,4929,,
298,6465,,
11767,11760,,
11816,11839,,
59,3904,,
4017,495,,
515,286,,
660,10474,,
739,9281,,
7643,3215,,
141,4086,,
11756,11821,,
4819,7519,,
11950,11966,,
4857,5046,,
13653,11735,,
11534,11530,,
7673,5049,,
516,67,,
4687,4426,,
4524,4587,,
11473,11471,,
11984,11993,,
10622,1766,,
12395,12394,,
4168,5034,,
5998,5059,,
2620,36,,
7512,504,,
7507,8444,,
168,10751,,
3757,1590,,
814,3366,,
5196,1261,,
13408,12018,,
11754,11770,,
11543,11521,,
11988,11989,,
11598,11579,,
7642,12036,,
10474,660,,
11488,11486,,
12036,125,,
10419,6058,,
12743,12742,,
12025,12008,,
298,6425,,
12460,3158,,
12016,12017,,
12410,12409,,
11497,11477,,
2506,7504,,
11726,11702,,
11711,11718,,
4591,7599,,
7681,3215,,
4932,4979,,
10777,10380,,
1539,1658,,
285,516,,
7507,7540,,
10685,1221,,
11762,11765,,
2708,12222,,
502,3036,,
13525,13524,,
8978,3929,,
1209,1398,,
2671,1280,,
7510,8408,,
11735,13653,,
13524,7503,,
7517,13523,,
1221,5666,,
3096,3095,,
12002,11980,,
7678,7646,,
11941,11975,,
11600,11621,,
11992,11985,,
1873,126,,
7642,10568,,
514,12571,,
36,2620,,
5260,5163,,
521,520,,
809,1013,,
3210,6759,,
558,470,,
6233,5168,,
3029,3220,,
4327,4144,,
7517,164,,
2067,7642,,
10568,64,,
4295,4177,,
4643,10579,,
11807,11845,,
12396,10474,,
11862,11857,,
13603,13598,,
5364,4936,,
6099,7282,,
2072,3034,,
7637,4920,,
11734,11694,,
10899,10579,,
4992,4917,,
2069,125,,
11980,7677,,
4652,4470,,
7682,12036,,
5049,4854,,
4828,1393,,
2506,7516,,
7599,10539,,
5227,5206,,
11480,11494,,
3633,2643,,
3497,3544,,
11526,11538,,
7513,809,,
3243,4686,,
1443,11278,,
516,285,,
4382,4737,,
4411,3704,,
8996,5611,,
11866,11853,,
11618,11600,,
7679,4902,,
7687,4920,,
5584,5585,,
10921,11693,,
4308,5034,,
3020,138,,
11756,11646,,
4118,4350,,
1545,5988,,
453,5968,,
7630,7694,,
7641,13664,,
6978,7094,,
11796,11634,,
6851,6849,,
10536,10542,,
3590,3450,,
11621,11618,,
4426,4687,,
7503,13529,,
504,1341,,
2633,533,,
7516,1365,,
4177,4295,,
7651,5661,,
7540,8444,,
11493,11501,,
1919,2022,,
4926,5224,,
11699,11729,,
7513,7507,,
2039,2708,,
7513,7198,,
2641,12711,,
70,1267,,
11853,11866,,
9001,6450,,
3170,10237,,
11725,11703,,
11648,11636,,
948,880,,
12131,11875,,
11602,11575,,
4950,4251,,
4062,1589,,
11967,11949,,
6354,13612,,
12007,12026,,
2175,11837,,
2961,3971,,
1014,1870,,
3096,3158,,
11511,2174,,
4144,4327,,
7641,7524,,
11543,12005,,
9281,1074,,
5585,10879,,
12020,12013,,
3595,5955,,
7648,2629,,
11954,11962,,
66,7508,,
11963,11953,,
7529,12006,,
4902,5003,,
3162,5948,,
125,2069,,
11821,11756,,
10534,7511,,
809,8444,,
827,4029,,
11555,11567,,
11593,11584,,
7507,7643,,
1793,1770,,
11980,12002,,
4591,10539,,
555,4148,,
2514,6484,,
4086,141,,
11788,11909,,
529,4065,,
1013,8444,,
8700,583,,
519,286,,
5248,251,,
11973,11943,,
3482,10774,,
4028,973,,
4332,3618,,
1237,2623,,
11960,11956,,
11844,11779,,
809,7540,,
11947,11969,,
4967,4229,,
519,7508,,
1332,4034,,
1342,7524,,
1645,5605,,
11618,11621,,
12711,2488,,
3130,3122,,
579,6169,,
11969,11947,,
11522,11542,,
12006,7529,,
7513,2936,,
12222,2425,,
533,2633,,
11476,11498,,
11531,11533,,
13653,11693,,
11985,11992,,
11833,12135,,
11994,5502,,
10419,4825,,
3146,3107,,
3904,59,,
1645,5654,,
4034,1332,,
5894,5650,,
467,564,,
7886,8581,,
11564,11765,,
11982,5502,,
13596,13602,,
168,23,,
3998,141,,
531,7677,,
11977,12005,,
10420,6106,,
11897,11717,,
11535,11529,,
5232,7514,,
6484,2514,,
7515,1244,,
1214,4828,,
3728,6422,,
7509,10534,,
3179,4134,,
6320,4492,,
13525,7517,,
10579,4643,,
11900,11818,,
7524,7641,,
929,909,,
11485,11489,,
4686,3243,,
998,10550,,
141,3998,,
13594,13591,,
6894,6870,,
5654,1645,,
7585,7597,,
6235,7272,,
82,6818,,
7651,10665,,
12002,531,,
11708,11721,,
12002,7647,,
7682,1342,,
7060,4382,,
12013,12020,,
5650,5894,,
11595,11582,,
126,1873,,
5351,4935,,
11498,11476,,
11883,12075,,
4930,4980,,
13525,13528,,
7508,285,,
3728,9004,,
11982,11994,,
13664,7524,,
4471,4650,,
11995,11981,,
5206,5227,,
11565,11557,,
7040,3356,,
2039,2425,,
7509,7511,,
12712,7192,,
1322,12220,,
81,113,,
7503,27,,
11712,11717,,
11839,11816,,
1322,2047,,
12026,12007,,
7682,10568,,
4923,4986,,
515,516,,
11544,11520,,
11489,11485,,
7506,5232,,
7504,1365,,
1382,5666,,
5168,6226,,
6165,5908,,
5908,6165,,
7512,516,,
11989,11988,,
3034,3215,,
816,12712,,
2623,1237,,
8444,1013,,
4655,10548,,
7886,718,,
973,4028,,
11422,7520,,
11995,10544,,
10906,7522,,
514,3211,,
7599,4591,,
10566,10587,,
8422,7510,,
3444,3595,,
739,9279,,
12075,11883,,
6235,5248,,
36,2509,,
7683,7529,,
4920,9001,,
5003,4902,,
3213,3036,,
3235,3011,,
7517,13529,,
1944,10474,,
7272,6235,,
2674,1891,,
8659,4790,,
8565,10559,,
12036,2069,,
11868,11851,,
7517,27,,
11731,11697,,
10577,4652,,
7642,504,,
2506,1365,,
11910,11787,,
1265,7683,,
7657,1750,,
11721,11708,,
12313,3554,,
11564,11762,,
11619,11585,,
1341,504,,
7505,7515,,
520,3038,,
1658,1539,,
5666,1382,,
755,13526,,
4470,10577,,
4899,12557,,
5585,5584,,
7681,7507,,
11696,11732,,
4350,4118,,
10685,1382,,
11128,1003,,
4470,4652,,
11712,11897,,
6818,112,,
7982,1149,,
3107,3146,,
7652,4853,,
7677,12002,,
11981,10544,,
11867,11852,,
62,1344,,
7650,8984,,
11964,11952,,
12074,11884,,
10534,7509,,
12222,2708,,
3444,6183,,
5948,3162,,
5634,3170,,
2496,2169,,
7503,13524,,
11594,11583,,
11951,11965,,
5611,8996,,
11636,11648,,
8657,10610,,
7514,1864,,
6099,9255,,
12008,12025,,
5168,5253,,
10237,3086,,
7643,7507,,
11494,11480,,
2074,7680,,
7676,2629,,
3086,5634,,
2186,11121,,
5233,5191,,
31,156,,
7647,493,,
3220,10533,,
4927,5223,,
4854,5049,,
7635,2737,,
5223,4927,,
6464,269,,
12295,2155,,
127,1345,,
3478,3562,,
7647,11980,,
6370,5669,,
3317,7627,,
2169,2496,,
10899,4643,,
11540,11524,,
11700,11728,,
4587,4524,,
2072,3215,,
11490,11484,,
3476,3568,,
453,579,,
12003,11979,,
3218,3031,,
11523,11541,,
11847,11805,,
2425,12222,,
11993,11984,,
2936,7643,,
2435,1892,,
7642,2067,,
7681,809,,
11942,11974,,
11536,11528,,
7355,10320,,
519,66,,
7503,13521,,
475,551,,
10745,2339,,
2047,1287,,
11527,11537,,
11955,11961,,
7627,3317,,
12036,7642,,
579,453,,
13664,7641,,
543,2156,,
11543,11977,,
12461,11993,,
10751,168,,
12017,12016,,
13528,7503,,
11693,10921,,
11556,11566,,
11716,11713,,
5847,2488,,
5046,4857,,
11968,11948,,
7692,3304,,
7514,7506,,
3158,3096,,
11850,11869,,
6831,10876,,
