stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
S22,5584,WEST COLDSPRING STATION (METRO) nb,,39.336464,-76.672632,,,,,0
S1,7500,OWINGS MILLS STATION (METRO),,39.407642,-76.78076800000002,,,,,0
S14,7510,JOHNS HOPKINS STATION (METRO),,39.298289,-76.594107,,,,,0
S15,7511,SHOT TOWER STATION (METRO) nb,,39.289952,-76.605814,,,,,0
S16,7512,CHARLES CENTER (METRO) nb,,39.289452,-76.616275,,,,,0
S17,7513,LEXINGTON MARKET (METRO) nb,,39.29173,-76.620914,,,,,0
S18,7514,STATE CENTER (METRO) nb,,39.301515,-76.623166,,,,,0
S19,7515,UPTON STATION (METRO) nb,,39.305318,-76.63672,,,,,0
S20,7516,PENN NORTH STAT (METRO) nb,,39.310195,-76.64259,,,,,0
S21,7517,MONDAWMIN STATION (METRO) nb,,39.318211,-76.652759,,,,,0
S24,7519,REIST PLAZA STATION (METRO) nb,,39.352589,-76.70609499999998,,,,,0
S25,7520,MILFORD MILL STATION (METRO) nb,,39.362777,-76.721459,,,,,0
S26,7522,OLD COURT STATION (METRO) nb,,39.371003,-76.74366500000002,,,,,0
S58,7627,BWI AIRPORT LT RAIL nb,,39.181298,-76.668468,,,,,0
S59,7628,BWI BUSINESS PARK STATION,,39.191594,-76.673937,,,,,0
S50,7630,LINTHICUM LT RAIL nb,,39.202261,-76.655047,,,,,0
S51,7631,NORTH LINTHICUM LT RAIL nb,,39.214389,-76.645586,,,,,0
S52,7632,NURSERY RD & LIGHT RAIL nb,,39.222291,-76.64094300000002,,,,,0
S53,7634,BATIMORE HIGHLANDS & LT RAIL nb,,39.234256,-76.633123,,,,,0
S54,7635,PATAPSCO & LIGHT RAIL STAT nb,,39.242013,-76.629838,,,,,0
S55,7637,CHERRY HILL LIGHT RAIL STAT nb,,39.256034,-76.63489200000002,,,,,0
S56,7638,WESTPORT LIGHT RAIL STAT nb,,39.262107,-76.631345,,,,,0
S57,7639,HAMBURG & LIGHT RAIL STAT nb,,39.278425,-76.620326,,,,,0
S29,7640,CAMDEN STA/LT RAIL,,39.282038,-76.619426,,,,,0
