shape_id,x,y,z,id,platform_name,station_name,type,op_year
1,-76.594107,39.298288999999784,0,1,A1,JOHNS HOPKINS STATION (METRO),CR,1997
2,-76.605814,39.28995199999981,0,2,A2,SHOT TOWER STATION (METRO) nb,CR,1997
3,-76.616275,39.28945199999982,0,3,A3,CHARLES CENTER (METRO) nb,CR,1997
4,-76.620914,39.291729999999795,0,4,A4,LEXINGTON MARKET (METRO) nb,CR,1997
5,-76.623166,39.3015149999998,0,5,A5,STATE CENTER (METRO) nb,CR,1997
6,-76.63672,39.30531799999981,0,6,A6,UPTON STATION (METRO) nb,CR,1997
7,-76.64259,39.31019499999983,0,7,A7,PENN NORTH STAT (METRO) nb,CR,1997
8,-76.652759,39.31821099999979,0,8,A8,MONDAWMIN STATION (METRO) nb,CR,1997
9,-76.672632,39.33646399999979,0,9,A9,WEST COLDSPRING STATION (METRO) nb,CR,1997
10,-76.69438199999998,39.34633599999981,0,10,A10,ROGERS STATION (METRO) nb,CR,1997
11,-76.70609499999998,39.3525889999998,0,11,A11,REIST PLAZA STATION (METRO) nb,CR,1997
12,-76.721459,39.3627769999998,0,12,A12,MILFORD MILL STATION (METRO) nb,CR,1997
13,-76.74366500000002,39.3710029999998,0,13,A13,OLD COURT STATION (METRO) nb,CR,1997
14,-76.78076800000002,39.40764199999981,0,14,A14,OWINGS MILLS STATION (METRO),CR,1997
15,-76.668468,39.1812979999998,0,15,B1,BWI AIRPORT LT RAIL nb,LR,1997
16,-76.673937,39.19159399999978,0,16,B2,BWI BUSINESS PARK STATION,LR,1997
17,-76.655047,39.20226099999978,0,17,B3,LINTHICUM LT RAIL nb,LR,1997
18,-76.645586,39.2143889999998,0,18,B4,NORTH LINTHICUM LT RAIL nb,LR,1997
19,-76.64094300000002,39.222290999999785,0,19,B5,NURSERY RD & LIGHT RAIL nb,LR,1997
20,-76.633123,39.23425599999982,0,20,B6,BATIMORE HIGHLANDS & LT RAIL nb,LR,1997
21,-76.629838,39.24201299999981,0,21,B7,PATAPSCO & LIGHT RAIL STAT nb,LR,1997
22,-76.63489200000002,39.256033999999794,0,22,B8,CHERRY HILL LIGHT RAIL STAT nb,LR,1997
23,-76.631345,39.262106999999794,0,23,B9,WESTPORT LIGHT RAIL STAT nb,LR,1997
24,-76.620326,39.278424999999814,0,24,B10,HAMBURG & LIGHT RAIL STAT nb,LR,1997
25,-76.619426,39.2820379999998,0,25,B11,CAMDEN STA/LT RAIL,LR,1997
26,-76.619375,39.286262999999806,0,26,B12,PRATT ST LIGHT RAIL STAT nb,LR,1997
27,-76.619511,39.289154999999795,0,27,B13,BALTIMORE ST & LIGHT RAIL STAT nb,LR,1997
28,-76.619686,39.29197499999981,0,28,B14,LEXINGTON ST & LIGHT RAIL STAT nb,LR,1997
29,-76.619951,39.296500999999786,0,29,B15,CENTRE ST & LT RAIL STAT nb,LR,1997
30,-76.620324,39.30302199999981,0,30,B16,CULTURAL CTR & LT RAIL nb,LR,1997
31,-76.619973,39.3071809999998,0,31,B17,MT ROYAL & LT RAIL STAT nb,LR,1997
32,-76.622241,39.3114719999998,0,32,B18,NORTH AVE LIGHT RAIL  nb,LR,1997
33,-76.622754,39.3123879999998,0,33,B19,RELIEF PT/DIVISION,LR,1997
34,-76.643242,39.330978999999786,0,34,B20,WOODBERRY/LT RAIL  sb,LR,1997
35,-76.647801,39.3441539999998,0,35,B21,COLDSPRING & LIGHT RAIL STAT nb,LR,1997
36,-76.651504,39.36790799999981,0,36,B22,MT WASHINGTON & LT RAIL STAT nb,LR,1997
37,-76.650423,39.3760719999998,0,37,B23,FALLS RD & LT RAIL STAT nb,LR,1997
38,-76.627089,39.42955099999982,0,38,B24,LUTHERVILLE & LT RAIL STAT nb,LR,1997
39,-76.628174,39.43412399999979,0,39,B25,TIMONIUM BUSINESS PARK,LR,1997
40,-76.634893,39.44859199999982,0,40,B26,TIMONIUM FAIRGROUNDS LIGHT RAIL STATION nb,LR,1997
41,-76.65351899999997,39.475602999999815,0,41,B27,WARREN RD LIT RAIL nb,LR,1997
42,-76.661789,39.48159099999982,0,42,B28,GILROY RD LIGHT RAIL  nb,LR,1997
43,-76.658265,39.48994999999979,0,43,B29,McCORMICK RD LIGHT RAIL nb,LR,1997
44,-76.65487399999998,39.49221099999981,0,44,B30,PEPPER RD & LT RAIL STAT nb,LR,1997
45,-76.653746,39.496266999999804,0,45,B31,HUNT VALLEY & LT RAIL STAT nb,LR,1997
46,-77.006795,38.89903599999979,0,46,C1/D1/F1,UNION STATION MARC Washington,HR,1997
47,-77.030698,38.9944589999998,0,47,C2,SILVER SPRING MARC wb,HR,1997
48,-77.072188,39.027124999999785,0,48,C3,KENSINGTON MARC wb,HR,1997
49,-77.14699300000002,39.08519799999979,0,49,C4,ROCKVILLE MARC wb,HR,1997
50,-77.193339,39.1415319999998,0,50,C5,GAITHERSBURG MARC wb,HR,1997
51,-77.22711,39.14979099999981,0,51,C6,METROPOLITAN GROVE MARC wb,HR,1997
52,-77.269566,39.17252299999978,0,52,C7,GERMANTOWN MARC wb,HR,1997
53,-77.382234,39.20954199999981,0,53,C8,BARNESVILLE MARC wb,HR,1997
54,-77.53336999999998,39.2734929999998,0,54,C9,POINT OF ROCKS MARC wb,HR,1997
55,-77.62702700000001,39.311948999999785,0,55,C10,BRUNSWICK MD MARC wb,HR,1997
56,-77.730548,39.324585999999805,0,56,C11,HARPERS FERRY W VA MARC wb,HR,1997
57,-77.82666,39.3623519999998,0,57,C12,DUFFIELFS W VA MARC wb,HR,1997
58,-77.96165500000002,39.461112999999806,0,58,C13,MARTINSBURG W VA MARC,HR,1997
59,-76.873141,38.94696899999979,0,59,D2,NEW CARROLLTON MARC nb,HR,1997
60,-76.842772,38.97344399999979,0,60,D3,SEABROOK MARC nb,HR,1997
61,-76.762049,39.0207919999998,0,61,D4,BOWIE STATE MARC nb,HR,1997
62,-76.706099,39.08685999999979,0,62,D5,ODENTON MARC nb,HR,1997
63,-76.69456,39.19232699999979,0,63,D6,BWI RAIL STATION MARC nb,HR,1997
64,-76.69119599999999,39.2387799999998,0,64,D7,HALETHORPE MARC nb,HR,1997
