frequency_id,line_id,start_time,end_time,headway_sec
T1,A_2,06:12:00,06:41:00,60
T10,A_2,23:19:00,23:48:00,60
T100,A_2,19:39:00,20:08:00,60
T1002,B_2,06:15:00,07:35:00,60
T1003,B_2,06:45:00,08:05:00,60
T1004,B_2,07:15:00,08:35:00,60
T1005,B_2,07:45:00,09:05:00,60
T1006,B_2,08:15:00,09:35:00,60
T101,A_2,20:01:00,20:30:00,60
T1019,B_2,08:45:00,10:05:00,60
T102,A_2,20:23:00,20:52:00,60
T1020,B_2,09:15:00,10:35:00,60
T1021,B_2,09:45:00,11:05:00,60
T1022,B_2,10:15:00,11:35:00,60
T1023,B_2,10:45:00,12:05:00,60
T1024,B_2,11:15:00,12:35:00,60
T1025,B_2,11:45:00,13:05:00,60
T1026,B_2,12:15:00,13:35:00,60
T1027,B_2,19:15:00,20:35:00,60
T1028,B_2,19:45:00,21:05:00,60
T1029,B_2,20:15:00,21:35:00,60
T103,A_2,08:07:00,08:37:00,60
T1030,B_2,20:45:00,22:05:00,60
T1031,B_2,21:15:00,22:35:00,60
T1032,B_2,21:45:00,23:05:00,60
T1033,B_2,22:15:00,23:35:00,60
T104,A_2,07:59:00,08:29:00,60
T105,A_2,07:51:00,08:21:00,60
T106,A_2,07:43:00,08:13:00,60
T110,A_2,07:35:00,08:05:00,60
T111,A_2,07:27:00,07:57:00,60
T112,A_2,07:19:00,07:49:00,60
T113,A_2,07:11:00,07:41:00,60
T1136,B_1,10:40:00,12:00:00,60
T1137,B_1,11:10:00,12:30:00,60
T1138,B_1,11:40:00,13:00:00,60
T1139,B_1,12:10:00,13:30:00,60
T114,A_2,07:03:00,07:33:00,60
T1140,B_1,12:40:00,14:00:00,60
T1141,B_1,13:10:00,14:30:00,60
T1142,B_1,13:40:00,15:00:00,60
T1143,B_1,14:10:00,15:30:00,60
T1144,B_1,14:40:00,16:00:00,60
T1145,B_1,15:10:00,16:30:00,60
T1146,B_1,15:40:00,17:00:00,60
T1147,B_1,16:10:00,17:30:00,60
T1148,B_1,16:40:00,18:00:00,60
T1149,B_1,17:10:00,18:30:00,60
T115,A_2,06:55:00,07:25:00,60
T1150,B_1,17:40:00,19:00:00,60
T1151,B_1,18:10:00,19:30:00,60
T1152,B_1,18:40:00,20:00:00,60
T1153,B_1,19:10:00,20:30:00,60
T1154,B_1,19:40:00,21:00:00,60
T116,A_2,06:47:00,07:17:00,60
T117,A_2,06:39:00,07:09:00,60
T118,A_2,06:31:00,07:01:00,60
