line_id,platform_no,sequence_no
A_2,A14_2,0
A_2,A13_2,1
A_2,A12_2,2
A_2,A11_2,3
A_2,A10_2,4
A_2,A9_2,5
A_2,A8_2,6
A_2,A7_2,7
A_2,A6_2,8
A_2,A5_2,9
A_2,A4_2,10
A_2,A3_2,11
A_2,A2_2,12
A_2,A1_2,13
F_2,F7_2,0
F_2,F6_2,1
F_2,F5_2,2
F_2,F4_2,3
F_2,F3_2,4
F_2,F2_2,5
F_2,F1_2,6
F_1,F1_1,0
F_1,F2_1,1
F_1,F3_1,2
F_1,F4_1,3
F_1,F5_1,4
F_1,F6_1,5
F_1,F7_1,6
B_1,B1_1,0
B_1,B2_1,1
B_1,B3_1,2
B_1,B4_1,3
B_1,B5_1,4
B_1,B6_1,5
B_1,B7_1,6
B_1,B8_1,7
B_1,B9_1,8
B_1,B10_1,9
B_1,B11_1,10
B_1,B12_1,11
B_1,B13_1,12
B_1,B14_1,13
B_1,B15_1,14
B_1,B16_1,15
B_1,B17_1,16
B_1,B18_1,17
B_1,B19_1,18
B_1,B20_1,19
B_1,B21_1,20
B_1,B22_1,21
B_1,B23_1,22
B_1,B24_1,23
B_1,B25_1,24
B_1,B26_1,25
B_1,B27_1,26
B_1,B28_1,27
B_1,B29_1,28
B_1,B30_1,29
B_1,B31_1,30
B_2,B31_2,0
B_2,B30_2,1
B_2,B29_2,2
B_2,B28_2,3
B_2,B27_2,4
B_2,B26_2,5
B_2,B25_2,6
B_2,B24_2,7
B_2,B23_2,8
B_2,B22_2,9
B_2,B21_2,10
B_2,B20_2,11
B_2,B19_2,12
B_2,B18_2,13
B_2,B17_2,14
B_2,B16_2,15
B_2,B15_2,16
B_2,B14_2,17
B_2,B13_2,18
B_2,B12_2,19
B_2,B11_2,20
B_2,B10_2,21
B_2,B9_2,22
B_2,B8_2,23
B_2,B7_2,24
B_2,B6_2,25
B_2,B5_2,26
B_2,B4_2,27
B_2,B3_2,28
B_2,B2_2,29
B_2,B1_2,30
C_2,C13_2,0
C_2,C12_2,1
C_2,C11_2,2
C_2,C10_2,3
C_2,C9_2,4
C_2,C8_2,5
C_2,C7_2,6
C_2,C6_2,7
C_2,C5_2,8
C_2,C4_2,9
C_2,C3_2,10
C_2,C2_2,11
C_2,C1_2,12
A_1,A1_1,0
A_1,A2_1,1
A_1,A3_1,2
A_1,A4_1,3
A_1,A5_1,4
A_1,A6_1,5
A_1,A7_1,6
A_1,A8_1,7
A_1,A9_1,8
A_1,A10_1,9
A_1,A11_1,10
A_1,A12_1,11
A_1,A13_1,12
A_1,A14_1,13
C_1,C1_1,0
C_1,C2_1,1
C_1,C3_1,2
C_1,C4_1,3
C_1,C5_1,4
C_1,C6_1,5
C_1,C7_1,6
C_1,C8_1,7
C_1,C9_1,8
C_1,C10_1,9
C_1,C11_1,10
C_1,C12_1,11
C_1,C13_1,12
D_2,D13_2,0
D_2,D12_2,1
D_2,D11_2,2
D_2,D10_2,3
D_2,D9_2,4
D_2,D8_2,5
D_2,D7_2,6
D_2,D6_2,7
D_2,D5_2,8
D_2,D4_2,9
D_2,D3_2,10
D_2,D2_2,11
D_2,D1_2,12
D_1,D1_1,0
D_1,D2_1,1
D_1,D3_1,2
D_1,D4_1,3
D_1,D5_1,4
D_1,D6_1,5
D_1,D7_1,6
D_1,D8_1,7
D_1,D9_1,8
D_1,D10_1,9
D_1,D11_1,10
D_1,D12_1,11
D_1,D13_1,12
