shape_id,x,y,z,id,platform_name,station_name,type,op_year
1,435012.01953940256,181198.34335072388,0,1,A1,JOHNS HOPKINS STATION (METRO),CR,1997
2,434006.1856317935,180268.36561883448,0,2,A2,SHOT TOWER STATION (METRO) nb,CR,1997
3,433103.9602625248,180209.01178560348,0,3,A3,CHARLES CENTER (METRO) nb,CR,1997
4,432702.7057998121,180460.23737386984,0,4,A4,LEXINGTON MARKET (METRO) nb,CR,1997
5,432503.9488212912,181545.7404599897,0,5,A5,STATE CENTER (METRO) nb,CR,1997
6,431333.1699382884,181963.20238398493,0,6,A6,UPTON STATION (METRO) nb,CR,1997
7,430824.7608629147,182502.63911504654,0,7,A7,PENN NORTH STAT (METRO) nb,CR,1997
8,429944.35650276684,183389.1774110194,0,8,A8,MONDAWMIN STATION (METRO) nb,CR,1997
9,428223.347298328,185409.27311363327,0,9,A9,WEST COLDSPRING STATION (METRO) nb,CR,1997
10,426344.55462392105,186498.7563597997,0,10,A10,ROGERS STATION (METRO) nb,CR,1997
11,425332.6517156075,187189.64775154242,0,11,A11,REIST PLAZA STATION (METRO) nb,CR,1997
12,424004.93040051876,188316.56895957844,0,12,A12,MILFORD MILL STATION (METRO) nb,CR,1997
13,422088.6368846096,189224.2176038008,0,13,A13,OLD COURT STATION (METRO) nb,CR,1997
14,418881.6731065561,193283.60595487972,0,14,A14,OWINGS MILLS STATION (METRO),CR,1997
15,428644.89615999296,168184.56133660467,0,15,B1,BWI AIRPORT LT RAIL nb,LR,1997
16,428168.28523708624,169325.86359613272,0,16,B2,BWI BUSINESS PARK STATION,LR,1997
17,429795.6928111051,170516.0541569358,0,17,B3,LINTHICUM LT RAIL nb,LR,1997
18,430607.6658063255,171865.57343666165,0,18,B4,NORTH LINTHICUM LT RAIL nb,LR,1997
19,431005.1890286337,172744.38250100103,0,19,B5,NURSERY RD & LIGHT RAIL nb,LR,1997
20,431675.1175715986,174075.36753188065,0,20,B6,BATIMORE HIGHLANDS & LT RAIL nb,LR,1997
21,431955.24173060624,174937.66173648412,0,21,B7,PATAPSCO & LIGHT RAIL STAT nb,LR,1997
22,431512.7182954179,176492.4618638701,0,22,B8,CHERRY HILL LIGHT RAIL STAT nb,LR,1997
23,431816.1379246935,177167.89504166762,0,23,B9,WESTPORT LIGHT RAIL STAT nb,LR,1997
24,432759.573960531,178983.36399440534,0,24,B10,HAMBURG & LIGHT RAIL STAT nb,LR,1997
25,432835.55641488376,179384.7919919196,0,25,B11,CAMDEN STA/LT RAIL,LR,1997
26,432838.00092698593,179853.85796464534,0,26,B12,PRATT ST LIGHT RAIL STAT nb,LR,1997
27,432824.9295561438,180174.8711064127,0,27,B13,BALTIMORE ST & LIGHT RAIL STAT nb,LR,1997
28,432808.5280532467,180487.87727281952,0,28,B14,LEXINGTON ST & LIGHT RAIL STAT nb,LR,1997
29,432783.5755865326,180990.24739198084,0,29,B15,CENTRE ST & LT RAIL STAT nb,LR,1997
30,432748.38928612845,181714.060010535,0,30,B16,CULTURAL CTR & LT RAIL nb,LR,1997
31,432776.74196476344,182175.9093893652,0,31,B17,MT ROYAL & LT RAIL STAT nb,LR,1997
32,432579.1602839306,182651.47592987903,0,32,B18,NORTH AVE LIGHT RAIL  nb,LR,1997
33,432534.49751062924,182752.98558524202,0,33,B19,RELIEF PT/DIVISION,LR,1997
34,430759.5120624278,184809.8282799194,0,34,B20,WOODBERRY/LT RAIL  sb,LR,1997
35,430360.7959605939,186270.97906016672,0,35,B21,COLDSPRING & LIGHT RAIL STAT nb,LR,1997
36,430031.51837374136,188906.91833361748,0,36,B22,MT WASHINGTON & LT RAIL STAT nb,LR,1997
37,430121.2018686021,189813.6447547503,0,37,B23,FALLS RD & LT RAIL STAT nb,LR,1997
38,432107.5045565507,195758.9131948782,0,38,B24,LUTHERVILLE & LT RAIL STAT nb,LR,1997
39,432012.01901851426,196266.23787978545,0,39,B25,TIMONIUM BUSINESS PARK,LR,1997
40,431427.1316560515,197870.18180328928,0,40,B26,TIMONIUM FAIRGROUNDS LIGHT RAIL STATION nb,LR,1997
41,429812.4966355476,200862.79573365263,0,41,B27,WARREN RD LIT RAIL nb,LR,1997
42,429098.45573026565,201524.94152524023,0,42,B28,GILROY RD LIGHT RAIL  nb,LR,1997
43,429398.1724265037,202454.1261793211,0,43,B29,McCORMICK RD LIGHT RAIL nb,LR,1997
44,429688.9369364635,202706.25092474226,0,44,B30,PEPPER RD & LT RAIL STAT nb,LR,1997
45,429784.2629025222,203156.93586839075,0,45,B31,HUNT VALLEY & LT RAIL STAT nb,LR,1997
46,399410.5674744107,136798.31160315612,0,46,F1/C1/D1,UNION STATION MARC Washington,HR,1997
47,397340.66299845173,147391.54814814005,0,47,C2,SILVER SPRING MARC wb,HR,1997
48,393749.2939112979,151019.8390828975,0,48,C3,KENSINGTON MARC wb,HR,1997
49,387282.36848895566,157474.37970679405,0,49,C4,ROCKVILLE MARC wb,HR,1997
50,383285.8266703686,163735.6483473285,0,50,C5,GAITHERSBURG MARC wb,HR,1997
51,380368.60736145684,164659.23270342656,0,51,C6,METROPOLITAN GROVE MARC wb,HR,1997
52,376706.17162511224,167192.78368651273,0,52,C7,GERMANTOWN MARC wb,HR,1997
53,366987.5223671285,171337.17796067812,0,53,C8,BARNESVILLE MARC wb,HR,1997
54,353975.9384763497,178502.15166715396,0,54,C9,POINT OF ROCKS MARC wb,HR,1997
55,345923.7942531794,182822.7398407495,0,55,C10,BRUNSWICK MD MARC wb,HR,1997
56,337007.3167860184,184292.03011465704,0,56,C11,HARPERS FERRY W VA MARC wb,HR,1997
57,328758.08458168735,188555.32955756038,0,57,C12,DUFFIELFS W VA MARC wb,HR,1997
58,317240.06010730145,199633.38100722202,0,58,C13,MARTINSBURG W VA MARC,HR,1997
59,410996.99082239764,142126.9003815234,0,59,D2,NEW CARROLLTON MARC nb,HR,1997
60,413624.51567574847,145069.96285325813,0,60,D3,SEABROOK MARC nb,HR,1997
61,420605.81426587724,150341.1920255015,0,61,D4,BOWIE STATE MARC nb,HR,1997
62,425427.28200078086,157689.5744431393,0,62,D5,ODENTON MARC nb,HR,1997
63,426386.4176782456,169401.0750681441,0,63,D6,BWI RAIL STATION MARC nb,HR,1997
64,426659.58177423326,174559.0485796103,0,64,D7,HALETHORPE MARC nb,HR,1997
65,429925.2687219129,180628.37850924683,0,65,D8,WEST BALTIMORE MARC nb,HR,1997
66,433127.77298840106,182176.93445864777,0,66,D9,PENN STATION MARC nb,HR,1997
67,450061.68838931515,185724.388178908,0,67,D10,MARTIN AIRPORT MARC nb,HR,1997
68,460957.83340274275,194421.53495952723,0,68,D11,EDGEWOOD MARC nb,HR,1997
69,472019.0018339235,204860.68280616959,0,69,D12,ABERDEEN MARC nb,HR,1997
70,479652.8372915553,210368.71901468016,0,70,D13,PERRYVILLE MARC,HR,1997
71,406118.53261187783,145359.98916877917,0,71,F2,COLLEGE PARK MARC nb,HR,1997
72,409955.39082963235,154900.04155603432,0,72,F3,MUIRKIRK MARC nb,HR,1997
73,413657.3195900083,159320.86815488283,0,73,F4,LAUREL MARC nb,HR,1997
74,417610.0976794766,161664.19151491876,0,74,F5,SAVAGE MARC nb,HR,1997
75,422021.98320094694,168159.9589569569,0,75,F6,DORSEY MARC nb,HR,1997
76,432814.1715234702,179588.86695518252,0,76,F7,CAMDEN STATION MARC,HR,1997
