from_stn,to_stn,travel_time,type
A1,A2,120.0,RTS
A10,A11,120.0,RTS
A10,A9,120.0,RTS
A11,A10,120.0,RTS
A11,A12,120.0,RTS
A12,A11,120.0,RTS
A12,A13,180.0,RTS
A13,A12,180.0,RTS
A13,A14,300.0,RTS
A14,A13,240.0,RTS
A2,A1,120.0,RTS
A2,A3,120.0,RTS
A3,A2,120.0,RTS
A3,A4,60.0,RTS
A4,A3,120.0,RTS
A4,A5,120.0,RTS
A5,A4,93.15175097276264,RTS
A5,A6,120.0,RTS
A6,A5,120.0,RTS
A6,A7,60.0,RTS
A7,A6,86.84824902723736,RTS
A7,A8,120.0,RTS
A8,A7,120.0,RTS
A8,A9,180.0,RTS
A9,A10,120.0,RTS
A9,A8,190.73929961089493,RTS
B1,B2,180.0,RTS
B10,B11,120.0,RTS
B10,B9,120.0,RTS
B11,B10,120.0,RTS
B11,B12,120.0,RTS
B12,B11,120.0,RTS
B12,B13,151.0,RTS
B13,B12,120.0,RTS
B13,B14,149.0,RTS
B14,B13,180.0,RTS
B14,B15,180.0,RTS
B15,B14,180.0,RTS
B15,B16,180.0,RTS
B16,B15,180.0,RTS
B16,B17,120.0,RTS
B17,B16,120.0,RTS
B17,B18,120.0,RTS
B18,B17,120.0,RTS
B18,B19,60.0,RTS
B19,B18,60.0,RTS
B19,B20,180.0,RTS
B2,B1,180.0,RTS
B2,B3,300.0,RTS
B20,B19,180.0,RTS
B20,B21,120.0,RTS
B21,B20,120.0,RTS
B21,B22,240.0,RTS
B22,B21,240.0,RTS
B22,B23,60.0,RTS
B23,B22,120.0,RTS
B23,B24,420.0,RTS
B24,B23,420.0,RTS
B24,B25,120.0,RTS
B25,B24,60.0,RTS
B25,B26,120.0,RTS
B26,B25,120.0,RTS
B26,B27,300.0,RTS
B27,B26,300.0,RTS
B27,B28,180.0,RTS
B28,B27,120.0,RTS
B28,B29,120.0,RTS
B29,B28,120.0,RTS
B29,B30,180.0,RTS
B3,B2,300.0,RTS
B3,B4,180.0,RTS
B30,B29,180.0,RTS
B30,B31,120.0,RTS
B31,B30,120.0,RTS
B4,B3,240.0,RTS
B4,B5,120.0,RTS
B5,B4,120.0,RTS
B5,B6,120.0,RTS
B6,B5,180.0,RTS
B6,B7,120.0,RTS
B7,B6,120.0,RTS
B7,B8,120.0,RTS
B8,B7,120.0,RTS
B8,B9,120.0,RTS
B9,B10,180.0,RTS
B9,B8,120.0,RTS
C1/D1/F1,C2,840.0,RTS
C1/D1/F1,D2,660.0,RTS
C1/D1/F1,F2,660.0,RTS
C10,C11,1140.0,RTS
C10,C9,600.0,RTS
C11,C10,900.0,RTS
C11,C12,900.0,RTS
C12,C11,540.0,RTS
C12,C13,300.0,RTS
C13,C12,960.0,RTS
C2,C1/D1/F1,1320.0,RTS
C2,C3,360.0,RTS
C3,C2,660.0,RTS
C3,C4,540.0,RTS
C4,C3,420.0,RTS
C4,C5,420.0,RTS
C5,C4,480.0,RTS
C5,C6,180.0,RTS
C6,C5,360.0,RTS
C6,C7,420.0,RTS
C7,C6,360.0,RTS
C7,C8,600.0,RTS
C8,C7,600.0,RTS
C8,C9,660.0,RTS
C9,C10,840.0,RTS
C9,C8,600.0,RTS
D10,D11,900.0,RTS
D10,D9,900.0,RTS
D11,D10,720.0,RTS
D11,D12,660.0,RTS
D12,D11,600.0,RTS
D12,D13,720.0,RTS
D13,D12,480.0,RTS
D2,C1/D1/F1,900.0,RTS
D2,D3,240.0,RTS
D3,D2,240.0,RTS
D3,D4,360.0,RTS
D4,D3,480.0,RTS
D4,D5,420.0,RTS
D5,D4,420.0,RTS
D5,D6,540.0,RTS
D6,D5,480.0,RTS
D6,D7,300.0,RTS
D7,D6,480.0,RTS
D7,D8,420.0,RTS
D8,D7,420.0,RTS
D8,D9,660.0,RTS
D9,D10,720.0,RTS
D9,D8,540.0,RTS
F2,C1/D1/F1,1200.0,RTS
F2,F3,480.0,RTS
F3,F2,720.0,RTS
F3,F4,420.0,RTS
F4,F3,300.0,RTS
F4,F5,360.0,RTS
F5,F4,420.0,RTS
F5,F6,720.0,RTS
F6,F5,480.0,RTS
F6,F7,1680.0,RTS
F7,F6,1140.0,RTS
