trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,line_id,opp_line,route_id,shape_id,service_id,generic_line,direction,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,route_type,type,type_int,capacity,length,platform_no,geometry,x,y,proj_on_line,block_id,station_no
T122,11:20:00,11:20:00,S14,1,,0,0,A_1,A_2,10196,L5,1,A,1,7510,JOHNS HOPKINS STATION (METRO),,39.298289000000004,-76.594107,,,,,0,1,CR,1,170,60,A1_1,POINT (435012.0195394026 181198.3433507239),435012.01953940256,181198.34335072388,"(434997.83660520276, 181206.49576136313)",104,A1
T122,11:22:00,11:22:00,S15,2,,0,0,A_1,A_2,10196,L5,1,A,1,7511,SHOT TOWER STATION (METRO) nb,,39.289952,-76.605814,,,,,0,1,CR,1,170,60,A2_1,POINT (434006.1856317935 180268.3656188345),434006.1856317935,180268.36561883448,"(434009.11973164656, 180268.15625020897)",105,A2
T122,11:24:00,11:24:00,S16,3,,0,0,A_1,A_2,10196,L5,1,A,1,7512,CHARLES CENTER (METRO) nb,,39.289452000000004,-76.616275,,,,,0,1,CR,1,170,60,A3_1,POINT (433103.9602625248 180209.0117856035),433103.9602625248,180209.01178560348,"(433094.03553744464, 180209.8582281852)",106,A3
T122,11:25:00,11:25:00,S17,4,,0,0,A_1,A_2,10196,L5,1,A,1,7513,LEXINGTON MARKET (METRO) nb,,39.29173,-76.620914,,,,,0,1,CR,1,170,60,A4_1,POINT (432702.7057998121 180460.2373738698),432702.7057998121,180460.23737386984,"(432690.2260634774, 180432.4307205015)",107,A4
T122,11:27:00,11:27:00,S18,5,,0,0,A_1,A_2,10196,L5,1,A,1,7514,STATE CENTER (METRO) nb,,39.301515,-76.623166,,,,,0,1,CR,1,170,60,A5_1,POINT (432503.9488212912 181545.7404599897),432503.9488212912,181545.7404599897,"(432506.91861042386, 181536.76012596916)",108,A5
T122,11:29:00,11:29:00,S19,6,,0,0,A_1,A_2,10196,L5,1,A,1,7515,UPTON STATION (METRO) nb,,39.305318,-76.63672,,,,,0,1,CR,1,170,60,A6_1,POINT (431333.1699382884 181963.2023839849),431333.1699382884,181963.20238398493,"(431337.53901024425, 181949.00924562654)",109,A6
T122,11:30:00,11:30:00,S20,7,,0,0,A_1,A_2,10196,L5,1,A,1,7516,PENN NORTH STAT (METRO) nb,,39.310195,-76.64259,,,,,0,1,CR,1,170,60,A7_1,POINT (430824.7608629147 182502.6391150465),430824.7608629147,182502.63911504654,"(430833.4396481114, 182488.79561480094)",110,A7
T122,11:32:00,11:32:00,S21,8,,0,0,A_1,A_2,10196,L5,1,A,1,7517,MONDAWMIN STATION (METRO) nb,,39.318211,-76.652759,,,,,0,1,CR,1,170,60,A8_1,POINT (429944.3565027668 183389.1774110194),429944.35650276684,183389.1774110194,"(429941.4165013265, 183391.27561029108)",111,A8
T122,11:35:00,11:35:00,S22,9,,0,0,A_1,A_2,10196,L5,1,A,1,5584,WEST COLDSPRING STATION (METRO) nb,,39.336464,-76.672632,,,,,0,1,CR,1,170,60,A9_1,POINT (428223.347298328 185409.2731136333),428223.347298328,185409.27311363327,"(428192.28595493315, 185464.22802553466)",112,A9
T122,11:37:00,11:37:00,S23,10,,0,0,A_1,A_2,10196,L5,1,A,1,10420,ROGERS STATION (METRO) nb,,39.346336,-76.69438199999998,,,,,0,1,CR,1,170,60,A10_1,POINT (426344.5546239211 186498.7563597997),426344.55462392105,186498.7563597997,"(426343.7668992338, 186528.06323877643)",113,A10
T122,11:39:00,11:39:00,S24,11,,0,0,A_1,A_2,10196,L5,1,A,1,7519,REIST PLAZA STATION (METRO) nb,,39.352589,-76.70609499999998,,,,,0,1,CR,1,170,60,A11_1,POINT (425332.6517156075 187189.6477515424),425332.6517156075,187189.64775154242,"(425353.7006828879, 187210.92057127343)",114,A11
T122,11:41:00,11:41:00,S25,12,,0,0,A_1,A_2,10196,L5,1,A,1,7520,MILFORD MILL STATION (METRO) nb,,39.362777,-76.721459,,,,,0,1,CR,1,170,60,A12_1,POINT (424004.9304005188 188316.5689595784),424004.93040051876,188316.56895957844,"(424003.89332566876, 188345.76441551623)",115,A12
T122,11:44:00,11:44:00,S26,13,,0,0,A_1,A_2,10196,L5,1,A,1,7522,OLD COURT STATION (METRO) nb,,39.371003,-76.74366500000002,,,,,0,1,CR,1,170,60,A13_1,POINT (422088.6368846096 189224.2176038008),422088.6368846096,189224.2176038008,"(422110.58104813495, 189204.07332593863)",116,A13
T122,11:49:00,11:49:00,S1,14,,0,0,A_1,A_2,10196,L5,1,A,1,7500,OWINGS MILLS STATION (METRO),,39.407641999999996,-76.78076800000002,,,,,0,1,CR,1,170,60,A14_1,POINT (418881.6731065561 193283.6059548797),418881.6731065561,193283.60595487972,"(418892.6138119891, 193282.52200896802)",117,A14
T1, 6:12:00, 6:12:00,S1,1,,0,0,A_2,A_1,10196,L1,1,A,2,7500,OWINGS MILLS STATION (METRO),,39.407641999999996,-76.78076800000002,,,,,0,1,CR,1,170,60,A14_2,POINT (418881.6731065561 193283.6059548797),418881.6731065561,193283.60595487972,"(418892.6138119891, 193282.52200896802)",1,A14
T1, 6:16:00, 6:16:00,S26,2,,0,0,A_2,A_1,10196,L1,1,A,2,7522,OLD COURT STATION (METRO) nb,,39.371003,-76.74366500000002,,,,,0,1,CR,1,170,60,A13_2,POINT (422088.6368846096 189224.2176038008),422088.6368846096,189224.2176038008,"(422110.58104813495, 189204.07332593863)",2,A13
T1, 6:19:00, 6:19:00,S25,3,,0,0,A_2,A_1,10196,L1,1,A,2,7520,MILFORD MILL STATION (METRO) nb,,39.362777,-76.721459,,,,,0,1,CR,1,170,60,A12_2,POINT (424004.9304005188 188316.5689595784),424004.93040051876,188316.56895957844,"(424003.89332566876, 188345.76441551623)",3,A12
T1, 6:21:00, 6:21:00,S24,4,,0,0,A_2,A_1,10196,L1,1,A,2,7519,REIST PLAZA STATION (METRO) nb,,39.352589,-76.70609499999998,,,,,0,1,CR,1,170,60,A11_2,POINT (425332.6517156075 187189.6477515424),425332.6517156075,187189.64775154242,"(425353.7006828879, 187210.92057127343)",4,A11
T1, 6:23:00, 6:23:00,S23,5,,0,0,A_2,A_1,10196,L1,1,A,2,10420,ROGERS STATION (METRO) nb,,39.346336,-76.69438199999998,,,,,0,1,CR,1,170,60,A10_2,POINT (426344.5546239211 186498.7563597997),426344.55462392105,186498.7563597997,"(426343.7668992338, 186528.06323877643)",5,A10
T1, 6:25:00, 6:25:00,S22,6,,0,0,A_2,A_1,10196,L1,1,A,2,5584,WEST COLDSPRING STATION (METRO) nb,,39.336464,-76.672632,,,,,0,1,CR,1,170,60,A9_2,POINT (428223.347298328 185409.2731136333),428223.347298328,185409.27311363327,"(428192.28595493315, 185464.22802553466)",6,A9
T1, 6:28:00, 6:28:00,S21,7,,0,0,A_2,A_1,10196,L1,1,A,2,7517,MONDAWMIN STATION (METRO) nb,,39.318211,-76.652759,,,,,0,1,CR,1,170,60,A8_2,POINT (429944.3565027668 183389.1774110194),429944.35650276684,183389.1774110194,"(429941.4165013265, 183391.27561029108)",7,A8
T1, 6:30:00, 6:30:00,S20,8,,0,0,A_2,A_1,10196,L1,1,A,2,7516,PENN NORTH STAT (METRO) nb,,39.310195,-76.64259,,,,,0,1,CR,1,170,60,A7_2,POINT (430824.7608629147 182502.6391150465),430824.7608629147,182502.63911504654,"(430833.4396481114, 182488.79561480094)",8,A7
T1, 6:32:00, 6:32:00,S19,9,,0,0,A_2,A_1,10196,L1,1,A,2,7515,UPTON STATION (METRO) nb,,39.305318,-76.63672,,,,,0,1,CR,1,170,60,A6_2,POINT (431333.1699382884 181963.2023839849),431333.1699382884,181963.20238398493,"(431337.53901024425, 181949.00924562654)",9,A6
T1, 6:34:00, 6:34:00,S18,10,,0,0,A_2,A_1,10196,L1,1,A,2,7514,STATE CENTER (METRO) nb,,39.301515,-76.623166,,,,,0,1,CR,1,170,60,A5_2,POINT (432503.9488212912 181545.7404599897),432503.9488212912,181545.7404599897,"(432506.91861042386, 181536.76012596916)",10,A5
T1, 6:35:00, 6:35:00,S17,11,,0,0,A_2,A_1,10196,L1,1,A,2,7513,LEXINGTON MARKET (METRO) nb,,39.29173,-76.620914,,,,,0,1,CR,1,170,60,A4_2,POINT (432702.7057998121 180460.2373738698),432702.7057998121,180460.23737386984,"(432690.2260634774, 180432.4307205015)",11,A4
T1, 6:37:00, 6:37:00,S16,12,,0,0,A_2,A_1,10196,L1,1,A,2,7512,CHARLES CENTER (METRO) nb,,39.289452000000004,-76.616275,,,,,0,1,CR,1,170,60,A3_2,POINT (433103.9602625248 180209.0117856035),433103.9602625248,180209.01178560348,"(433094.03553744464, 180209.8582281852)",12,A3
T1, 6:39:00, 6:39:00,S15,13,,0,0,A_2,A_1,10196,L1,1,A,2,7511,SHOT TOWER STATION (METRO) nb,,39.289952,-76.605814,,,,,0,1,CR,1,170,60,A2_2,POINT (434006.1856317935 180268.3656188345),434006.1856317935,180268.36561883448,"(434009.11973164656, 180268.15625020897)",13,A2
T1, 6:41:00, 6:41:00,S14,14,,0,0,A_2,A_1,10196,L1,1,A,2,7510,JOHNS HOPKINS STATION (METRO),,39.298289000000004,-76.594107,,,,,0,1,CR,1,170,60,A1_2,POINT (435012.0195394026 181198.3433507239),435012.01953940256,181198.34335072388,"(434997.83660520276, 181206.49576136313)",14,A1
T572, 4:59:00, 4:59:00,S58,1,,0,0,B_1,B_2,10210,L16,1,B,1,7627,BWI AIRPORT LT RAIL nb,,39.181298,-76.668468,,,,,0,0,LR,0,105,56,B1_1,POINT (428644.896159993 168184.5613366047),428644.89615999296,168184.56133660467,"(428640.91807569575, 168185.54603148642)",29,B1
T572, 5:02:00, 5:02:00,S59,2,,0,0,B_1,B_2,10210,L16,1,B,1,7628,BWI BUSINESS PARK STATION,,39.191594,-76.673937,,,,,0,0,LR,0,105,56,B2_1,POINT (428168.2852370862 169325.8635961327),428168.28523708624,169325.86359613272,"(428108.20379364083, 169312.99340688813)",30,B2
T572, 5:07:00, 5:07:00,S50,3,,0,0,B_1,B_2,10210,L16,1,B,1,7630,LINTHICUM LT RAIL nb,,39.202261,-76.655047,,,,,0,0,LR,0,105,56,B3_1,POINT (429795.6928111051 170516.0541569358),429795.6928111051,170516.0541569358,"(429752.36354826274, 170484.69494938263)",31,B3
T572, 5:10:00, 5:10:00,S51,4,,0,0,B_1,B_2,10210,L16,1,B,1,7631,NORTH LINTHICUM LT RAIL nb,,39.214389000000004,-76.645586,,,,,0,0,LR,0,105,56,B4_1,POINT (430607.6658063255 171865.5734366617),430607.6658063255,171865.57343666165,"(430649.99108677247, 171996.8487115497)",32,B4
T572, 5:12:00, 5:12:00,S52,5,,0,0,B_1,B_2,10210,L16,1,B,1,7632,NURSERY RD & LIGHT RAIL nb,,39.222291,-76.64094300000002,,,,,0,0,LR,0,105,56,B5_1,POINT (431005.1890286337 172744.382501001),431005.1890286337,172744.38250100103,"(431072.071717888, 172929.93334291328)",33,B5
T572, 5:14:00, 5:14:00,S53,6,,0,0,B_1,B_2,10210,L16,1,B,1,7634,BATIMORE HIGHLANDS & LT RAIL nb,,39.234256,-76.633123,,,,,0,0,LR,0,105,56,B6_1,POINT (431675.1175715986 174075.3675318806),431675.1175715986,174075.36753188065,"(431669.2643169875, 174092.44069826655)",34,B6
T572, 5:16:00, 5:16:00,S54,7,,0,0,B_1,B_2,10210,L16,1,B,1,7635,PATAPSCO & LIGHT RAIL STAT nb,,39.242013,-76.629838,,,,,0,0,LR,0,105,56,B7_1,POINT (431955.2417306062 174937.6617364841),431955.24173060624,174937.66173648412,"(431954.9353804292, 174970.63275574095)",35,B7
T572, 5:18:00, 5:18:00,S55,8,,0,0,B_1,B_2,10210,L16,1,B,1,7637,CHERRY HILL LIGHT RAIL STAT nb,,39.256034,-76.63489200000002,,,,,0,0,LR,0,105,56,B8_1,POINT (431512.7182954179 176492.4618638701),431512.7182954179,176492.4618638701,"(431489.2221867314, 176518.90125965248)",36,B8
T572, 5:20:00, 5:20:00,S56,9,,0,0,B_1,B_2,10210,L16,1,B,1,7638,WESTPORT LIGHT RAIL STAT nb,,39.262107,-76.631345,,,,,0,0,LR,0,105,56,B9_1,POINT (431816.1379246935 177167.8950416676),431816.1379246935,177167.89504166762,"(431820.25129139225, 177217.86991167153)",37,B9
T572, 5:23:00, 5:23:00,S57,10,,0,0,B_1,B_2,10210,L16,1,B,1,7639,HAMBURG & LIGHT RAIL STAT nb,,39.278425,-76.620326,,,,,0,0,LR,0,105,56,B10_1,POINT (432759.573960531 178983.3639944053),432759.573960531,178983.36399440534,"(432772.883974059, 179019.5005163692)",38,B10
T572, 5:25:00, 5:25:00,S29,11,,0,0,B_1,B_2,10210,L16,1,B,1,7640,CAMDEN STA/LT RAIL,,39.282038,-76.619426,,,,,0,0,LR,0,105,56,B11_1,POINT (432835.5564148838 179384.7919919196),432835.55641488376,179384.7919919196,"(432851.8070376466, 179336.23341531013)",39,B11
T572, 5:27:00, 5:27:00,S30,12,,0,0,B_1,B_2,10210,L16,1,B,1,7641,PRATT ST LIGHT RAIL STAT nb,,39.286263,-76.619375,,,,,0,0,LR,0,105,56,B12_1,POINT (432838.0009269859 179853.8579646453),432838.00092698593,179853.85796464534,"(432840.99549762084, 179859.86548735792)",40,B12
T572, 5:29:31, 5:29:31,S31,13,,0,0,B_1,B_2,10210,L16,1,B,1,7642,BALTIMORE ST & LIGHT RAIL STAT nb,,39.289155,-76.619511,,,,,0,0,LR,0,105,56,B13_1,POINT (432824.9295561438 180174.8711064127),432824.9295561438,180174.8711064127,"(432824.93670048466, 180193.85543429622)",41,B13
T572, 5:32:00, 5:32:00,S32,14,,0,0,B_1,B_2,10210,L16,1,B,1,7643,LEXINGTON ST & LIGHT RAIL STAT nb,,39.291975,-76.619686,,,,,0,0,LR,0,105,56,B14_1,POINT (432808.5280532467 180487.8772728195),432808.5280532467,180487.87727281952,"(432812.6431754387, 180431.94065600715)",42,B14
T572, 5:35:00, 5:35:00,S33,15,,0,0,B_1,B_2,10210,L16,1,B,1,7644,CENTRE ST & LT RAIL STAT nb,,39.296501,-76.619951,,,,,0,0,LR,0,105,56,B15_1,POINT (432783.5755865326 180990.2473919808),432783.5755865326,180990.24739198084,"(432781.20434592833, 180958.93001542622)",43,B15
T572, 5:38:00, 5:38:00,S34,16,,0,0,B_1,B_2,10210,L16,1,B,1,7645,CULTURAL CTR & LT RAIL nb,,39.303022,-76.620324,,,,,0,0,LR,0,105,56,B16_1,POINT (432748.3892861285 181714.060010535),432748.38928612845,181714.060010535,"(432737.5272802931, 181754.09297077067)",44,B16
T572, 5:40:00, 5:40:00,S35,17,,0,0,B_1,B_2,10210,L16,1,B,1,7646,MT ROYAL & LT RAIL STAT nb,,39.307181,-76.619973,,,,,0,0,LR,0,105,56,B17_1,POINT (432776.7419647634 182175.9093893652),432776.74196476344,182175.9093893652,"(432787.4387650202, 182154.74912950152)",45,B17
T572, 5:42:00, 5:42:00,S27,18,,0,0,B_1,B_2,10210,L16,1,B,1,7648,NORTH AVE LIGHT RAIL  nb,,39.311471999999995,-76.622241,,,,,0,0,LR,0,105,56,B18_1,POINT (432579.1602839306 182651.475929879),432579.1602839306,182651.47592987903,"(432576.6693503497, 182649.02318216284)",46,B18
T572, 5:43:00, 5:43:00,S36,19,,1,1,B_1,B_2,10210,L16,1,B,1,7649,RELIEF PT/DIVISION,,39.312388,-76.622754,,,,,0,0,LR,0,105,56,B19_1,POINT (432534.4975106292 182752.985585242),432534.49751062924,182752.98558524202,"(432521.08875722904, 182742.0502209645)",47,B19
T572, 5:46:00, 5:46:00,S37,20,,0,0,B_1,B_2,10210,L16,1,B,1,7650,WOODBERRY/LT RAIL  sb,,39.330979,-76.643242,,,,,0,0,LR,0,105,56,B20_1,POINT (430759.5120624278 184809.8282799194),430759.5120624278,184809.8282799194,"(430746.660126861, 184833.20340773516)",48,B20
T572, 5:48:00, 5:48:00,S38,21,,0,0,B_1,B_2,10210,L16,1,B,1,7651,COLDSPRING & LIGHT RAIL STAT nb,,39.344153999999996,-76.647801,,,,,0,0,LR,0,105,56,B21_1,POINT (430360.7959605939 186270.9790601667),430360.7959605939,186270.97906016672,"(430353.1555727577, 186262.7340312762)",49,B21
T572, 5:52:00, 5:52:00,S39,22,,0,0,B_1,B_2,10210,L16,1,B,1,7652,MT WASHINGTON & LT RAIL STAT nb,,39.367908,-76.651504,,,,,0,0,LR,0,105,56,B22_1,POINT (430031.5183737414 188906.9183336175),430031.51837374136,188906.91833361748,"(430031.0767678316, 188887.15476078377)",50,B22
