polyline_id,x,y,z,sequence_no
1,418892.6138119891,193282.52200896802,0,1
1,419001.4321035305,193230.2704624167,0,2
1,419086.36058474454,193191.95126655218,0,3
1,419192.2213662727,193152.68485332478,0,4
1,419277.2031768448,193128.46774415238,0,5
1,419530.9852032536,193074.69290798687,0,6
1,419624.9215958546,193052.3891936162,0,7
1,419690.853511971,193035.23448715638,0,8
1,419808.7093302589,192988.90097446647,0,9
1,419878.65747992916,192950.66364520768,0,10
1,419956.4695328714,192902.4548525502,0,11
1,420015.4043108895,192860.3050063207,0,12
1,420138.01417533716,192741.93483070686,0,13
1,420226.68798195285,192624.7004787128,0,14
1,420282.33328004973,192523.4801730325,0,15
1,420322.1229990624,192425.3279258623,0,16
1,420343.91137606796,192360.32505116993,0,17
1,420369.5991420087,192253.2548157595,0,18
1,420379.39703317825,192195.21543607948,0,19
1,420385.0305892118,192082.2091637171,0,20
1,420394.6783757868,191617.1614513472,0,21
1,420413.4095613968,191503.0791476399,0,22
1,420427.2471818664,191449.04724190602,0,23
1,420458.02467052895,191373.96519536697,0,24
2,420458.02467052895,191373.96519536697,0,1
2,420527.67425697664,191258.79462011848,0,2
2,420566.4864379089,191208.60297733475,0,3
2,420921.3918628647,190831.61981050234,0,4
2,420995.12706967,190739.44595883146,0,5
2,421063.8212837853,190632.16032450125,0,6
2,421159.2042590399,190436.90666501454,0,7
2,421188.0083203623,190362.8215598274,0,8
2,421223.6657418753,190239.6833918058,0,9
2,421296.9143446723,189980.53437254103,0,10
2,421324.6982285691,189902.4503134317,0,11
2,421336.5896369625,189870.3972707937,0,12
2,421357.4530519159,189834.37182186008,0,13
2,421389.319620701,189776.2830190424,0,14
2,421464.0771759363,189693.99752077746,0,15
2,421783.32037065504,189446.0755456259,0,16
2,421856.1336211739,189383.8833623521,0,17
2,422110.58104813495,189204.07332593863,0,18
2,422197.4281857697,189147.9189546251,0,19
2,422283.3500574537,189114.6333657868,0,20
2,422423.1996578651,189057.18853230722,0,21
2,422603.0708073644,189017.62452540657,0,22
2,422903.93323017465,188977.74984022285,0,23
2,423088.8761073722,188973.29451075738,0,24
2,423222.9050610973,188963.80811466952,0,25
3,423222.9050610973,188963.80811466952,0,1
3,423329.79752942704,188951.57896025895,0,2
3,423410.7549730644,188938.2748401464,0,3
3,423430.76252427103,188933.22741594084,0,4
3,423449.733034929,188929.17614510198,0,5
3,423476.7296770885,188921.15209306567,0,6
3,423491.146273792,188912.64647164175,0,7
3,423797.18004929315,188590.49373192564,0,8
3,423970.9790307223,188400.06453638012,0,9
3,424003.89332566876,188345.76441551623,0,10
3,424045.5211788424,188260.40508756478,0,11
3,424061.1662335177,188217.1545965429,0,12
3,424075.99040556996,188160.57907099478,0,13
3,424134.761100062,187825.47491440762,0,14
3,424157.3262807161,187774.47441147684,0,15
3,424182.45006951207,187732.36353821543,0,16
3,424237.818430402,187664.81099304208,0,17
3,424268.05608153413,187641.5897559956,0,18
3,424302.5998988705,187619.49214737053,0,19
3,424576.14978313015,187513.76153680336,0,20
4,424576.14978313015,187513.76153680336,0,1
4,424758.2506344061,187437.727859967,0,2
4,424894.5964258319,187385.97814714865,0,3
4,425278.6059417764,187243.98528004697,0,4
4,425301.91003063676,187234.06828627273,0,5
4,425353.7006828879,187210.92057127343,0,6
4,425426.22819913324,187172.29723101904,0,7
4,425470.27299311117,187145.79462710067,0,8
4,425513.46694532264,187115.9588804718,0,9
4,425560.1198109997,187082.8039764354,0,10
4,425647.3351781107,187034.23851419197,0,11
