line_id,block_id,sequence_no
A_2,1,0
A_2,2,1
A_2,3,2
A_2,4,3
A_2,5,4
A_2,6,5
A_2,7,6
A_2,8,7
A_2,9,8
A_2,10,9
A_2,11,10
A_2,12,11
A_2,13,12
A_2,14,13
F_2,15,0
F_2,16,1
F_2,17,2
F_2,18,3
F_2,19,4
F_2,20,5
F_2,21,6
F_1,22,0
F_1,23,1
F_1,24,2
F_1,25,3
F_1,26,4
F_1,27,5
F_1,28,6
B_1,29,0
B_1,30,1
B_1,31,2
B_1,32,3
B_1,33,4
B_1,34,5
B_1,35,6
B_1,36,7
B_1,37,8
B_1,38,9
B_1,39,10
B_1,40,11
B_1,41,12
B_1,42,13
B_1,43,14
B_1,44,15
B_1,45,16
B_1,46,17
B_1,47,18
B_1,48,19
B_1,49,20
B_1,50,21
B_1,51,22
B_1,52,23
B_1,53,24
B_1,54,25
B_1,55,26
B_1,56,27
B_1,57,28
B_1,58,29
B_1,59,30
B_2,60,0
B_2,61,1
B_2,62,2
B_2,63,3
B_2,64,4
B_2,65,5
B_2,66,6
B_2,67,7
B_2,68,8
B_2,69,9
B_2,70,10
B_2,71,11
B_2,72,12
B_2,73,13
B_2,74,14
B_2,75,15
B_2,76,16
B_2,77,17
B_2,78,18
B_2,79,19
B_2,80,20
B_2,81,21
B_2,82,22
B_2,83,23
B_2,84,24
B_2,85,25
B_2,86,26
B_2,87,27
B_2,88,28
B_2,89,29
B_2,90,30
C_2,91,0
C_2,92,1
C_2,93,2
C_2,94,3
C_2,95,4
C_2,96,5
C_2,97,6
C_2,98,7
C_2,99,8
C_2,100,9
C_2,101,10
C_2,102,11
C_2,103,12
A_1,104,0
A_1,105,1
A_1,106,2
A_1,107,3
A_1,108,4
A_1,109,5
A_1,110,6
A_1,111,7
A_1,112,8
A_1,113,9
A_1,114,10
A_1,115,11
A_1,116,12
A_1,117,13
C_1,118,0
C_1,119,1
C_1,120,2
C_1,121,3
C_1,122,4
C_1,123,5
C_1,124,6
C_1,125,7
C_1,126,8
C_1,127,9
C_1,128,10
C_1,129,11
C_1,130,12
D_2,131,0
D_2,132,1
D_2,133,2
D_2,134,3
D_2,135,4
D_2,136,5
D_2,137,6
D_2,138,7
D_2,139,8
D_2,140,9
D_2,141,10
D_2,142,11
D_2,143,12
D_1,144,0
D_1,145,1
D_1,146,2
D_1,147,3
D_1,148,4
D_1,149,5
D_1,150,6
D_1,151,7
D_1,152,8
D_1,153,9
D_1,154,10
D_1,155,11
D_1,156,12
