from_stn,to_stn,travel_time,type
A1,A2,120,RTS
A10,A11,120,RTS
A10,A9,120,RTS
A11,A10,120,RTS
A11,A12,120,RTS
A12,A11,120,RTS
A12,A13,180,RTS
A13,A12,180,RTS
A13,A14,300,RTS
A14,A13,240,RTS
A2,A1,120,RTS
A2,A3,120,RTS
A3,A2,120,RTS
A3,A4,60,RTS
A4,A3,120,RTS
A4,A5,120,RTS
A5,A4,60,RTS
A5,A6,120,RTS
A6,A5,120,RTS
A6,A7,60,RTS
A7,A6,120,RTS
A7,A8,120,RTS
A8,A7,120,RTS
A8,A9,180,RTS
A9,A10,120,RTS
A9,A8,180,RTS
B1,B2,180,RTS
B10,B11,120,RTS
B10,B9,120,RTS
B11,B10,120,RTS
B11,B12,120,RTS
B12,B11,120,RTS
B12,B13,151,RTS
B13,B12,120,RTS
B13,B14,149,RTS
B14,B13,180,RTS
B14,B15,180,RTS
B15,B14,180,RTS
B15,B16,180,RTS
B16,B15,180,RTS
B16,B17,120,RTS
B17,B16,120,RTS
B17,B18,120,RTS
B18,B17,120,RTS
B18,B19,60,RTS
B19,B18,60,RTS
B19,B20,180,RTS
B2,B1,180,RTS
B2,B3,300,RTS
B20,B19,180,RTS
B20,B21,120,RTS
B21,B20,120,RTS
B21,B22,240,RTS
B22,B21,240,RTS
B22,B23,60,RTS
B23,B22,120,RTS
B23,B24,420,RTS
B24,B23,420,RTS
B24,B25,120,RTS
B25,B24,60,RTS
B25,B26,120,RTS
B26,B25,120,RTS
B26,B27,300,RTS
B27,B26,300,RTS
B27,B28,180,RTS
B28,B27,120,RTS
B28,B29,120,RTS
B29,B28,120,RTS
B29,B30,180,RTS
B3,B2,300,RTS
B3,B4,180,RTS
B30,B29,180,RTS
B30,B31,120,RTS
B31,B30,120,RTS
B4,B3,240,RTS
B4,B5,120,RTS
B5,B4,120,RTS
B5,B6,120,RTS
B6,B5,180,RTS
B6,B7,120,RTS
B7,B6,120,RTS
B7,B8,120,RTS
B8,B7,120,RTS
B8,B9,120,RTS
B9,B10,180,RTS
B9,B8,120,RTS
C1/D1/F1,C2,840,RTS
C1/D1/F1,D2,660,RTS
C1/D1/F1,F2,660,RTS
C10,C11,1140,RTS
C10,C9,600,RTS
C11,C10,900,RTS
C11,C12,900,RTS
C12,C11,540,RTS
C12,C13,300,RTS
C13,C12,960,RTS
C2,C1/D1/F1,1320,RTS
C2,C3,360,RTS
C3,C2,660,RTS
C3,C4,540,RTS
C4,C3,420,RTS
C4,C5,420,RTS
C5,C4,480,RTS
C5,C6,180,RTS
C6,C5,360,RTS
C6,C7,420,RTS
C7,C6,360,RTS
C7,C8,600,RTS
C8,C7,600,RTS
C8,C9,660,RTS
C9,C10,840,RTS
C9,C8,600,RTS
D10,D11,900,RTS
D10,D9,900,RTS
D11,D10,720,RTS
D11,D12,660,RTS
D12,D11,600,RTS
D12,D13,720,RTS
D13,D12,480,RTS
D2,C1/D1/F1,900,RTS
D2,D3,240,RTS
D3,D2,240,RTS
D3,D4,360,RTS
D4,D3,480,RTS
D4,D5,420,RTS
D5,D4,420,RTS
D5,D6,540,RTS
D6,D5,480,RTS
D6,D7,300,RTS
D7,D6,480,RTS
D7,D8,420,RTS
D8,D7,420,RTS
D8,D9,660,RTS
D9,D10,720,RTS
D9,D8,540,RTS
F2,C1/D1/F1,1200,RTS
F2,F3,480,RTS
F3,F2,720,RTS
F3,F4,420,RTS
F4,F3,300,RTS
F4,F5,360,RTS
F5,F4,420,RTS
F5,F6,720,RTS
F6,F5,480,RTS
F6,F7,1680,RTS
F7,F6,1140,RTS
