mrt_stop_id,segment_id
1,132592
2,73598
3,192597
4,74798
5,125668
6,81391
7,81678
8,7881
9,200794
10,155598
11,229257
12,40740
13,66908
14,248055
15,200650
16,92181
17,233093
18,211980
19,47989
20,23912
21,163364
22,153391
23,152964
24,130156
25,82498
26,212082
27,72588
28,168450
29,13827
30,17524
31,169199
32,111646
33,120339
34,4571
35,204074
36,46584
37,42470
38,21906
39,21907
40,111373
41,129525
42,89677
43,64616
44,64622
45,136255
46,3083
47,36220
48,36220
49,59355
50,142883
51,142883
52,61614
53,91076
54,140040
55,140040
56,140040
57,127959
58,127959
59,140323
60,140323
61,1520
62,45021
63,198922
64,137338
65,151934
66,89702
67,39862
68,58301
69,10408
70,122723
71,3083
72,3083
73,111516
74,27520
75,39754
76,82492
