shapeid,FID_1,ID,NAME,NB_LANES,SPEED,FNODE,TNODE,LinkCat,DIRECTION,CAPACITY,LENGTH,ctps_ID,FID_2,ID2,LENGTH_1,DIR,IN_MODEL,IN_MPO,BIKE_FLAG,ANODE,BNODE,A_TO_B_INB,OD_TOLL,STREETNAME,ROUTENUMBE,LRTP_PROJE,PROJECT_CA,PROJECT_YE,SCEN_00,SCEN_00_FU,SCEN_00_TR,SCEN_00_FI,SCEN_00_F1,SCEN_00_F2,SCEN_00_F3,SCEN_00_PN,SCEN_00_SP,SCEN_00_LA,SCEN_00_AB,SCEN_00_BA,SCEN_00_A1,SCEN_00_B1,SCEN_00_A2,SCEN_00_B2,SCEN_00_A3,SCEN_00_B3,SCEN_00_A4,SCEN_00_B4,SCEN_00_A5,SCEN_00_B5,SCEN_00_A6,SCEN_00_B6,SCEN_00_A7,SCEN_00_B7,SCEN_00_A8,SCEN_00_B8,SCEN_00_A9,SCEN_00_B9,SCEN_00_10,SCEN_00_11,SCEN_00_12,SCEN_00_13,AB_AM_CNT,BA_AM_CNT,AB_MD_CNT,BA_MD_CNT,AB_PM_CNT,BA_PM_CNT,AB_NT_CNT,BA_NT_CNT,AB_DLY_CNT,BA_DLY_CNT,AB_PEAK_CN,BA_PEAK_CN,AB_OFFPEAK,BA_OFFPEAK,AB_AMCAPAC,BA_AMCAPAC,AB_MDCAPAC,BA_MDCAPAC,AB_PMCAPAC,BA_PMCAPAC,AB_NTCAPAC,BA_NTCAPAC,COUNT_YEAR,EXPWY_COUN,EXPWY_SEGM,EXPWY2_SEG,TOTAL_AM,TOTAL_PM,TOTAL_DLY,SPEED_SCAL,MAX_VC,MEDIAN,TRUCK_EXCL,ACCESSCONT,DIVIDER1,PNR_PARKIN,I_93,I_90,I_95,RTE_128,LOGAN_ARRI,LOGAN_DEPA,ALPHA,BETA,MODEL_FUNC,ROUTESYSTE,ROADINVENT,ROADSEGMEN,SC_SEQUENC,GC,PEV,PEVSW,TRRT2STA,PEVMEASURE,SWM_FUNCTI,MODE,WALKTIME,BIKETIME,AB_AM_FFTI,BA_AM_FFTI,AB_MD_FFTI,BA_MD_FFTI,AB_PM_FFTI,BA_PM_FFTI,AB_NT_FFTI,BA_NT_FFTI,AB_AM_FFSP,BA_AM_FFSP,AB_MD_FFSP,BA_MD_FFSP,AB_PM_FFSP,BA_PM_FFSP,AB_NT_FFSP,BA_NT_FFSP,AB_AM_IVTT,BA_AM_IVTT,AB_MD_IVTT,BA_MD_IVTT,AB_PM_IVTT,BA_PM_IVTT,AB_NT_IVTT,BA_NT_IVTT,AB_AM_CONG,BA_AM_CONG,AB_MD_CONG,BA_MD_CONG,AB_PM_CONG,BA_PM_CONG,AB_NT_CONG,BA_NT_CONG,mg_class,MG_RDType,linkcat,NEW_ID_1,NAME_1,NB_LANES_1,SPEED_1,FNODE_1,TNODE_1,CATEGORY_1,DIRECTIO_1,CAPACITY_1,ctps_ID_1,a_text,b_text,ab_text,FID_12,LENGTH_12,a_text_1,b_text_1,ab_text_1,ba_text
0,50289,66168,DORCHESTER AVENUE,1,45,54065,54066,B,0,600,46.5839,58579,0,59397,46.5839,0,1,1,0,54065,54066,0,0,DORCHESTER AVENUE,N113,NULL,NULL,0,1,3,0,0.901539,0,0,0.01,0,28,600,1,1,1,1,1,1,1,1,0.105548,0.096732,0.098881,0.098043,0.09832,0.108857,0.096594,0.096602,0.105702,0.096852,0.098259,0.097919,0.098104,0.109906,0.096594,0.096605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,2850,2850,1500,1500,4200,4200,0,0,NULL,NULL,1745.31616,1682.81344,7111,1,1.136474,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,3,0,5398500,53985,0,2,0,0,0,0,3,70,0.901539,0.01,0.096593,0.096593,0.096593,0.096593,0.096593,0.096593,0.096593,0.096593,32,32,32,32,32,32,32,32,0.117276,0.10748,0.109868,0.108937,0.109244,0.120952,0.107327,0.107336,0.105548,0.096732,0.098881,0.098043,0.09832,0.108857,0.096594,0.096602,4,4,B,66167,DORCHESTER AVENUE,1,45,54065,54066,B,0,600,58579,54065,54066,54065/54066,58579,0.045077,54065,54066,54065/54066,54066/54065
1,52914,141349,ADAMS STREET,1,45,52345,52346,B,2,600,57.4756,62058,0,62957,57.4756,0,1,1,0,52346,52345,0,0,ADAMS STREET,N113,NULL,NULL,0,1,3,0,1.03742,0,0,0.207484,0,28,600,1,1,1,1,1,1,1,1,0.402973,0.168835,0.188093,0.163492,0.185202,0.364938,0.114752,0.116902,0.364348,0.161576,0.168619,0.161267,0.203216,0.289186,0.114,0.115745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,2850,2850,1500,1500,4200,4200,0,0,NULL,NULL,2927.20026,2796.26927,12970,1,2.676978,2,0,1,** || **,0,0,0,0,0,0,0,0.83,4,3,0,25062600,250626,0,3,0,0,0,0,3,70,1.03742,0.207484,0.111152,0.111152,0.111152,0.111152,0.111152,0.111152,0.111152,0.111152,32,32,32,32,32,32,32,32,0.447748,0.187594,0.208992,0.181658,0.20578,0.405487,0.127502,0.129891,0.402973,0.168835,0.188093,0.163492,0.185202,0.364938,0.114752,0.116902,4,4,B,141348,ADAMS STREET,1,45,52345,52346,B,2,600,62058,52345,52346,52345/52346,62058,0.051871,52346,52345,52346/52345,52345/52346
2,53936,69815,DORCHESTER AVENUE,1,45,54074,54811,B,0,600,119.83,63373,0,64283,119.83,0,1,1,0,54074,54811,0,0,DORCHESTER AVENUE,N113,NULL,NULL,0,1,3,0,1.812608,0,0,0.01,0,28,600,1,1,1,1,1,1,1,1,0.212212,0.194486,0.198808,0.197122,0.19768,0.218864,0.194209,0.194225,0.212522,0.194727,0.197556,0.196872,0.197245,0.220974,0.194209,0.194232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,2850,2850,1500,1500,4200,4200,0,0,NULL,NULL,1745.31616,1682.81344,7111,1,1.136474,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,3,0,4992000,49920,0,2,0,0,0,0,3,70,1.812608,0.01,0.194208,0.194208,0.194208,0.194208,0.194208,0.194208,0.194208,0.194208,32,32,32,32,32,32,32,32,0.235791,0.216096,0.220898,0.219024,0.219644,0.243182,0.215788,0.215806,0.212212,0.194486,0.198808,0.197122,0.19768,0.218864,0.194209,0.194225,4,4,B,69814,DORCHESTER AVENUE,1,45,54074,54811,B,0,600,63373,54074,54811,54074/54811,63373,0.09063,54074,54811,54074/54811,54811/54074
3,50290,66169,ADAMS STREET,1,40,54068,54938,B,0,750,160.857,58580,0,59398,160.857,0,1,1,0,54068,54938,0,0,ADAMS STREET,BSR0504,NULL,NULL,0,1,5,0,2.321462,0,0,0.01,0,25,750,1,1,1,1,1,1,1,1,0.278576,0.278575,0.278575,0.278575,0.278575,0.278577,0.278575,0.278575,0.278575,0.278575,0.278575,0.278575,0.278575,0.278575,0.278575,0.278575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,3562.5,3562.5,1875,1875,5250,5250,0,0,NULL,NULL,41.233499,52.059998,133,1,0.821425,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,5,0,5695800,56958,0,2,0,0,0,0,5,70,2.321462,0.01,0.278575,0.278575,0.278575,0.278575,0.278575,0.278575,0.278575,0.278575,25,25,25,25,25,25,25,25,0.34822,0.348219,0.348219,0.348219,0.348219,0.348221,0.348219,0.348219,0.278576,0.278575,0.278575,0.278575,0.278575,0.278577,0.278575,0.278575,4,4,B,66168,ADAMS STREET,1,40,54068,54938,B,0,750,58580,54068,54938,54068/54938,58580,0.116073,54068,54938,54068/54938,54938/54068
4,52915,141350,CENTRAL AVENUE,1,48,37592,53708,C,2,775,79.3768,62059,0,62958,79.3768,0,1,1,0,53708,37592,0,0,CENTRAL AVENUE,BSR1874,COMPLETE STS,NULL,0,1,6,0,1.309606,0,0,0.327401,0,30,775,1,1,1,1,1,1,1,1,0.134708,0.130961,0.130961,0.130961,0.130961,0.137592,0.130961,0.130961,0.137823,0.130961,0.130961,0.130961,0.130961,0.135184,0.130961,0.130961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.5,1937.5,3681.25,3681.25,1937.5,1937.5,5425,5425,0,0,NULL,NULL,835.622742,852.907405,1895,1,1.421617,2,0,1,** || **,0,0,0,0,0,0,0,1.1,4,6,0,25071600,250716,0,3,0,0,0,0,8,70,1.309606,0.327401,0.130961,0.130961,0.130961,0.130961,0.130961,0.130961,0.130961,0.130961,30,30,30,30,30,30,30,30,0.19244,0.187087,0.187087,0.187087,0.187087,0.19656,0.187087,0.187087,0.134708,0.130961,0.130961,0.130961,0.130961,0.137592,0.130961,0.130961,5,5,C,141349,CENTRAL AVENUE,1,48,37592,53708,C,2,775,62059,37592,53708,37592/53708,62059,0.06548,53708,37592,53708/37592,37592/53708
5,53937,69816,DORCHESTER AVENUE,1,45,54069,54074,B,0,600,79.1324,63374,0,64284,79.1324,0,1,1,0,54069,54074,0,0,DORCHESTER AVENUE,N113,NULL,NULL,0,1,3,0,1.306229,0,0,0.01,0,28,600,1,1,1,1,1,1,1,1,0.152927,0.140153,0.143268,0.142053,0.142455,0.157721,0.139954,0.139965,0.153151,0.140327,0.142366,0.141873,0.142142,0.159242,0.139954,0.13997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,2850,2850,1500,1500,4200,4200,0,0,NULL,NULL,1745.31616,1682.81344,7111,1,1.136474,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,3,0,4998200,49982,0,2,0,0,0,0,3,70,1.306229,0.01,0.139953,0.139953,0.139953,0.139953,0.139953,0.139953,0.139953,0.139953,32,32,32,32,32,32,32,32,0.169919,0.155726,0.159187,0.157837,0.158283,0.175246,0.155504,0.155517,0.152927,0.140153,0.143268,0.142053,0.142455,0.157721,0.139954,0.139965,4,4,B,69815,DORCHESTER AVENUE,1,45,54069,54074,B,0,600,63374,54069,54074,54069/54074,63374,0.065311,54069,54074,54069/54074,54074/54069
6,45101,133536,WASHINGTON STREET,1,45,54061,54073,B,2,825,48.0286,51270,0,51871,48.0286,0,1,1,0,54073,54061,0,0,WASHINGTON STREET,BSR0486,COMPLETE STS,NULL,0,1,5,0,0.929225,0,0,0.185845,0,28,825,1,1,1,1,1,1,1,1,0.104027,0.105813,0.10294,0.104205,0.104907,0.112831,0.100574,0.101665,0.107303,0.102913,0.103149,0.104048,0.103515,0.113559,0.100471,0.101368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062.5,2062.5,3918.75,3918.75,2062.5,2062.5,5775,5775,0,0,NULL,NULL,1223.8193,1922.42457,8963,1,0.857608,2,0,1,** || **,0,0,0,0,0,0,0,1,4,5,0,5868400,58684,0,3,0,0,0,0,5,70,0.929225,0.185845,0.09956,0.09956,0.09956,0.09956,0.09956,0.09956,0.09956,0.09956,28,28,28,28,28,28,28,28,0.130034,0.132266,0.128675,0.130256,0.131134,0.141039,0.125717,0.127081,0.104027,0.105813,0.10294,0.104205,0.104907,0.112831,0.100574,0.101665,4,4,B,133535,WASHINGTON STREET,1,45,54061,54073,B,2,825,51270,54061,54073,54061/54073,51270,0.046461,54073,54061,54073/54061,54061/54073
7,50291,66170,ADAMS STREET,1,40,54063,54067,B,0,750,110.293,58581,0,59399,110.293,0,1,1,0,54063,54067,0,0,ADAMS STREET,BSR0504,NULL,NULL,0,1,5,0,1.688915,0,0,0.01,0,25,750,1,1,1,1,1,1,1,1,0.202671,0.20267,0.20267,0.20267,0.20267,0.202671,0.20267,0.20267,0.20267,0.20267,0.20267,0.20267,0.20267,0.20267,0.20267,0.20267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,3562.5,3562.5,1875,1875,5250,5250,0,0,NULL,NULL,41.233499,52.059998,133,1,0.821425,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,5,0,5014700,50147,0,2,0,0,0,0,5,70,1.688915,0.01,0.20267,0.20267,0.20267,0.20267,0.20267,0.20267,0.20267,0.20267,25,25,25,25,25,25,25,25,0.253339,0.253337,0.253337,0.253337,0.253337,0.253339,0.253337,0.253337,0.202671,0.20267,0.20267,0.20267,0.20267,0.202671,0.20267,0.20267,4,4,B,66169,ADAMS STREET,1,40,54063,54067,B,0,750,58581,54063,54067,54063/54067,58581,0.084446,54063,54067,54063/54067,54067/54063
8,52916,141351,CENTRAL AVENUE,1,48,53708,53706,C,2,775,51.1899,62060,0,62959,51.1899,0,1,1,0,53706,53708,0,0,CENTRAL AVENUE,BSR1874,COMPLETE STS,NULL,0,1,6,0,0.957524,0,0,0.239381,0,30,775,1,1,1,1,1,1,1,1,0.098492,0.095752,0.095753,0.095752,0.095753,0.100601,0.095752,0.095752,0.10077,0.095752,0.095753,0.095752,0.095753,0.098841,0.095752,0.095752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.5,1937.5,3681.25,3681.25,1937.5,1937.5,5425,5425,0,0,NULL,NULL,835.622742,852.907405,1895,1,1.421617,2,0,1,** || **,0,0,0,0,0,0,0,1.1,4,6,0,25073400,250734,0,3,0,0,0,0,8,70,0.957524,0.239381,0.095752,0.095752,0.095752,0.095752,0.095752,0.095752,0.095752,0.095752,30,30,30,30,30,30,30,30,0.140703,0.136789,0.13679,0.136789,0.13679,0.143716,0.136789,0.136789,0.098492,0.095752,0.095753,0.095752,0.095753,0.100601,0.095752,0.095752,5,5,C,141350,CENTRAL AVENUE,1,48,53708,53706,C,2,775,62060,53708,53706,53708/53706,62060,0.047876,53706,53708,53706/53708,53708/53706
9,45102,133537,WASHINGTON STREET,1,56,54073,54057,B,2,825,14.2345,51271,0,51872,14.2345,0,1,1,0,54057,54073,0,0,WASHINGTON STREET,BSR0486,NULL,NULL,0,1,5,0,0.252723,0,0,0.050545,0,35,825,1,1,1,1,1,1,1,1,0.022634,0.023023,0.022397,0.022673,0.022825,0.02455,0.021883,0.02212,0.023347,0.022392,0.022443,0.022639,0.022523,0.024708,0.02186,0.022055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062.5,2062.5,3918.75,3918.75,2062.5,2062.5,5775,5775,0,0,NULL,NULL,1223.8193,1922.42457,8963,1,0.857608,2,0,1,** || **,0,0,0,0,0,0,0,1,4,5,0,5868300,58683,0,3,0,0,0,0,5,70,0.252723,0.050545,0.021662,0.021662,0.021662,0.021662,0.021662,0.021662,0.021662,0.021662,35,35,35,35,35,35,35,35,0.028293,0.028779,0.027996,0.028341,0.028531,0.030687,0.027354,0.02765,0.022634,0.023023,0.022397,0.022673,0.022825,0.02455,0.021883,0.02212,4,4,B,133536,WASHINGTON STREET,1,56,54073,54057,B,2,825,51271,54073,54057,54073/54057,51271,0.012636,54057,54073,54057/54073,54073/54057
