shapeid,ID,x,y,seq
0,66168,235658.2857,891523.125,1
0,66168,235662.4032,891542.8873,2
0,66168,235667.3043,891568.8255,3
1,141349,235648.9439,891175.9472,1
1,141349,235665.6952,891120.9669,2
2,69815,235707.0477,891772.9779,1
2,69815,235721.504,891843.6253,2
2,69815,235731.5082,891890.2832,3
3,66169,235804.2068,891432.4634,1
3,66169,235845.4113,891452.481,2
3,66169,235900.234,891478.0915,3
3,66169,235947.3429,891501.6792,4
3,66169,235948.9873,891502.534,5
4,141350,234875.0579,890675.1505,1
4,141350,234836.0611,890606.0135,2
5,69816,235686.9322,891669.8358,1
5,69816,235700.9959,891741.4835,2
5,69816,235702.1013,891747.5002,3
6,133536,235510.7607,892115.8767,1
6,133536,235512.3417,892106.672,2
6,133536,235515.7644,892089.1669,3
6,133536,235514.8799,892073.0079,4
6,133536,235514.1452,892068.3967,5
7,66170,235648.8293,891393.801,1
7,66170,235654.8277,891394.2212,2
7,66170,235671.5059,891397.8849,3
7,66170,235691.4874,891401.4074,4
7,66170,235714.8176,891403.7391,5
7,66170,235742.6035,891406.4502,6
7,66170,235757.687,891410.2332,7
8,141351,234822.6581,890583.9159,1
8,141351,234817.6725,890576.254,2
8,141351,234797.0297,890539.621,3
9,133537,235511.5659,892052.6023,1
9,133537,235509.0383,892038.594,2
10,66171,235773.3601,891417.3438,1
10,66171,235789.143,891425.1217,2
11,141352,235208.8158,891082.9781,1
11,141352,235208.3013,891080.9924,2
11,141352,235205.5483,891073.5728,3
11,141352,235200.0809,891063.5324,4
11,141352,235183.7274,891043.1598,5
11,141352,235169.9379,891029.5939,6
12,66172,235608.9041,891396.6276,1
12,66172,235621.9394,891393.2713,2
12,66172,235630.9379,891393.0195,3
13,141353,234958.1093,890822.8599,1
13,141353,234887.813,890697.8029,2
14,66173,235536.4816,891419.5045,1
14,66173,235553.2927,891413.4741,2
14,66173,235591.7003,891401.2888,3
15,141354,235150.9736,891012.022,1
15,141354,235127.03,890991.1318,2
16,66174,235509.3663,892016.4302,1
16,66174,235512.2927,892031.5291,2
17,141355,235107.4483,890974.0227,1
17,141355,235071.3777,890942.4615,2
17,141355,235039.1703,890912.964,3
17,141355,235003.7313,890880.8722,4
17,141355,234984.1089,890861.0571,5
