shapeid,x,y,NodeID,trafficLid
0,234675.841588,892081.606176,53932,0
1,235626.753093,891249.953455,52347,0
2,234785.134924,891998.505317,53937,0
3,234770.951188,891396.735882,54504,0
4,235671.689738,891108.225882,52346,0
5,234871.348156,891945.837674,53944,0
6,234753.994143,891456.077801,54505,0
7,234831.687678,890592.624012,53708,0
8,234902.715158,891924.888734,53945,0
9,234728.919784,891522.155336,53942,0
10,234883.457859,890684.407003,37592,0
11,234842.718233,891963.801251,53938,0
12,234792.661436,890526.22972,53706,0
13,234936.793931,891906.063846,53947,0
14,235162.302033,891017.911967,37597,0
15,235062.006584,891840.929613,53950,0
16,234966.712673,890831.995828,37593,0
17,235145.689813,891800.137869,53951,0
18,235118.766998,890979.928717,37596,0
19,235174.609011,891295.552502,46602,0
20,235191.918292,891232.547847,46601,0
21,235300.625813,891352.276999,46604,0
22,235203.661232,891177.401788,52263,0
23,235371.360367,891361.518307,54048,0
24,235415.947237,891370.07329,54049,0
25,235525.058245,891425.050616,54050,0
26,234688.163577,890301.340616,53707,0
27,235757.522922,892026.594982,54812,992
28,235682.273726,891656.5513,54069,0
29,235732.087075,891902.504668,54811,0
30,235702.29063,891759.731546,54074,0
31,234271.437017,891262.993372,54424,0
32,234530.50495,891290.584953,54497,0
33,234567.367759,891293.209621,54498,1351
34,234671.580467,891305.829636,54501,0
35,234740.123188,891324.828483,54502,0
36,234634.653854,891299.427522,54500,0
37,234601.338339,891296.819944,54499,0
38,234338.257515,891280.202692,54425,0
39,234439.930349,891289.363522,54426,0
40,234465.671743,891288.823104,54427,0
41,234771.01657,891333.422856,54503,0
42,234875.791642,891315.613841,53940,0
43,236328.123348,892115.824364,54929,0
44,234954.088643,891313.891907,53941,0
45,235158.556548,891288.696636,46603,0
46,234822.934108,891327.792572,53939,0
47,235059.760294,891298.42268,53943,0
48,236298.465266,892028.698537,54942,0
49,236268.416374,891953.233848,54940,0
50,236257.110548,891938.180279,54941,0
51,235959.537562,891509.565068,54938,1611
52,235306.934185,891130.82297,52261,0
53,236140.973967,891727.981875,54939,1618
54,235490.97545,891165.849172,52265,0
55,235542.725907,891161.000881,52343,0
56,235601.264563,891167.850298,52344,0
57,235647.360718,891188.077365,52345,2311
58,235258.3785,891107.253536,52262,0
59,235214.308098,891094.036956,37595,2300
60,235615.791966,890742.502595,52268,0
61,235693.578195,891021.697548,52272,0
62,235285.509325,892047.093616,54059,0
63,235163.619624,892041.81817,53953,0
64,235240.163092,892042.756522,54058,0
65,234608.389551,891758.486771,53935,0
66,234655.347847,891988.645519,53931,0
67,234617.472031,892025.003119,53930,0
68,234735.330297,892095.117689,53936,1320
69,234922.041573,892069.60583,53946,0
70,234947.875886,892066.401821,53948,0
71,234992.197343,892061.179381,53949,0
72,234718.515484,891557.648337,54506,0
73,235078.953825,892048.615484,53952,0
74,235608.037668,890481.434827,52267,0
75,235610.721776,890603.187656,52260,0
76,235603.806746,890339.236231,52253,0
77,235257.357433,890323.052133,52255,0
78,235337.849679,890560.047555,52256,0
79,235820.39878,890693.779076,52270,0
80,235964.101277,890552.001517,52364,0
81,235759.975779,890780.999659,52269,0
82,235980.394463,890528.092391,52365,0
83,235385.360465,890628.042622,52257,0
84,236032.196477,890465.821662,53792,0
85,235405.647102,890662.689284,52258,0
86,236179.726804,890335.508941,52358,0
87,235463.071026,890760.614218,52259,0
88,236231.063009,890300.228743,52359,0
89,235508.829371,890832.04468,52264,0
90,236371.662209,890251.191965,52360,0
91,235561.425754,890888.847973,52271,0
92,235615.170074,890946.879314,52341,0
93,235659.081368,890991.532115,52342,0
94,234614.110861,890930.776302,53711,0
95,234684.688094,890956.226992,37594,0
96,234382.057427,890808.565903,53778,0
97,235635.757274,891394.17584,54063,1613
98,234439.899746,890840.505391,53709,0
99,235646.330981,891472.760225,54064,0
100,234559.618147,890905.849604,53710,0
101,235653.484774,891509.895903,54065,0
102,234281.683824,890751.427492,51727,0
103,235667.560421,891581.05598,54066,989
104,234323.237587,890773.956305,51728,0
105,235791.583869,891427.845289,54068,0
106,235769.036855,891416.734098,54067,0
107,235604.962175,891399.018371,54062,0
108,235506.583841,892012.661426,54072,0
109,235476.714415,891654.512162,54055,0
110,235503.188816,891786.382046,54060,0
111,235510.318362,891942.813325,54071,0
112,235464.164737,891558.479101,54054,1276
113,235516.498838,891845.986062,54070,0
114,235203.264858,891767.769307,54056,0
115,235289.303439,891701.776765,54051,0
116,235427.688679,891594.061866,54052,0
117,235478.02551,891509.009018,54053,0
118,235514.375247,892054.243264,54073,0
119,235510.76433,892034.231314,54057,0
