,x,y
0,500400.655655,170778.137918
1,457147.305099,135785.493556
2,457267.120475,134587.115325
3,480391.487946,152083.437506
4,458465.27423,139260.790428
5,492133.394745,156637.274786
6,460022.874111,146451.059817
7,487820.041227,164546.571114
8,461221.027866,144653.49247
9,459783.24336,140459.16866
10,488299.302729,158434.842133
11,469967.550278,139620.303897
12,468290.135021,142855.925123
13,473921.457669,154360.356146
14,460262.504862,148608.140634
15,487580.410476,174972.461729
16,459903.058736,152442.950975
17,480990.564824,151244.572744
18,462419.181621,144773.330293
19,490455.979488,148368.464988
20,455469.889842,140459.16866
21,496926.009765,158674.517779
22,471764.78091,139140.952605
23,492133.394745,150166.032335
24,457626.566601,144893.168116
25,503515.855418,163827.544175
26,462419.181621,143694.789885
27,460382.320238,147769.275872
28,475479.057551,154719.869615
29,469128.842649,136983.871788
30,472483.673163,142496.411653
31,473801.642294,151124.734921
32,472483.673163,144533.654647
33,461101.212491,143694.789885
34,472603.488539,145492.357232
35,456907.674348,136504.520495
36,469368.4734,139620.303897
37,472603.488539,146331.221994
38,457147.305099,139140.952605
39,462059.735495,145492.357232
40,485543.549093,169819.435333
41,478714.072689,144293.979001
42,460621.950989,139260.790428
43,473322.380792,145851.870702
44,462299.366246,141657.546891
45,459663.427985,144893.168116
46,477635.73431,153281.815737
47,460262.504862,149806.518866
48,471405.334784,139620.303897
49,473082.750041,145492.357232
50,459903.058736,140698.844306
51,456668.043597,136145.007026
52,460861.58174,144773.330293
53,477036.657432,153281.815737
54,473202.565416,143694.789885
55,485064.287591,169939.273156
56,459663.427985,144174.141177
57,472004.411661,141657.546891
58,456548.228222,144293.979001
59,472483.673163,142975.762946
60,477276.288183,143455.114238
61,471045.888657,144533.654647
62,455469.889842,134587.115325
63,488778.564231,162749.003767
64,471405.334784,139260.790428
65,476437.580555,153401.653561
66,480990.564824,157835.653017
67,485543.549093,155319.058731
68,472363.857788,145971.708525
69,489976.717986,175092.299552
70,476557.39593,153641.329207
71,480151.857195,160711.760773
72,487820.041227,153521.491384
73,482308.533954,155079.383085
74,456068.96672,141298.033422
75,472843.11929,143335.276415
76,468889.211898,143574.952062
77,488059.671978,170778.137918
78,482907.610832,156757.112609
79,469967.550278,144533.654647
80,455110.443716,137822.73655
81,457027.489724,140219.493013
82,485783.179844,161430.787712
83,462658.812372,144413.816824
84,481709.457077,170897.975742
85,455709.520593,142136.898184
86,456308.597471,138661.601312
87,456668.043597,139260.790428
88,470806.257906,138541.763489
89,494290.071504,175571.650845
90,479792.411069,152203.275329
91,479792.411069,152083.437506
92,460741.766364,138182.25002
93,457986.012728,133149.061447
94,481829.272452,153641.329207
95,487820.041227,168261.543632
96,477755.549685,155079.383085
97,476317.765179,153161.977914
98,457626.566601,135425.980087
99,481110.380199,156397.599139
100,460621.950989,139859.979544
101,483626.503085,169939.273156
102,483985.949211,143694.789885
103,469967.550278,137942.574373
104,477635.73431,154839.707438
105,470566.627155,137942.574373
106,471644.965535,138541.763489
107,463497.520001,145252.681586
108,460981.397115,148727.978457
109,482068.903203,144893.168116
110,498843.055773,169579.759687
111,455469.889842,141058.357775
112,459543.612609,146331.221994
113,461101.212491,140698.844306
114,490336.164113,156517.436963
115,456668.043597,144054.303354
116,480750.934073,158674.517779
117,480151.857195,155199.220908
118,473442.196167,142616.249476
119,471045.888657,143095.600769
120,472843.11929,143455.114238
121,469847.734902,143574.952062
122,456428.412846,136624.358318
123,482787.795456,160472.085127
124,474041.273045,154120.680499
125,476078.134428,153281.815737
126,469368.4734,137343.385257
127,455829.335969,136145.007026
128,490935.24099,173055.056558
129,471644.965535,139380.628251
130,457027.489724,144413.816824
131,490336.164113,156038.08567
132,477635.73431,154959.545262
133,488419.118105,164546.571114
134,468889.211898,144413.816824
135,492612.656247,174972.461729
136,477755.549685,143694.789885
