GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US24001,24001,"Allegany County, Maryland",73060,*****,38077,69,1756,38,1889,201,1933,198,1207,45,1510,151,751,197,859,197,1823,190,2782,165,2600,124,2309,177,2387,178,2731,123,2749,160,2702,186,850,130,1209,155,867,123,1162,133,1474,146,1225,110,649,97,653,104,34983,69,1591,14,1632,182,1713,178,1147,43,1548,98,764,213,547,178,1597,236,1797,66,1832,73,1615,160,2019,167,2105,40,2440,64,2459,166,885,144,1409,178,853,142,1340,166,1827,165,1289,151,1222,140,1352,133
0500000US24003,24003,"Anne Arundel County, Maryland",559737,*****,276842,91,17928,56,18268,602,17652,602,10661,32,7233,54,4297,410,4627,489,11520,568,19880,75,19891,63,17242,704,19176,703,19778,14,21058,11,18710,579,7057,514,8585,527,5174,428,7529,430,8707,434,5070,313,3647,318,3152,325,282895,91,17227,62,17315,719,17389,712,10364,49,5518,178,3251,421,3617,409,10213,541,19295,97,19765,37,19185,683,17887,678,20876,64,22364,94,20027,579,6921,409,9927,619,6790,528,7764,498,9660,466,6859,408,5290,443,5391,427
0500000US24005,24005,"Baltimore County, Maryland",825666,*****,391102,72,24945,70,25628,873,24705,871,15633,41,11178,52,6025,464,5546,509,15692,579,28464,7,26290,14,23502,887,24244,899,25773,71,27922,63,27492,640,9765,452,13948,581,8165,514,10459,541,12642,535,9511,446,6604,410,6969,374,434564,72,24162,66,25410,770,23249,769,14882,35,11618,35,6123,453,5563,502,16219,615,30262,69,28890,15,27043,793,25862,791,28747,11,31596,18,30505,638,12178,624,16152,721,10744,523,12347,542,15143,492,12692,516,10505,525,14672,604
0500000US24009,24009,"Calvert County, Maryland",90527,*****,44966,155,2640,126,2467,312,4006,348,2311,98,1281,108,488,175,616,189,1730,204,2516,61,2303,47,2389,279,2759,288,3837,137,4155,106,3252,241,1274,220,1604,219,853,137,1167,176,1452,175,639,133,527,116,700,126,45561,155,2235,88,2700,292,3401,307,2182,85,1158,144,644,207,429,152,1612,264,2206,126,2504,52,2325,304,3392,274,3940,103,4208,54,3421,283,1242,205,1572,216,1064,161,1166,194,1357,207,1027,160,848,154,928,148
0500000US24011,24011,"Caroline County, Maryland",32653,*****,15822,39,1034,20,1170,141,1064,136,628,16,415,65,272,97,187,75,569,97,944,64,941,65,798,138,1110,153,1105,69,1287,53,1273,121,368,82,459,120,319,75,417,67,631,70,301,79,269,76,261,79,16831,39,1002,13,1055,162,1212,161,648,53,375,59,168,69,182,83,635,112,941,34,1065,74,1008,126,1044,142,1144,24,1356,38,1294,95,374,87,577,96,371,66,588,92,569,81,463,93,392,81,368,84
0500000US24013,24013,"Carroll County, Maryland",167535,*****,82892,95,4360,21,5320,360,5786,358,3972,95,2311,118,1061,195,1217,190,3173,234,4638,118,4450,169,4120,297,5389,343,6703,49,7494,71,6502,336,2095,273,2949,290,1940,244,2364,273,2838,260,1910,184,1198,166,1102,157,84643,95,4086,8,4887,329,5748,329,3594,93,2345,100,1206,207,1013,214,2722,280,4099,98,4244,106,4200,309,5996,317,6984,58,7522,11,6067,305,2462,211,3185,305,1945,219,2315,215,3615,243,2281,208,1855,207,2272,233
0500000US24015,24015,"Cecil County, Maryland",102175,*****,50603,134,2976,67,3650,348,3499,345,2171,83,1227,103,583,156,754,215,1944,212,3043,121,3011,152,2636,300,3871,349,3635,101,4142,92,3860,321,1283,245,1812,243,1186,191,1286,231,1855,181,1018,154,610,118,551,111,51572,134,2898,53,3202,294,3424,295,2227,90,1125,161,518,185,740,177,1918,206,3088,109,3009,119,3230,377,3325,372,3979,97,4127,70,4092,318,1294,224,1857,230,1215,228,1463,203,1675,230,1347,219,874,188,945,199
0500000US24017,24017,"Charles County, Maryland",154357,*****,74489,88,4843,8,5439,339,5617,350,3766,36,2114,79,1012,213,998,190,3181,246,4816,87,4496,22,4479,413,5378,417,5964,97,6143,96,4959,259,1771,207,2093,226,1267,175,1554,219,2084,231,1083,144,824,144,608,129,79868,88,4634,4,4674,295,5760,297,3654,80,1999,105,1082,230,604,157,3274,268,4827,61,5139,67,5306,387,6104,388,6881,33,6678,39,5474,329,1945,262,2283,310,1475,200,2063,205,2133,231,1597,190,1206,161,1076,160
0500000US24019,24019,"Dorchester County, Maryland",32451,*****,15519,87,968,68,982,121,952,120,671,61,288,71,121,71,105,53,690,85,941,39,877,87,855,112,769,136,985,24,1188,22,1089,150,600,137,587,122,398,104,635,115,657,104,498,102,374,84,289,86,16932,87,985,58,1050,119,786,115,488,14,266,61,64,38,107,57,815,98,1041,46,965,68,820,141,973,151,1169,76,1296,37,1366,138,565,133,663,121,465,95,567,113,884,121,776,93,331,81,490,102
