GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):,Margin of Error; Aggregate travel time to work (in minutes):,Estimate; Aggregate travel time to work (in minutes): - Male,Margin of Error; Aggregate travel time to work (in minutes): - Male,Estimate; Aggregate travel time to work (in minutes): - Female,Margin of Error; Aggregate travel time to work (in minutes): - Female
0500000US24001,24001,"Allegany County, Maryland",579555,23298,324305,16345,255250,16576
0500000US24003,24003,"Anne Arundel County, Maryland",8355565,115799,4599310,92169,3756250,73228
0500000US24005,24005,"Baltimore County, Maryland",11508850,122627,6010105,93490,5498745,81520
0500000US24009,24009,"Calvert County, Maryland",1770615,49464,1004875,35255,765740,35391
0500000US24011,24011,"Caroline County, Maryland",450020,19206,246105,13792,203915,12638
0500000US24013,24013,"Carroll County, Maryland",2937135,61989,1733755,48318,1203380,30746
0500000US24015,24015,"Cecil County, Maryland",1329990,47991,785345,34507,544645,28718
0500000US24017,24017,"Charles County, Maryland",3240375,61638,1636610,43924,1603765,41127
0500000US24019,24019,"Dorchester County, Maryland",365310,22821,184765,14733,180540,13545
0500000US24021,24021,"Frederick County, Maryland",4139005,66907,2421900,48323,1717105,48121
0500000US24023,24023,"Garrett County, Maryland",304165,18642,183010,13471,121155,11933
0500000US24025,24025,"Harford County, Maryland",3861675,61409,2159145,44878,1702525,42293
0500000US24027,24027,"Howard County, Maryland",4701770,68851,2570690,49211,2131080,43260
0500000US24029,24029,"Kent County, Maryland",207770,18685,116070,13801,91705,10759
0500000US24031,24031,"Montgomery County, Maryland",17515580,163539,9503165,109303,8012415,92567
0500000US24033,24033,"Prince George's County, Maryland",16508530,150013,8018400,99611,8490130,99137
0500000US24035,24035,"Queen Anne's County, Maryland",821980,37500,485125,23375,336855,22888
0500000US24037,24037,"St. Mary's County, Maryland",1640365,65505,946540,47576,693825,38457
0500000US24039,24039,"Somerset County, Maryland",182515,31836,89295,28357,93220,11635
0500000US24041,24041,"Talbot County, Maryland",435735,28642,252825,20533,182905,14816
0500000US24043,24043,"Washington County, Maryland",1833210,46423,1053750,36901,779460,26565
0500000US24045,24045,"Wicomico County, Maryland",1011170,41844,539305,29223,471860,25639
0500000US24047,24047,"Worcester County, Maryland",540455,30691,309705,24744,230750,14621
0500000US24510,24510,"Baltimore city, Maryland",7943390,112928,3879730,86218,4063660,77993
