GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Total: - No vehicle available
HD02_VD03,Margin of Error; Total: - No vehicle available
HD01_VD04,Estimate; Total: - 1 vehicle available
HD02_VD04,Margin of Error; Total: - 1 vehicle available
HD01_VD05,Estimate; Total: - 2 vehicles available
HD02_VD05,Margin of Error; Total: - 2 vehicles available
HD01_VD06,Estimate; Total: - 3 vehicles available
HD02_VD06,Margin of Error; Total: - 3 vehicles available
HD01_VD07,Estimate; Total: - 4 vehicles available
HD02_VD07,Margin of Error; Total: - 4 vehicles available
HD01_VD08,Estimate; Total: - 5 or more vehicles available
HD02_VD08,Margin of Error; Total: - 5 or more vehicles available
HD01_VD09,Estimate; Total: - Male:
HD02_VD09,Margin of Error; Total: - Male:
HD01_VD10,Estimate; Total: - Male: - No vehicle available
HD02_VD10,Margin of Error; Total: - Male: - No vehicle available
HD01_VD11,Estimate; Total: - Male: - 1 vehicle available
HD02_VD11,Margin of Error; Total: - Male: - 1 vehicle available
HD01_VD12,Estimate; Total: - Male: - 2 vehicles available
HD02_VD12,Margin of Error; Total: - Male: - 2 vehicles available
HD01_VD13,Estimate; Total: - Male: - 3 vehicles available
HD02_VD13,Margin of Error; Total: - Male: - 3 vehicles available
HD01_VD14,Estimate; Total: - Male: - 4 vehicles available
HD02_VD14,Margin of Error; Total: - Male: - 4 vehicles available
HD01_VD15,Estimate; Total: - Male: - 5 or more vehicles available
HD02_VD15,Margin of Error; Total: - Male: - 5 or more vehicles available
HD01_VD16,Estimate; Total: - Female:
HD02_VD16,Margin of Error; Total: - Female:
HD01_VD17,Estimate; Total: - Female: - No vehicle available
HD02_VD17,Margin of Error; Total: - Female: - No vehicle available
HD01_VD18,Estimate; Total: - Female: - 1 vehicle available
HD02_VD18,Margin of Error; Total: - Female: - 1 vehicle available
HD01_VD19,Estimate; Total: - Female: - 2 vehicles available
HD02_VD19,Margin of Error; Total: - Female: - 2 vehicles available
HD01_VD20,Estimate; Total: - Female: - 3 vehicles available
HD02_VD20,Margin of Error; Total: - Female: - 3 vehicles available
HD01_VD21,Estimate; Total: - Female: - 4 vehicles available
HD02_VD21,Margin of Error; Total: - Female: - 4 vehicles available
HD01_VD22,Estimate; Total: - Female: - 5 or more vehicles available
HD02_VD22,Margin of Error; Total: - Female: - 5 or more vehicles available
