GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No vehicle available,Margin of Error; Total: - No vehicle available,Estimate; Total: - 1 vehicle available,Margin of Error; Total: - 1 vehicle available,Estimate; Total: - 2 vehicles available,Margin of Error; Total: - 2 vehicles available,Estimate; Total: - 3 vehicles available,Margin of Error; Total: - 3 vehicles available,Estimate; Total: - 4 vehicles available,Margin of Error; Total: - 4 vehicles available,Estimate; Total: - 5 or more vehicles available,Margin of Error; Total: - 5 or more vehicles available,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - No vehicle available,Margin of Error; Total: - Male: - No vehicle available,Estimate; Total: - Male: - 1 vehicle available,Margin of Error; Total: - Male: - 1 vehicle available,Estimate; Total: - Male: - 2 vehicles available,Margin of Error; Total: - Male: - 2 vehicles available,Estimate; Total: - Male: - 3 vehicles available,Margin of Error; Total: - Male: - 3 vehicles available,Estimate; Total: - Male: - 4 vehicles available,Margin of Error; Total: - Male: - 4 vehicles available,Estimate; Total: - Male: - 5 or more vehicles available,Margin of Error; Total: - Male: - 5 or more vehicles available,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - No vehicle available,Margin of Error; Total: - Female: - No vehicle available,Estimate; Total: - Female: - 1 vehicle available,Margin of Error; Total: - Female: - 1 vehicle available,Estimate; Total: - Female: - 2 vehicles available,Margin of Error; Total: - Female: - 2 vehicles available,Estimate; Total: - Female: - 3 vehicles available,Margin of Error; Total: - Female: - 3 vehicles available,Estimate; Total: - Female: - 4 vehicles available,Margin of Error; Total: - Female: - 4 vehicles available,Estimate; Total: - Female: - 5 or more vehicles available,Margin of Error; Total: - Female: - 5 or more vehicles available
0500000US24001,24001,"Allegany County, Maryland",28265,810,1129,262,5581,465,10676,559,6703,641,3042,485,1134,267,14686,559,601,176,2555,266,5721,371,3479,336,1718,282,612,152,13579,494,528,158,3026,331,4955,365,3224,381,1324,245,522,140
0500000US24003,24003,"Anne Arundel County, Maryland",287144,2088,4739,564,45737,1643,126794,2958,67914,2513,29199,2138,12761,1328,150422,1527,2164,368,21114,1056,68559,1566,35632,1394,15866,1192,7087,854,136722,1520,2575,360,24623,1085,58235,1794,32282,1366,13333,1108,5674,698
0500000US24005,24005,"Baltimore County, Maryland",406090,2137,12150,975,91613,2186,179762,3238,78128,2224,31164,1841,13273,1349,203484,1601,5776,686,38745,1288,93573,1974,41704,1434,16516,1061,7170,688,202606,1760,6374,622,52868,1510,86189,1798,36424,1200,14648,1023,6103,795
0500000US24009,24009,"Calvert County, Maryland",44858,749,680,197,4591,499,15085,998,12989,939,6876,887,4637,559,23661,525,284,110,1807,294,7985,575,7148,582,3721,477,2716,357,21197,535,396,136,2784,345,7100,549,5841,473,3155,463,1921,278
0500000US24011,24011,"Caroline County, Maryland",15103,455,446,180,2314,357,5696,517,3628,437,1848,319,1171,250,7820,280,236,128,1216,247,2916,302,1838,254,936,173,678,164,7283,360,210,99,1098,196,2780,312,1790,247,912,179,493,125
0500000US24013,24013,"Carroll County, Maryland",86453,967,1151,295,9396,776,32135,1268,24359,1341,12339,1118,7073,779,46160,657,665,242,4300,484,17843,715,13015,736,6406,619,3931,464,40293,664,486,131,5096,481,14292,738,11344,713,5933,568,3142,384
0500000US24015,24015,"Cecil County, Maryland",48905,1063,682,265,7629,587,20193,1064,13399,1158,4721,762,2281,501,25865,598,378,176,3650,425,11018,649,7077,644,2518,407,1224,304,23040,828,304,148,3979,412,9175,624,6322,641,2203,430,1057,266
0500000US24017,24017,"Charles County, Maryland",77620,898,863,249,11444,831,29841,1460,18672,1195,10484,1007,6316,860,38817,617,340,98,4452,544,15174,822,9852,660,5585,559,3414,491,38803,623,523,207,6992,562,14667,791,8820,690,4899,506,2902,471
0500000US24019,24019,"Dorchester County, Maryland",14810,515,682,183,3418,365,6160,540,2842,391,1210,300,498,202,7191,333,254,125,1555,252,3041,307,1417,226,675,182,249,114,7619,329,428,126,1863,226,3119,309,1425,205,535,155,249,103
