GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Aggregate travel time to work (in minutes):
HD02_VD01,Margin of Error; Aggregate travel time to work (in minutes):
HD01_VD02,Estimate; Worked in State of residence:
HD02_VD02,Margin of Error; Worked in State of residence:
HD01_VD03,Estimate; Worked in State of residence: - Worked in county of residence
HD02_VD03,Margin of Error; Worked in State of residence: - Worked in county of residence
HD01_VD04,Estimate; Worked in State of residence: - Worked outside county of residence
HD02_VD04,Margin of Error; Worked in State of residence: - Worked outside county of residence
HD01_VD05,Estimate; Worked outside State of residence
HD02_VD05,Margin of Error; Worked outside State of residence
