GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):,Margin of Error; Aggregate travel time to work (in minutes):,Estimate; Worked in State of residence:,Margin of Error; Worked in State of residence:,Estimate; Worked in State of residence: - Worked in county of residence,Margin of Error; Worked in State of residence: - Worked in county of residence,Estimate; Worked in State of residence: - Worked outside county of residence,Margin of Error; Worked in State of residence: - Worked outside county of residence,Estimate; Worked outside State of residence,Margin of Error; Worked outside State of residence
0500000US24001,24001,"Allegany County, Maryland",579555,23298,480085,23102,391440,16119,88645,13778,99470,13513
0500000US24003,24003,"Anne Arundel County, Maryland",8355565,115799,6633480,101833,3206225,71070,3427255,87565,1722085,84875
0500000US24005,24005,"Baltimore County, Maryland",11508850,122627,10773325,108505,4270400,98988,6502925,106653,735530,65869
0500000US24009,24009,"Calvert County, Maryland",1770615,49464,1269645,39478,311725,27751,957920,41389,500965,46848
0500000US24011,24011,"Caroline County, Maryland",450020,19206,394115,17802,93095,9928,301020,19717,55905,10209
0500000US24013,24013,"Carroll County, Maryland",2937135,61989,2692450,59893,696725,28591,1995725,59256,244685,25713
0500000US24015,24015,"Cecil County, Maryland",1329990,47991,794660,34350,358200,22278,436460,32894,535330,32710
0500000US24017,24017,"Charles County, Maryland",3240375,61638,1655305,52791,592840,30032,1062465,49205,1585070,61139
0500000US24019,24019,"Dorchester County, Maryland",365310,22821,327940,21102,139630,12575,188310,19027,37365,8833
0500000US24021,24021,"Frederick County, Maryland",4139005,66907,3290555,68077,1240590,39356,2049965,62447,848450,41315
0500000US24023,24023,"Garrett County, Maryland",304165,18642,230785,14806,173420,11263,57360,9826,73385,12346
0500000US24025,24025,"Harford County, Maryland",3861675,61409,3606580,56713,1341210,36530,2265370,59308,255095,26590
0500000US24027,24027,"Howard County, Maryland",4701770,68851,3814885,58679,1032815,31237,2782070,59947,886885,51703
0500000US24029,24029,"Kent County, Maryland",207770,18685,154795,13949,73540,10284,81255,10746,52980,10564
0500000US24031,24031,"Montgomery County, Maryland",17515580,163539,10164675,128063,7800950,136877,2363725,77282,7350905,121280
0500000US24033,24033,"Prince George's County, Maryland",16508530,150013,8036480,122351,4262780,84010,3773700,88565,8472045,140042
0500000US24035,24035,"Queen Anne's County, Maryland",821980,37500,697410,37478,156390,14199,541020,38369,124570,20603
0500000US24037,24037,"St. Mary's County, Maryland",1640365,65505,1342395,54324,832380,34964,510015,42595,297970,45794
0500000US24039,24039,"Somerset County, Maryland",182515,31836,155465,26931,53825,9702,101640,20422,27050,8993
0500000US24041,24041,"Talbot County, Maryland",435735,28642,373500,24689,183250,16682,190245,21707,62235,16709
0500000US24043,24043,"Washington County, Maryland",1833210,46423,1455630,50091,735815,30164,719815,47013,377580,33707
0500000US24045,24045,"Wicomico County, Maryland",1011170,41844,846805,34769,543030,24058,303775,29409,164365,24010
0500000US24047,24047,"Worcester County, Maryland",540455,30691,446470,28906,276775,23117,169695,16803,93985,13965
0500000US24510,24510,"Baltimore city, Maryland",7943390,112928,7388690,113054,4107815,84161,3280870,85536,554700,44173
