GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No vehicle available,Margin of Error; Total: - No vehicle available,Estimate; Total: - 1 vehicle available,Margin of Error; Total: - 1 vehicle available,Estimate; Total: - 2 vehicles available,Margin of Error; Total: - 2 vehicles available,Estimate; Total: - 3 vehicles available,Margin of Error; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Margin of Error; Total: - 4 or more vehicles available,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No vehicle available,Margin of Error; Total: - 1-person household: - No vehicle available,Estimate; Total: - 1-person household: - 1 vehicle available,Margin of Error; Total: - 1-person household: - 1 vehicle available,Estimate; Total: - 1-person household: - 2 vehicles available,Margin of Error; Total: - 1-person household: - 2 vehicles available,Estimate; Total: - 1-person household: - 3 vehicles available,Margin of Error; Total: - 1-person household: - 3 vehicles available,Estimate; Total: - 1-person household: - 4 or more vehicles available,Margin of Error; Total: - 1-person household: - 4 or more vehicles available,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No vehicle available,Margin of Error; Total: - 2-person household: - No vehicle available,Estimate; Total: - 2-person household: - 1 vehicle available,Margin of Error; Total: - 2-person household: - 1 vehicle available,Estimate; Total: - 2-person household: - 2 vehicles available,Margin of Error; Total: - 2-person household: - 2 vehicles available,Estimate; Total: - 2-person household: - 3 vehicles available,Margin of Error; Total: - 2-person household: - 3 vehicles available,Estimate; Total: - 2-person household: - 4 or more vehicles available,Margin of Error; Total: - 2-person household: - 4 or more vehicles available,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No vehicle available,Margin of Error; Total: - 3-person household: - No vehicle available,Estimate; Total: - 3-person household: - 1 vehicle available,Margin of Error; Total: - 3-person household: - 1 vehicle available,Estimate; Total: - 3-person household: - 2 vehicles available,Margin of Error; Total: - 3-person household: - 2 vehicles available,Estimate; Total: - 3-person household: - 3 vehicles available,Margin of Error; Total: - 3-person household: - 3 vehicles available,Estimate; Total: - 3-person household: - 4 or more vehicles available,Margin of Error; Total: - 3-person household: - 4 or more vehicles available,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No vehicle available,Margin of Error; Total: - 4-or-more-person household: - No vehicle available,Estimate; Total: - 4-or-more-person household: - 1 vehicle available,Margin of Error; Total: - 4-or-more-person household: - 1 vehicle available,Estimate; Total: - 4-or-more-person household: - 2 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 2 vehicles available,Estimate; Total: - 4-or-more-person household: - 3 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 3 vehicles available,Estimate; Total: - 4-or-more-person household: - 4 or more vehicles available,Margin of Error; Total: - 4-or-more-person household: - 4 or more vehicles available
0500000US24001,24001,"Allegany County, Maryland",28167,503,3126,344,9726,528,9373,388,4053,330,1889,213,9121,488,2138,265,5468,430,1232,181,243,84,40,31,10061,443,534,181,2493,271,4941,337,1597,177,496,125,4151,382,226,103,950,223,1348,211,1060,191,567,134,4834,263,228,85,815,157,1852,182,1153,217,786,156
0500000US24003,24003,"Anne Arundel County, Maryland",204829,1097,8089,602,56866,1257,87325,1481,36114,1260,16435,762,49995,1426,4919,493,34867,1125,8547,621,1206,233,456,160,68894,1495,1549,334,12463,715,40436,1111,11547,589,2899,329,35410,1119,849,225,4972,565,15063,807,10753,620,3773,408,50530,1257,772,235,4564,524,23279,975,12608,858,9307,602
0500000US24005,24005,"Baltimore County, Maryland",312826,1614,24879,1024,111222,1732,119555,1951,40213,1088,16957,759,89349,1338,15446,803,62715,1368,9065,558,1589,232,534,157,103130,1623,5144,452,26275,1092,57261,1402,11306,668,3144,332,53115,1515,2218,338,11850,797,21905,917,13235,649,3907,437,67232,1293,2071,341,10382,732,31324,1246,14083,765,9372,574
0500000US24009,24009,"Calvert County, Maryland",31479,421,1309,220,6402,473,11539,639,7471,455,4758,386,6132,464,796,185,3681,346,1149,264,425,122,81,53,10919,467,291,97,1481,259,5373,424,2971,377,803,128,5850,518,78,50,717,232,2148,305,1855,276,1052,223,8578,455,144,81,523,189,2869,364,2220,276,2822,339
0500000US24011,24011,"Caroline County, Maryland",12010,288,843,175,3116,312,4446,339,2142,221,1463,168,2713,271,468,120,1569,204,536,143,124,58,16,19,4373,314,252,116,752,168,2176,252,760,124,433,113,2020,247,65,45,347,120,698,172,609,138,301,86,2904,265,58,36,448,112,1036,185,649,136,713,132
0500000US24013,24013,"Carroll County, Maryland",60449,435,2687,295,13639,686,23337,722,13152,568,7634,460,13128,517,1900,242,8704,569,2024,278,358,101,142,77,20782,550,293,117,2975,325,11363,502,4582,322,1569,260,10415,470,312,161,1164,248,3506,282,3707,330,1726,203,16124,532,182,86,796,199,6444,419,4505,320,4197,333
0500000US24015,24015,"Cecil County, Maryland",36993,583,1733,278,10305,566,14813,673,7183,595,2959,387,8787,604,1022,219,5845,513,1414,252,304,113,202,109,13108,569,371,136,2260,301,7340,514,2484,337,653,155,6441,505,108,66,993,242,2715,373,1982,353,643,149,8657,447,232,117,1207,237,3344,331,2413,322,1461,266
0500000US24017,24017,"Charles County, Maryland",54105,480,1874,294,14034,747,20648,854,10337,579,7212,502,12233,506,1088,233,7871,504,2440,317,582,189,252,133,15793,677,340,101,2871,375,8113,539,3134,309,1335,187,10403,624,228,120,1911,312,3620,486,2861,357,1783,264,15676,559,218,97,1381,285,6475,508,3760,363,3842,362
0500000US24019,24019,"Dorchester County, Maryland",13206,346,1249,185,4628,340,4744,306,1787,218,798,161,3639,305,630,130,2461,265,472,113,68,46,8,11,5928,333,325,95,1355,212,3011,264,902,154,335,118,1411,164,210,101,257,84,513,109,305,67,126,48,2228,221,84,53,555,149,748,162,512,116,329,98
