GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No workers,Margin of Error; Total: - No workers,Estimate; Total: - 1 worker,Margin of Error; Total: - 1 worker,Estimate; Total: - 2 workers,Margin of Error; Total: - 2 workers,Estimate; Total: - 3 or more workers,Margin of Error; Total: - 3 or more workers,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No workers,Margin of Error; Total: - 1-person household: - No workers,Estimate; Total: - 1-person household: - 1 worker,Margin of Error; Total: - 1-person household: - 1 worker,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No workers,Margin of Error; Total: - 2-person household: - No workers,Estimate; Total: - 2-person household: - 1 worker,Margin of Error; Total: - 2-person household: - 1 worker,Estimate; Total: - 2-person household: - 2 workers,Margin of Error; Total: - 2-person household: - 2 workers,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No workers,Margin of Error; Total: - 3-person household: - No workers,Estimate; Total: - 3-person household: - 1 worker,Margin of Error; Total: - 3-person household: - 1 worker,Estimate; Total: - 3-person household: - 2 workers,Margin of Error; Total: - 3-person household: - 2 workers,Estimate; Total: - 3-person household: - 3 workers,Margin of Error; Total: - 3-person household: - 3 workers,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No workers,Margin of Error; Total: - 4-or-more-person household: - No workers,Estimate; Total: - 4-or-more-person household: - 1 worker,Margin of Error; Total: - 4-or-more-person household: - 1 worker,Estimate; Total: - 4-or-more-person household: - 2 workers,Margin of Error; Total: - 4-or-more-person household: - 2 workers,Estimate; Total: - 4-or-more-person household: - 3 or more workers,Margin of Error; Total: - 4-or-more-person household: - 3 or more workers
0500000US24001,24001,"Allegany County, Maryland",28167,503,10749,467,9471,424,6541,366,1406,216,9121,488,5906,362,3215,327,10061,443,3778,261,3355,277,2928,270,4151,382,651,196,1414,225,1427,212,659,146,4834,263,414,144,1487,174,2186,213,747,166
0500000US24003,24003,"Anne Arundel County, Maryland",204829,1097,39333,1084,77424,1939,70080,1532,17992,919,49995,1426,20883,953,29112,1260,68894,1495,14788,738,23708,1061,30398,1182,35410,1119,2410,360,11386,683,15994,793,5620,541,50530,1257,1252,334,13218,847,23688,935,12372,791
0500000US24005,24005,"Baltimore County, Maryland",312826,1614,74779,1401,119440,1971,95698,1605,22909,893,89349,1338,41940,1163,47409,1234,103130,1623,25364,813,36741,1109,41025,1186,53115,1515,4431,504,16906,910,23690,1079,8088,572,67232,1293,3044,393,18384,785,30983,1013,14821,739
0500000US24009,24009,"Calvert County, Maryland",31479,421,6564,480,11043,635,11082,552,2790,317,6132,464,2985,363,3147,349,10919,467,2813,263,3969,382,4137,372,5850,518,451,148,1869,319,2829,372,701,154,8578,455,315,130,2058,315,4116,367,2089,261
0500000US24011,24011,"Caroline County, Maryland",12010,288,2970,221,4794,321,3515,260,731,125,2713,271,1364,162,1349,226,4373,314,1092,152,1727,230,1554,220,2020,247,216,76,798,151,821,159,185,63,2904,265,298,95,920,201,1140,155,546,126
0500000US24013,24013,"Carroll County, Maryland",60449,435,13065,550,19485,698,21168,784,6731,439,13128,517,6894,429,6234,422,20782,550,5414,360,6462,461,8906,501,10415,470,467,119,3050,328,4600,320,2298,280,16124,532,290,128,3739,354,7662,514,4433,386
0500000US24015,24015,"Cecil County, Maryland",36993,583,8829,554,13217,660,12461,545,2486,284,8787,604,4272,428,4515,477,13108,569,3458,359,4588,421,5062,379,6441,505,641,181,1594,311,3315,369,891,183,8657,447,458,145,2520,319,4084,403,1595,233
0500000US24017,24017,"Charles County, Maryland",54105,480,9743,450,20368,712,18306,695,5688,468,12233,506,4855,373,7378,475,15793,677,3717,316,5516,415,6560,473,10403,624,803,212,2969,344,4796,529,1835,321,15676,559,368,135,4505,407,6950,494,3853,379
0500000US24019,24019,"Dorchester County, Maryland",13206,346,4012,264,5104,412,3439,317,651,136,3639,305,2088,218,1551,217,5928,333,1428,192,2417,307,2083,235,1411,164,307,89,427,112,524,106,153,57,2228,221,189,82,709,167,832,148,498,128
0500000US24021,24021,"Frederick County, Maryland",88995,500,16908,593,31213,909,32974,758,7900,462,19430,736,8806,520,10624,644,29700,875,6716,397,9720,576,13264,620,16156,678,767,200,4826,371,7511,576,3052,351,23709,603,619,179,6043,500,12199,444,4848,377
0500000US24023,24023,"Garrett County, Maryland",11644,402,3703,248,4172,331,2951,281,818,148,3079,279,1889,208,1190,178,4659,289,1626,168,1645,204,1388,203,1579,167,99,42,558,116,620,128,302,84,2327,171,89,47,779,126,943,146,516,125
0500000US24025,24025,"Harford County, Maryland",92497,675,20278,644,33301,920,30290,961,8628,531,21482,877,10087,556,11395,701,31576,930,8263,469,10491,561,12822,737,16159,808,1164,246,5145,448,7205,498,2645,251,23280,676,764,205,6270,441,10263,540,5983,482
0500000US24027,24027,"Howard County, Maryland",109872,683,16544,696,41397,907,41841,916,10090,573,22625,811,8087,578,14538,710,35879,950,6837,539,12434,833,16608,632,20868,794,880,236,6602,509,10036,577,3350,350,30500,838,740,196,7823,464,15197,718,6740,492
