GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - 2-person household,Margin of Error; Family households: - 2-person household,Estimate; Family households: - 3-person household,Margin of Error; Family households: - 3-person household,Estimate; Family households: - 4-person household,Margin of Error; Family households: - 4-person household,Estimate; Family households: - 5-person household,Margin of Error; Family households: - 5-person household,Estimate; Family households: - 6-person household,Margin of Error; Family households: - 6-person household,Estimate; Family households: - 7-or-more person household,Margin of Error; Family households: - 7-or-more person household,Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - 1-person household,Margin of Error; Nonfamily households: - 1-person household,Estimate; Nonfamily households: - 2-person household,Margin of Error; Nonfamily households: - 2-person household,Estimate; Nonfamily households: - 3-person household,Margin of Error; Nonfamily households: - 3-person household,Estimate; Nonfamily households: - 4-person household,Margin of Error; Nonfamily households: - 4-person household,Estimate; Nonfamily households: - 5-person household,Margin of Error; Nonfamily households: - 5-person household,Estimate; Nonfamily households: - 6-person household,Margin of Error; Nonfamily households: - 6-person household,Estimate; Nonfamily households: - 7-or-more person household,Margin of Error; Nonfamily households: - 7-or-more person household
0500000US24001,24001,"Allegany County, Maryland",28167,503,17157,412,8631,368,3802,344,2961,259,1168,159,423,120,172,82,11010,524,9121,488,1430,237,349,156,82,55,28,25,0,28,0,28
0500000US24003,24003,"Anne Arundel County, Maryland",204829,1097,142363,1535,58559,1332,33970,1164,30176,1166,13228,851,4193,391,2237,279,62466,1679,49995,1426,10335,672,1440,301,561,194,130,83,0,28,5,9
0500000US24005,24005,"Baltimore County, Maryland",312826,1614,203891,1661,87297,1449,50310,1486,39862,1330,16928,749,6193,526,3301,355,108935,1543,89349,1338,15833,841,2805,352,732,160,127,74,84,72,5,8
0500000US24009,24009,"Calvert County, Maryland",31479,421,23705,550,9590,497,5688,510,4938,409,2039,284,827,181,623,164,7774,553,6132,464,1329,273,162,99,24,26,95,87,19,28,13,21
0500000US24011,24011,"Caroline County, Maryland",12010,288,8619,359,3727,324,2001,247,1712,237,768,155,288,101,123,58,3391,351,2713,271,646,193,19,14,13,16,0,25,0,25,0,25
0500000US24013,24013,"Carroll County, Maryland",60449,435,44606,532,18587,552,10082,455,9508,501,4237,336,1495,251,697,125,15843,574,13128,517,2195,313,333,145,97,54,70,55,0,28,20,23
0500000US24015,24015,"Cecil County, Maryland",36993,583,26123,630,11199,538,6368,506,4974,422,2407,303,824,185,351,118,10870,614,8787,604,1909,296,73,60,59,63,10,15,32,31,0,28
0500000US24017,24017,"Charles County, Maryland",54105,480,39377,536,13843,598,10049,574,8822,565,3896,438,1480,247,1287,236,14728,517,12233,506,1950,268,354,167,144,87,29,28,12,19,6,11
0500000US24019,24019,"Dorchester County, Maryland",13206,346,8773,385,5175,304,1374,165,1444,177,452,108,241,106,87,48,4433,338,3639,305,753,183,37,39,4,7,0,25,0,25,0,25
0500000US24021,24021,"Frederick County, Maryland",88995,500,64219,810,25362,803,15463,638,14564,594,5552,492,2125,317,1153,192,24776,768,19430,736,4338,401,693,194,171,79,108,76,36,38,0,28
0500000US24023,24023,"Garrett County, Maryland",11644,402,8177,327,4296,270,1576,166,1401,201,520,142,229,87,155,64,3467,279,3079,279,363,85,3,5,8,12,14,24,0,22,0,22
0500000US24025,24025,"Harford County, Maryland",92497,675,66516,879,27744,888,15699,778,13693,701,6106,467,2278,311,996,202,25981,927,21482,877,3832,391,460,162,163,85,33,41,0,28,11,17
0500000US24027,24027,"Howard County, Maryland",109872,683,82123,820,31528,908,20326,819,19211,850,7453,471,2235,356,1370,275,27749,760,22625,811,4351,442,542,176,148,78,42,37,0,28,41,60
0500000US24029,24029,"Kent County, Maryland",7683,302,4654,239,2775,211,814,145,681,130,233,80,90,62,61,40,3029,304,2592,314,344,108,40,44,36,47,17,16,0,19,0,19
0500000US24031,24031,"Montgomery County, Maryland",367764,1242,256128,1909,96592,1626,62957,1532,57228,1170,24621,868,9090,642,5640,542,111636,1753,91530,1658,15859,791,2866,408,871,191,396,136,36,26,78,56
0500000US24033,24033,"Prince George's County, Maryland",306711,1131,202160,1706,72865,1185,51253,1222,39564,1068,21786,795,9713,613,6979,472,104551,1566,87037,1620,12921,665,2494,374,1370,197,511,108,122,58,96,55
0500000US24035,24035,"Queen Anne's County, Maryland",17785,380,13162,411,6127,359,2824,249,2530,276,1131,213,325,98,225,76,4623,358,3828,319,752,135,20,22,17,23,6,11,0,25,0,25
0500000US24037,24037,"St. Mary's County, Maryland",38978,514,27876,621,11252,621,6583,483,5686,497,2601,347,1124,222,630,213,11102,578,8864,501,1828,350,245,145,118,93,13,22,0,28,34,49
0500000US24039,24039,"Somerset County, Maryland",8328,838,5147,653,2456,387,1454,315,728,170,382,148,85,55,42,36,3181,393,2651,349,482,195,20,20,15,22,13,19,0,22,0,22
0500000US24041,24041,"Talbot County, Maryland",16481,383,11001,370,6569,353,1960,256,1629,240,640,142,155,74,48,42,5480,394,4576,341,855,199,41,37,8,12,0,25,0,25,0,25
0500000US24043,24043,"Washington County, Maryland",56094,641,37610,661,16373,562,8608,524,7518,589,3227,387,1117,193,767,187,18484,585,15175,555,2752,369,385,162,172,108,0,28,0,28,0,28
0500000US24045,24045,"Wicomico County, Maryland",37170,603,24539,576,11139,547,5745,481,4999,443,1697,251,637,181,322,128,12631,575,9557,609,2032,338,493,171,522,192,27,33,0,28,0,28
0500000US24047,24047,"Worcester County, Maryland",21010,578,13421,437,8058,385,2574,285,1770,216,671,149,277,100,71,51,7589,521,6378,460,935,198,216,110,46,40,9,14,0,28,5,8
0500000US24510,24510,"Baltimore city, Maryland",242416,1560,124615,1413,52526,1160,32488,997,21336,943,10773,747,4204,377,3288,386,117801,1547,94454,1272,18565,832,3193,356,1087,182,367,138,120,89,15,18
