GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Allocated,Estimate; Total: - Not allocated
0500000US24001,24001,"Allegany County, Maryland",28727,2008,26719
0500000US24003,24003,"Anne Arundel County, Maryland",293520,29353,264167
0500000US24005,24005,"Baltimore County, Maryland",408917,39862,369055
0500000US24009,24009,"Calvert County, Maryland",44872,3317,41555
0500000US24011,24011,"Caroline County, Maryland",15162,1104,14058
0500000US24013,24013,"Carroll County, Maryland",86900,5744,81156
0500000US24015,24015,"Cecil County, Maryland",48948,3093,45855
0500000US24017,24017,"Charles County, Maryland",77928,8664,69264
0500000US24019,24019,"Dorchester County, Maryland",14819,1387,13432
0500000US24021,24021,"Frederick County, Maryland",127027,8590,118437
0500000US24023,24023,"Garrett County, Maryland",13790,845,12945
0500000US24025,24025,"Harford County, Maryland",127349,16829,110520
0500000US24027,24027,"Howard County, Maryland",164257,12367,151890
0500000US24029,24029,"Kent County, Maryland",8919,676,8243
0500000US24031,24031,"Montgomery County, Maryland",537814,45249,492565
0500000US24033,24033,"Prince George's County, Maryland",462632,45790,416842
0500000US24035,24035,"Queen Anne's County, Maryland",25058,1848,23210
0500000US24037,24037,"St. Mary's County, Maryland",55157,4279,50878
0500000US24039,24039,"Somerset County, Maryland",8013,874,7139
0500000US24041,24041,"Talbot County, Maryland",17383,1183,16200
0500000US24043,24043,"Washington County, Maryland",65935,5663,60272
0500000US24045,24045,"Wicomico County, Maryland",47925,3990,43935
0500000US24047,24047,"Worcester County, Maryland",23365,2007,21358
0500000US24510,24510,"Baltimore city, Maryland",270104,34848,235256
