GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05
Id,Id2,Geography,Estimate; Total:,"Estimate; Car, truck, or van:","Estimate; Car, truck, or van: - Allocated","Estimate; Car, truck, or van: - Not allocated",Estimate; Other means (including those who worked at home)
0500000US24001,24001,"Allegany County, Maryland",28727,26469,2236,24233,2258
0500000US24003,24003,"Anne Arundel County, Maryland",293520,257315,29621,227694,36205
0500000US24005,24005,"Baltimore County, Maryland",408917,360934,39047,321887,47983
0500000US24009,24009,"Calvert County, Maryland",44872,40448,3381,37067,4424
0500000US24011,24011,"Caroline County, Maryland",15162,13803,1252,12551,1359
0500000US24013,24013,"Carroll County, Maryland",86900,80490,6464,74026,6410
0500000US24015,24015,"Cecil County, Maryland",48948,44713,3263,41450,4235
0500000US24017,24017,"Charles County, Maryland",77928,69352,8849,60503,8576
0500000US24019,24019,"Dorchester County, Maryland",14819,13686,1518,12168,1133
0500000US24021,24021,"Frederick County, Maryland",127027,110823,8995,101828,16204
0500000US24023,24023,"Garrett County, Maryland",13790,12214,856,11358,1576
0500000US24025,24025,"Harford County, Maryland",127349,117275,16892,100383,10074
0500000US24027,24027,"Howard County, Maryland",164257,145758,12808,132950,18499
0500000US24029,24029,"Kent County, Maryland",8919,6854,564,6290,2065
0500000US24031,24031,"Montgomery County, Maryland",537814,403638,40541,363097,134176
0500000US24033,24033,"Prince George's County, Maryland",462632,358339,42803,315536,104293
0500000US24035,24035,"Queen Anne's County, Maryland",25058,22132,1954,20178,2926
0500000US24037,24037,"St. Mary's County, Maryland",55157,50886,4513,46373,4271
0500000US24039,24039,"Somerset County, Maryland",8013,7017,897,6120,996
0500000US24041,24041,"Talbot County, Maryland",17383,15496,1231,14265,1887
0500000US24043,24043,"Washington County, Maryland",65935,59882,5738,54144,6053
0500000US24045,24045,"Wicomico County, Maryland",47925,44450,4644,39806,3475
0500000US24047,24047,"Worcester County, Maryland",23365,20338,2218,18120,3027
0500000US24510,24510,"Baltimore city, Maryland",270104,186326,25494,160832,83778
