GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0500000US24001,24001,"Allegany County, Maryland",28167,503,17157,412,13055,433,11010,524,9.4,0.9,4.5,1.1,1.9,0.7,17.9,2.0,8.0,1.0,3.8,0.9,1.9,0.6,15.0,2.3,13.6,1.2,8.9,1.2,6.5,1.3,21.2,2.5,11.5,1.1,10.5,1.2,9.8,1.3,13.2,1.8,15.4,1.3,17.0,1.6,16.4,1.8,13.2,1.9,18.9,1.2,22.1,1.6,23.7,2.0,13.3,1.7,9.5,1.0,13.1,1.5,15.4,1.8,3.2,0.9,9.4,0.9,14.0,1.3,16.9,1.7,2.1,0.7,2.6,0.6,3.6,0.9,4.6,1.1,0.4,0.2,1.7,0.4,2.4,0.7,3.1,0.8,0.4,0.4,41559,1212,56081,2431,63337,2294,22695,1378,55075,1860,68984,2785,77736,3182,31861,1931,27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X)
0500000US24003,24003,"Anne Arundel County, Maryland",204829,1097,142363,1535,108602,1588,62466,1679,3.2,0.3,1.7,0.3,0.7,0.2,7.3,0.9,2.1,0.2,1.2,0.2,0.6,0.2,4.6,0.6,4.7,0.4,2.9,0.3,1.3,0.2,9.6,0.8,5.3,0.4,4.2,0.4,2.5,0.3,8.3,0.7,9.2,0.5,7.7,0.6,5.8,0.5,13.7,1.1,15.9,0.6,14.7,0.8,12.6,0.9,19.4,1.1,14.2,0.6,14.5,0.7,14.5,0.8,12.7,1.0,21.7,0.6,23.9,0.7,26.2,0.9,15.9,1.2,11.8,0.5,14.2,0.6,16.9,0.8,5.4,0.6,11.9,0.4,15.1,0.6,18.8,0.7,3.2,0.5,91918,1140,104768,1488,121463,1694,57474,2238,113363,1577,128743,2151,145541,2758,72347,1994,30.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.5,(X)
0500000US24005,24005,"Baltimore County, Maryland",312826,1614,203891,1661,144097,1774,108935,1543,4.8,0.3,2.7,0.2,1.1,0.2,9.5,0.7,3.1,0.2,1.6,0.2,0.7,0.1,6.1,0.5,7.1,0.3,4.6,0.3,2.5,0.3,12.7,0.7,8.0,0.3,6.2,0.4,4.0,0.3,12.1,0.7,12.0,0.5,10.5,0.4,7.9,0.4,15.5,0.8,19.1,0.5,17.8,0.6,15.8,0.6,21.2,0.9,13.8,0.4,15.3,0.5,16.1,0.6,10.0,0.6,17.6,0.4,21.8,0.5,26.1,0.7,8.6,0.5,7.5,0.3,9.8,0.4,12.7,0.5,2.3,0.3,7.1,0.3,9.7,0.4,13.0,0.5,1.9,0.3,68989,819,85115,1115,102714,1341,43669,1168,91300,981,108053,1296,126635,1638,55951,1064,36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.0,(X)
0500000US24009,24009,"Calvert County, Maryland",31479,421,23705,550,18209,575,7774,553,3.7,0.9,1.7,0.7,0.9,0.6,10.0,2.7,1.6,0.4,0.9,0.3,0.6,0.3,3.6,1.2,4.1,0.7,2.9,0.8,1.3,0.7,9.0,1.9,5.4,0.8,4.3,1.0,2.5,0.7,11.2,2.4,7.2,1.2,6.9,1.4,4.9,1.3,10.4,2.4,15.4,1.3,14.6,1.7,13.1,1.5,19.1,3.6,14.0,1.3,14.6,1.5,14.3,1.5,12.3,2.4,24.7,1.8,27.0,2.2,29.2,2.4,14.4,2.4,13.5,1.3,15.5,1.6,18.2,1.9,6.0,1.9,10.2,1.1,11.7,1.3,14.9,1.7,3.9,1.2,96808,2924,107403,5410,123277,3086,57244,5243,111784,3124,120798,3638,134847,4317,73948,4402,30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.1,(X)
0500000US24011,24011,"Caroline County, Maryland",12010,288,8619,359,6123,320,3391,351,7.0,1.1,6.2,1.3,2.9,1.2,11.2,2.7,4.6,1.0,3.2,1.2,1.5,1.1,8.3,1.9,11.7,1.5,9.2,1.7,5.9,1.7,20.2,3.8,11.4,1.6,9.6,1.7,8.3,2.1,16.4,3.9,13.9,1.9,12.1,1.9,9.7,1.9,18.1,3.7,21.0,2.2,23.1,2.6,24.8,3.3,14.3,4.3,11.9,1.5,13.7,1.9,17.6,2.5,6.0,1.9,12.9,1.6,16.1,2.1,20.7,2.7,3.6,1.5,2.9,0.7,3.3,0.8,4.1,1.1,1.2,1.4,2.7,0.8,3.5,1.0,4.6,1.4,0.6,0.7,50830,1263,58794,2088,70967,3800,31166,2415,63106,2227,70395,2956,N,N,39961,3697,38.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40.3,(X)
0500000US24013,24013,"Carroll County, Maryland",60449,435,44606,532,36868,711,15843,574,2.6,0.5,1.4,0.4,0.5,0.2,6.9,1.3,2.4,0.4,0.7,0.3,0.3,0.1,7.0,1.3,6.2,0.7,2.9,0.6,1.6,0.4,16.3,1.9,6.2,0.6,3.8,0.6,2.9,0.5,12.7,1.7,10.0,0.7,8.4,0.8,6.7,0.7,16.1,1.9,14.9,0.9,13.6,1.0,13.1,1.1,18.3,1.9,15.2,0.8,17.5,1.0,17.2,1.0,9.1,1.3,22.0,1.1,26.1,1.4,28.3,1.6,9.7,1.6,12.0,0.7,15.1,0.9,17.4,1.0,2.3,0.8,8.6,0.7,10.7,0.8,12.1,0.9,1.5,0.7,87060,1675,103233,2049,112415,2527,41641,1947,104584,2683,119760,3094,128995,3545,56988,4528,27.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.7,(X)
0500000US24015,24015,"Cecil County, Maryland",36993,583,26123,630,19934,578,10870,614,4.6,0.8,3.1,0.8,1.3,0.5,9.8,2.1,3.0,0.5,1.5,0.5,1.0,0.5,7.0,1.5,8.5,1.0,5.9,1.0,2.7,0.8,15.0,2.7,9.2,1.1,6.6,1.0,4.8,1.1,16.7,3.2,11.5,1.1,10.4,1.3,8.6,1.4,14.0,2.4,18.5,1.2,18.0,1.4,18.2,1.6,18.4,2.4,14.6,1.1,16.6,1.3,18.6,1.7,9.5,2.2,18.5,1.4,23.4,1.9,27.1,2.2,6.1,1.7,6.9,1.0,8.7,1.2,10.8,1.5,1.4,0.7,4.7,0.7,5.7,0.9,6.9,1.1,2.0,1.0,67938,2610,82113,2609,93343,3699,36893,4318,81578,2108,92931,2452,104596,3012,50420,3362,30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X)
0500000US24017,24017,"Charles County, Maryland",54105,480,39377,536,28481,648,14728,517,4.4,0.7,2.8,0.7,0.6,0.3,10.5,2.0,2.2,0.5,1.5,0.6,0.4,0.2,4.7,1.0,5.1,0.7,3.4,0.7,2.1,0.7,9.2,1.5,5.4,0.7,4.3,0.7,3.4,0.8,8.6,1.8,7.7,0.8,6.3,0.8,4.6,0.7,11.9,1.9,14.9,0.9,14.7,1.1,11.3,1.2,16.6,2.2,15.6,1.1,15.9,1.2,15.2,1.3,16.2,2.3,22.3,1.4,24.2,1.7,27.7,2.0,14.8,1.9,12.4,0.9,14.6,1.1,18.7,1.5,4.9,1.3,9.9,0.8,12.2,1.1,16.1,1.6,2.6,1.0,91373,1798,101953,3280,121522,3645,57122,3734,105550,2059,116235,2556,133828,3134,70599,4632,39.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.6,(X)
0500000US24019,24019,"Dorchester County, Maryland",13206,346,8773,385,5906,314,4433,338,7.0,1.3,5.6,1.4,0.8,0.5,11.7,3.0,7.3,1.3,4.6,1.3,0.8,0.7,13.6,2.7,11.3,1.5,6.9,1.6,3.8,1.1,19.1,3.2,10.7,1.4,9.6,1.8,7.6,1.7,12.8,2.7,15.2,2.1,14.9,2.4,14.5,2.6,16.5,3.2,17.0,2.0,18.0,2.5,19.5,2.6,13.7,2.6,13.2,1.6,16.5,2.2,21.9,2.7,6.2,2.4,12.8,1.7,16.7,2.4,21.5,3.2,3.8,1.8,3.1,1.0,3.7,1.1,4.8,1.6,1.8,1.8,2.6,0.7,3.5,1.0,4.8,1.3,0.7,0.7,47907,2615,61663,4262,77314,4067,29693,3535,66790,3631,78840,5498,93991,5360,40264,3515,43.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40.7,(X)
