GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Families
HC01_MOE_VC01,Total; Margin of Error; Families
HC02_EST_VC01,Percent; Estimate; Families
HC02_MOE_VC01,Percent; Margin of Error; Families
HC03_EST_VC01,Families with own children under 18 years; Estimate; Families
HC03_MOE_VC01,Families with own children under 18 years; Margin of Error; Families
HC04_EST_VC01,Percent Families with own children under 18 years; Estimate; Families
HC04_MOE_VC01,Percent Families with own children under 18 years; Margin of Error; Families
HC01_EST_VC03,Total; Estimate; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families
HC01_MOE_VC03,Total; Margin of Error; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families
HC02_EST_VC03,Percent; Estimate; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families
HC02_MOE_VC03,Percent; Margin of Error; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families
HC03_EST_VC03,Families with own children under 18 years; Estimate; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families
HC03_MOE_VC03,Families with own children under 18 years; Margin of Error; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families
HC04_EST_VC03,Percent Families with own children under 18 years; Estimate; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families
HC04_MOE_VC03,Percent Families with own children under 18 years; Margin of Error; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families
HC01_EST_VC04,Total; Estimate; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families - Both husband and wife in labor force
HC01_MOE_VC04,Total; Margin of Error; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families - Both husband and wife in labor force
HC02_EST_VC04,Percent; Estimate; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families - Both husband and wife in labor force
HC02_MOE_VC04,Percent; Margin of Error; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families - Both husband and wife in labor force
HC03_EST_VC04,Families with own children under 18 years; Estimate; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families - Both husband and wife in labor force
HC03_MOE_VC04,Families with own children under 18 years; Margin of Error; EMPLOYMENT STATUS CHARACTERISTICS - Married-couple families - Both husband and wife in labor force
