GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Total
0500000US24001,24001,"Allegany County, Maryland",3336
0500000US24003,24003,"Anne Arundel County, Maryland",14638
0500000US24005,24005,"Baltimore County, Maryland",26941
0500000US24009,24009,"Calvert County, Maryland",2560
0500000US24011,24011,"Caroline County, Maryland",1556
0500000US24013,24013,"Carroll County, Maryland",5554
0500000US24015,24015,"Cecil County, Maryland",3068
0500000US24017,24017,"Charles County, Maryland",4291
0500000US24019,24019,"Dorchester County, Maryland",1711
0500000US24021,24021,"Frederick County, Maryland",8610
0500000US24023,24023,"Garrett County, Maryland",1888
0500000US24025,24025,"Harford County, Maryland",7814
0500000US24027,24027,"Howard County, Maryland",8156
0500000US24029,24029,"Kent County, Maryland",1108
0500000US24031,24031,"Montgomery County, Maryland",31737
0500000US24033,24033,"Prince George's County, Maryland",27527
0500000US24035,24035,"Queen Anne's County, Maryland",1919
0500000US24037,24037,"St. Mary's County, Maryland",2729
0500000US24039,24039,"Somerset County, Maryland",904
0500000US24041,24041,"Talbot County, Maryland",1933
0500000US24043,24043,"Washington County, Maryland",4949
0500000US24045,24045,"Wicomico County, Maryland",3105
0500000US24047,24047,"Worcester County, Maryland",3812
0500000US24510,24510,"Baltimore city, Maryland",23786
