GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Total: - Worked in state of residence:
HD02_VD03,Margin of Error; Total: - Worked in state of residence:
HD01_VD04,Estimate; Total: - Worked in state of residence: - Worked in county of residence
HD02_VD04,Margin of Error; Total: - Worked in state of residence: - Worked in county of residence
HD01_VD05,Estimate; Total: - Worked in state of residence: - Worked outside county of residence
HD02_VD05,Margin of Error; Total: - Worked in state of residence: - Worked outside county of residence
HD01_VD06,Estimate; Total: - Worked outside state of residence
HD02_VD06,Margin of Error; Total: - Worked outside state of residence
HD01_VD07,Estimate; Total: - Male:
HD02_VD07,Margin of Error; Total: - Male:
HD01_VD08,Estimate; Total: - Male: - Worked in state of residence:
HD02_VD08,Margin of Error; Total: - Male: - Worked in state of residence:
HD01_VD09,Estimate; Total: - Male: - Worked in state of residence: - Worked in county of residence
HD02_VD09,Margin of Error; Total: - Male: - Worked in state of residence: - Worked in county of residence
HD01_VD10,Estimate; Total: - Male: - Worked in state of residence: - Worked outside county of residence
HD02_VD10,Margin of Error; Total: - Male: - Worked in state of residence: - Worked outside county of residence
HD01_VD11,Estimate; Total: - Male: - Worked outside state of residence
HD02_VD11,Margin of Error; Total: - Male: - Worked outside state of residence
HD01_VD12,Estimate; Total: - Female:
HD02_VD12,Margin of Error; Total: - Female:
HD01_VD13,Estimate; Total: - Female: - Worked in state of residence:
HD02_VD13,Margin of Error; Total: - Female: - Worked in state of residence:
HD01_VD14,Estimate; Total: - Female: - Worked in state of residence: - Worked in county of residence
HD02_VD14,Margin of Error; Total: - Female: - Worked in state of residence: - Worked in county of residence
HD01_VD15,Estimate; Total: - Female: - Worked in state of residence: - Worked outside county of residence
HD02_VD15,Margin of Error; Total: - Female: - Worked in state of residence: - Worked outside county of residence
HD01_VD16,Estimate; Total: - Female: - Worked outside state of residence
HD02_VD16,Margin of Error; Total: - Female: - Worked outside state of residence
