GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Worked in state of residence:,Margin of Error; Total: - Worked in state of residence:,Estimate; Total: - Worked in state of residence: - Worked in county of residence,Margin of Error; Total: - Worked in state of residence: - Worked in county of residence,Estimate; Total: - Worked in state of residence: - Worked outside county of residence,Margin of Error; Total: - Worked in state of residence: - Worked outside county of residence,Estimate; Total: - Worked outside state of residence,Margin of Error; Total: - Worked outside state of residence,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Worked in state of residence:,Margin of Error; Total: - Male: - Worked in state of residence:,Estimate; Total: - Male: - Worked in state of residence: - Worked in county of residence,Margin of Error; Total: - Male: - Worked in state of residence: - Worked in county of residence,Estimate; Total: - Male: - Worked in state of residence: - Worked outside county of residence,Margin of Error; Total: - Male: - Worked in state of residence: - Worked outside county of residence,Estimate; Total: - Male: - Worked outside state of residence,Margin of Error; Total: - Male: - Worked outside state of residence,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Worked in state of residence:,Margin of Error; Total: - Female: - Worked in state of residence:,Estimate; Total: - Female: - Worked in state of residence: - Worked in county of residence,Margin of Error; Total: - Female: - Worked in state of residence: - Worked in county of residence,Estimate; Total: - Female: - Worked in state of residence: - Worked outside county of residence,Margin of Error; Total: - Female: - Worked in state of residence: - Worked outside county of residence,Estimate; Total: - Female: - Worked outside state of residence,Margin of Error; Total: - Female: - Worked outside state of residence
0500000US24001,24001,"Allegany County, Maryland",28727,814,25755,846,23975,759,1780,230,2972,313,14852,566,12985,583,11953,531,1032,166,1867,246,13875,502,12770,518,12022,478,748,164,1105,194
0500000US24003,24003,"Anne Arundel County, Maryland",293520,1937,265280,2322,171669,2451,93611,2137,28240,1099,155350,1338,138225,1468,85292,1653,52933,1621,17125,891,138170,1547,127055,1680,86377,1603,40678,1294,11115,784
0500000US24005,24005,"Baltimore County, Maryland",408917,2077,398248,1992,205978,2814,192270,2769,10669,774,204607,1574,198397,1496,99320,1914,99077,1993,6210,570,204310,1718,199851,1787,106658,1860,93193,1583,4459,476
0500000US24009,24009,"Calvert County, Maryland",44872,744,37296,801,17110,855,20186,888,7576,610,23663,525,18919,597,7683,521,11236,637,4744,454,21209,531,18377,568,9427,582,8950,616,2832,343
0500000US24011,24011,"Caroline County, Maryland",15162,448,13853,449,6131,412,7722,449,1309,214,7878,277,7045,302,2987,284,4058,356,833,155,7284,360,6808,376,3144,294,3664,291,476,131
0500000US24013,24013,"Carroll County, Maryland",86900,928,83315,955,40047,963,43268,953,3585,346,46353,644,43883,711,18914,645,24969,670,2470,297,40547,655,39432,669,21133,645,18299,609,1115,174
0500000US24015,24015,"Cecil County, Maryland",48948,1058,33969,1112,23053,1118,10916,719,14979,754,25901,591,17391,679,10374,711,7017,560,8510,552,23047,829,16578,753,12679,710,3899,398,6469,475
0500000US24017,24017,"Charles County, Maryland",77928,865,52606,1128,30065,997,22541,913,25322,889,39093,586,25969,738,14486,661,11483,689,13124,646,38835,619,26637,788,15579,694,11058,622,12198,593
0500000US24019,24019,"Dorchester County, Maryland",14819,517,14048,473,8932,516,5116,406,771,151,7191,333,6729,311,4421,331,2308,257,462,106,7628,331,7319,307,4511,343,2808,276,309,99
