GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - In family households:,Margin of Error; In households: - In family households:,Estimate; In households: - In family households: - Householder:,Margin of Error; In households: - In family households: - Householder:,Estimate; In households: - In family households: - Householder: - Male,Margin of Error; In households: - In family households: - Householder: - Male,Estimate; In households: - In family households: - Householder: - Female,Margin of Error; In households: - In family households: - Householder: - Female,Estimate; In households: - In family households: - Spouse,Margin of Error; In households: - In family households: - Spouse,Estimate; In households: - In family households: - Child:,Margin of Error; In households: - In family households: - Child:,Estimate; In households: - In family households: - Child: - Biological child,Margin of Error; In households: - In family households: - Child: - Biological child,Estimate; In households: - In family households: - Child: - Adopted child,Margin of Error; In households: - In family households: - Child: - Adopted child,Estimate; In households: - In family households: - Child: - Stepchild,Margin of Error; In households: - In family households: - Child: - Stepchild,Estimate; In households: - In family households: - Grandchild,Margin of Error; In households: - In family households: - Grandchild,Estimate; In households: - In family households: - Brother or sister,Margin of Error; In households: - In family households: - Brother or sister,Estimate; In households: - In family households: - Parent,Margin of Error; In households: - In family households: - Parent,Estimate; In households: - In family households: - Parent-in-law,Margin of Error; In households: - In family households: - Parent-in-law,Estimate; In households: - In family households: - Son-in-law or daughter-in-law,Margin of Error; In households: - In family households: - Son-in-law or daughter-in-law,Estimate; In households: - In family households: - Other relatives,Margin of Error; In households: - In family households: - Other relatives,Estimate; In households: - In family households: - Nonrelatives:,Margin of Error; In households: - In family households: - Nonrelatives:,Estimate; In households: - In family households: - Nonrelatives: - Roomer or boarder,Margin of Error; In households: - In family households: - Nonrelatives: - Roomer or boarder,Estimate; In households: - In family households: - Nonrelatives: - Housemate or roommate,Margin of Error; In households: - In family households: - Nonrelatives: - Housemate or roommate,Estimate; In households: - In family households: - Nonrelatives: - Unmarried partner,Margin of Error; In households: - In family households: - Nonrelatives: - Unmarried partner,Estimate; In households: - In family households: - Nonrelatives: - Foster child,Margin of Error; In households: - In family households: - Nonrelatives: - Foster child,Estimate; In households: - In family households: - Nonrelatives: - Other nonrelatives,Margin of Error; In households: - In family households: - Nonrelatives: - Other nonrelatives,Estimate; In households: - In nonfamily households:,Margin of Error; In households: - In nonfamily households:,Estimate; In households: - In nonfamily households: - Householder:,Margin of Error; In households: - In nonfamily households: - Householder:,Estimate; In households: - In nonfamily households: - Householder: - Male:,Margin of Error; In households: - In nonfamily households: - Householder: - Male:,Estimate; In households: - In nonfamily households: - Householder: - Male: - Living alone,Margin of Error; In households: - In nonfamily households: - Householder: - Male: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Male: - Not living alone,Margin of Error; In households: - In nonfamily households: - Householder: - Male: - Not living alone,Estimate; In households: - In nonfamily households: - Householder: - Female:,Margin of Error; In households: - In nonfamily households: - Householder: - Female:,Estimate; In households: - In nonfamily households: - Householder: - Female: - Living alone,Margin of Error; In households: - In nonfamily households: - Householder: - Female: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Female: - Not living alone,Margin of Error; In households: - In nonfamily households: - Householder: - Female: - Not living alone,Estimate; In households: - In nonfamily households: - Nonrelatives:,Margin of Error; In households: - In nonfamily households: - Nonrelatives:,Estimate; In households: - In nonfamily households: - Nonrelatives: - Roomer or boarder,Margin of Error; In households: - In nonfamily households: - Nonrelatives: - Roomer or boarder,Estimate; In households: - In nonfamily households: - Nonrelatives: - Housemate or roommate,Margin of Error; In households: - In nonfamily households: - Nonrelatives: - Housemate or roommate,Estimate; In households: - In nonfamily households: - Nonrelatives: - Unmarried partner,Margin of Error; In households: - In nonfamily households: - Nonrelatives: - Unmarried partner,Estimate; In households: - In nonfamily households: - Nonrelatives: - Foster child,Margin of Error; In households: - In nonfamily households: - Nonrelatives: - Foster child,Estimate; In households: - In nonfamily households: - Nonrelatives: - Other nonrelatives,Margin of Error; In households: - In nonfamily households: - Nonrelatives: - Other nonrelatives,Estimate; In group quarters,Margin of Error; In group quarters
0500000US24001,24001,"Allegany County, Maryland",73060,*****,65416,504,51835,749,17157,412,8994,477,8163,439,13039,448,17417,558,15733,625,301,102,1383,320,1470,256,373,122,402,108,87,59,170,73,589,292,1131,229,34,35,77,47,616,155,60,56,344,126,13581,721,11010,524,5063,412,4048,361,1015,204,5947,342,5073,311,874,180,2571,372,241,138,882,267,1012,194,6,10,430,168,7644,504
0500000US24003,24003,"Anne Arundel County, Maryland",559737,*****,543645,1069,464241,2594,142363,1535,75957,1544,66406,1402,108558,1600,165496,1797,154121,1925,4092,690,7283,659,12006,1109,6198,716,5284,523,1779,306,2272,352,7878,1013,12407,1001,1903,505,1870,453,4755,537,240,124,3639,563,79404,2756,62466,1679,29171,1199,21848,993,7323,683,33295,1093,28147,1053,5148,516,16938,1413,1419,465,5303,721,7424,580,18,28,2774,595,16092,1069
0500000US24005,24005,"Baltimore County, Maryland",825666,*****,804868,969,666473,2473,203891,1661,102196,1531,101695,1512,144203,1681,239875,2021,225610,2114,5475,562,8790,862,18862,1274,10565,945,12065,875,3876,548,2956,384,11988,934,18192,1094,1849,437,2486,489,8034,630,339,131,5484,618,138395,2388,108935,1543,45914,1156,35313,968,10601,778,63021,1244,54036,1145,8985,632,29460,1295,3830,710,11097,1129,10565,673,137,102,3831,531,20798,969
0500000US24009,24009,"Calvert County, Maryland",90527,*****,89877,168,79617,936,23705,550,12622,555,11083,590,18235,594,28864,862,26679,880,704,279,1481,391,2286,438,971,246,1085,224,351,128,534,135,916,236,2670,466,337,135,356,165,1019,229,22,26,936,253,10260,923,7774,553,3666,362,2633,283,1033,249,4108,409,3499,373,609,151,2486,526,267,204,493,205,1230,258,0,28,496,314,650,168
0500000US24011,24011,"Caroline County, Maryland",32653,*****,32146,151,27960,506,8619,359,4183,261,4436,303,6152,315,9842,440,9049,412,288,115,505,149,989,284,334,108,481,141,89,44,131,58,276,97,1047,206,192,139,119,68,431,125,57,60,248,86,4186,496,3391,351,1696,223,1267,170,429,145,1695,212,1446,169,249,105,795,210,78,59,133,101,479,172,0,25,105,82,507,151
0500000US24013,24013,"Carroll County, Maryland",167535,*****,164056,350,144396,915,44606,532,25896,691,18710,693,36913,705,51329,843,47900,983,1132,243,2297,420,3163,430,880,192,1495,333,712,187,667,163,1634,331,2997,439,441,163,223,109,1049,218,9,17,1275,274,19660,939,15843,574,6792,429,5229,358,1563,274,9051,469,7899,412,1152,221,3817,581,543,274,1156,448,1726,267,10,16,382,140,3479,350
0500000US24015,24015,"Cecil County, Maryland",102175,*****,100625,275,86737,934,26123,630,13874,651,12249,622,19983,553,31830,808,29633,896,564,185,1633,421,2712,441,857,260,955,293,235,128,548,190,1447,407,2047,368,159,89,291,178,941,242,61,37,595,221,13888,946,10870,614,5379,420,4161,434,1218,302,5491,436,4626,402,865,164,3018,532,226,146,1340,380,1028,225,0,28,424,211,1550,275
0500000US24017,24017,"Charles County, Maryland",154357,*****,152220,346,133916,949,39377,536,18457,694,20920,712,28507,631,50792,846,48138,933,927,200,1727,365,4832,565,1580,324,2026,377,654,186,714,174,2189,393,3245,449,305,146,454,200,1373,240,75,50,1038,271,18304,851,14728,517,6628,410,5179,391,1449,263,8100,524,7054,470,1046,214,3576,574,518,202,1071,416,1272,233,37,56,678,339,2137,346
0500000US24019,24019,"Dorchester County, Maryland",32451,*****,31871,166,26429,471,8773,385,3686,238,5087,327,5784,349,8510,426,8145,450,131,112,234,88,1252,239,380,149,402,137,93,41,138,75,386,149,711,157,110,84,78,65,338,123,12,18,173,77,5442,456,4433,338,1916,252,1484,217,432,137,2517,196,2155,187,362,109,1009,194,156,113,172,84,547,152,4,8,130,88,580,166
