GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
0500000US24001,24001,"Allegany County, Maryland",50793,166,26349,159,147,57,19,10,67,40,594,139,445,121,715,144,703,159,552,149,11994,428,2069,226,3209,336,1613,242,2330,255,1230,199,288,86,374,91,24444,73,172,77,51,41,27,22,377,109,302,106,613,134,474,128,285,96,9308,410,1919,243,2802,287,3212,303,2403,275,2148,242,190,65,161,66
0500000US24003,24003,"Anne Arundel County, Maryland",382657,117,184656,97,1108,268,619,248,933,375,1869,389,1891,293,3361,498,3232,491,2600,375,46910,1619,11803,860,26357,1065,12071,786,41733,1347,21758,862,4853,445,3558,418,198001,101,1301,273,265,106,984,302,1773,312,2391,441,3100,408,2884,406,2641,336,46952,1277,14555,837,25759,1090,16665,935,46424,1171,25072,911,4472,446,2763,347
0500000US24005,24005,"Baltimore County, Maryland",569088,72,261750,31,2613,332,888,236,2062,359,3382,387,3513,458,4345,482,4157,434,4363,453,72947,1433,15068,803,35607,1056,15560,783,56595,1268,25178,1041,9502,590,5970,527,307338,64,2556,351,683,179,2108,357,4016,438,2631,354,4985,520,4159,458,5008,472,81777,1698,19604,921,40823,1407,24541,1051,65296,1602,37549,1219,7013,529,4589,428
0500000US24009,24009,"Calvert County, Maryland",60627,157,29427,116,113,67,75,55,65,45,388,125,405,165,417,170,461,153,482,177,9560,592,2700,364,5011,513,1654,291,4491,370,2639,353,516,153,450,133,31200,138,201,92,7,11,30,29,186,103,218,76,243,132,525,185,250,95,9144,514,2825,314,4996,504,2916,381,5547,408,3389,389,509,164,214,86
0500000US24011,24011,"Caroline County, Maryland",22037,69,10483,72,165,75,99,78,279,88,253,89,252,91,298,80,419,99,163,73,4721,358,617,144,1044,179,683,163,896,166,484,106,53,38,57,35,11554,45,129,62,121,65,95,54,150,49,230,100,428,103,424,128,175,74,4486,309,864,135,1646,222,925,154,1216,181,562,113,73,46,30,24
0500000US24013,24013,"Carroll County, Maryland",114734,130,55692,116,394,116,101,72,131,71,635,200,709,158,958,189,957,190,1000,177,17717,630,3884,337,7279,523,3540,316,12136,616,4594,399,950,188,707,142,59042,101,255,103,71,61,190,83,663,155,488,147,749,131,1044,228,726,168,17395,650,4892,407,7139,482,5150,395,12433,585,6489,462,960,167,398,102
0500000US24015,24015,"Cecil County, Maryland",69319,153,33799,131,179,89,69,46,81,40,704,213,624,177,1304,256,946,235,456,134,12727,621,2921,400,4215,446,2271,307,4599,437,1827,284,364,103,512,126,35520,126,217,104,86,88,103,64,731,240,361,156,838,180,1051,238,470,134,13288,659,2665,351,4622,395,2799,352,4816,447,2786,382,351,149,336,130
0500000US24017,24017,"Charles County, Maryland",101706,63,47519,81,426,142,108,77,239,97,464,145,414,117,637,139,961,234,740,151,16382,724,3374,347,8086,499,3248,352,7463,636,3941,416,554,166,482,142,54187,69,319,115,63,45,265,121,435,162,175,75,701,216,679,189,677,161,16514,694,4463,422,9674,709,4832,480,9293,505,5172,400,555,134,370,136
0500000US24019,24019,"Dorchester County, Maryland",23113,92,10742,62,134,63,20,22,134,71,137,65,79,39,296,122,669,186,239,103,4513,323,616,159,1298,225,492,117,1414,218,449,114,164,63,88,40,12371,96,153,65,12,17,127,70,276,103,219,86,305,128,522,119,136,67,4394,349,944,164,1718,222,880,187,1514,191,967,154,131,61,73,45
0500000US24021,24021,"Frederick County, Maryland",163563,70,79145,62,757,163,262,118,290,126,747,173,839,239,1172,202,1106,198,1116,211,20569,706,4930,433,10683,509,5442,425,18460,627,8766,504,1699,268,2307,282,84418,70,864,155,160,89,656,191,771,245,724,202,1054,213,889,184,770,174,20682,681,6288,407,10726,569,7072,577,19953,621,10834,602,1521,202,1454,193
0500000US24023,24023,"Garrett County, Maryland",21250,77,10297,68,80,54,8,19,18,19,281,90,164,82,269,90,311,111,182,69,4855,332,676,160,1027,198,665,151,851,155,627,151,152,48,131,48,10953,68,75,42,7,10,20,20,317,133,175,60,226,61,223,78,82,36,4152,270,906,155,1362,171,1080,166,1354,191,787,151,94,46,93,45
0500000US24025,24025,"Harford County, Maryland",171128,44,81685,28,751,193,72,60,157,72,710,152,536,154,1408,279,1083,220,1180,192,22906,916,6552,516,11875,643,5499,484,17832,712,8472,590,1306,235,1346,214,89443,39,635,175,249,123,458,164,981,228,662,162,1213,241,1287,202,1008,190,24705,858,7405,470,12531,698,8283,544,17609,810,10211,617,1172,201,1034,180
0500000US24027,24027,"Howard County, Maryland",207335,65,99015,67,618,163,227,143,431,216,689,199,504,144,680,191,550,138,910,209,12808,721,3295,447,10923,737,4350,428,30054,1024,21578,884,5354,455,6044,508,108320,49,765,176,334,147,479,154,719,223,450,165,725,206,929,277,671,189,16321,916,4555,506,11614,770,7222,554,32153,1027,22422,914,5191,402,3770,327
0500000US24029,24029,"Kent County, Maryland",13928,109,6560,64,108,64,42,33,103,77,81,54,55,47,214,93,207,68,157,66,2277,262,375,105,698,128,382,128,955,161,447,110,237,84,222,75,7368,89,92,45,32,45,58,41,156,94,82,54,103,83,204,102,77,43,2305,226,538,129,900,163,428,119,1344,224,783,179,111,56,155,84
0500000US24031,24031,"Montgomery County, Maryland",703977,143,329863,108,4991,528,3391,503,5171,692,3375,464,3678,469,2179,382,2575,422,4521,487,43826,1503,11809,789,32672,1304,14537,826,84493,1863,60857,1432,26493,860,25295,956,374114,62,6296,582,2916,353,5319,543,3954,499,3449,462,2613,325,2643,350,5134,573,54990,1786,15018,713,38287,1271,21584,922,102480,1710,73928,1386,18581,728,16922,755
0500000US24033,24033,"Prince George's County, Maryland",597885,121,278718,91,4815,512,5414,544,9693,875,5097,481,6314,508,4576,385,4773,451,6217,530,75925,1596,16024,738,44518,1502,14248,760,47754,1371,24091,1052,4320,469,4939,365,319167,96,4802,459,4030,445,6651,538,4131,450,4474,432,3845,424,4722,418,5260,511,78761,1674,20834,961,54013,1585,20688,835,60106,1475,37776,1176,4524,404,4550,403
0500000US24035,24035,"Queen Anne's County, Maryland",34080,106,16604,103,141,62,84,45,20,20,187,77,183,72,421,127,431,158,344,79,5266,390,1024,187,1915,261,1018,155,3267,291,1465,220,532,140,306,113,17476,83,60,38,47,34,60,49,145,71,102,44,197,60,309,121,145,51,4902,372,1284,236,1999,294,1877,276,3962,315,1895,243,290,107,202,81
0500000US24037,24037,"St. Mary's County, Maryland",72507,144,35919,138,340,165,41,57,245,128,633,208,299,122,747,196,909,295,678,215,10985,728,2261,360,5278,461,2215,354,6419,532,3947,364,446,142,476,139,36588,103,134,106,50,53,226,124,523,173,442,204,790,229,813,241,467,128,10944,586,2902,399,5298,488,3606,397,6165,444,3426,405,489,170,313,131
0500000US24039,24039,"Somerset County, Maryland",16959,304,9461,313,48,40,8,13,117,63,493,176,447,174,637,200,462,152,137,75,4136,348,482,117,1135,198,268,89,668,170,278,112,87,47,58,41,7498,175,50,39,57,53,78,77,93,60,206,99,292,117,235,82,175,83,2939,294,553,111,1063,200,478,133,688,143,493,136,36,26,62,55
0500000US24041,24041,"Talbot County, Maryland",28138,175,13036,127,89,46,4,6,143,79,271,113,194,131,298,107,427,174,190,77,3316,341,934,150,1687,208,727,148,2489,259,1090,146,660,120,517,129,15102,126,190,85,94,82,88,63,178,98,97,55,384,138,266,84,136,73,4062,294,1188,199,1977,241,1115,213,2903,235,1947,214,231,91,246,81
0500000US24043,24043,"Washington County, Maryland",103724,76,52140,73,493,128,163,79,269,93,858,183,1267,234,1879,256,1919,312,988,190,20734,577,4370,403,6462,543,3304,357,5792,429,2664,293,610,157,368,117,51584,53,480,124,117,75,132,67,727,154,994,200,1515,246,1227,217,594,164,18629,682,4589,409,6731,577,4437,449,6928,453,3836,398,393,119,255,91
0500000US24045,24045,"Wicomico County, Maryland",63454,188,29826,107,218,89,141,73,312,122,648,211,458,162,874,240,578,149,498,161,10965,581,1483,227,4475,510,1349,230,4541,419,1892,322,675,192,719,174,33628,146,278,112,82,44,283,122,478,142,514,155,762,205,581,160,552,159,10298,515,2329,308,5094,462,2832,322,5425,445,3387,376,329,95,404,121
0500000US24047,24047,"Worcester County, Maryland",38616,95,18429,95,201,90,33,31,30,36,325,115,214,103,335,141,424,139,285,89,6531,412,1198,202,2638,280,901,157,3428,356,1220,193,426,120,240,78,20187,107,150,84,44,44,126,83,213,96,201,93,411,145,481,111,530,190,5940,370,1647,225,2602,276,1596,214,3897,367,1878,257,328,103,143,62
0500000US24510,24510,"Baltimore city, Maryland",422021,69,193536,97,2864,322,1091,244,2269,332,4870,580,4404,545,7770,643,7145,645,4493,565,60703,1560,8738,663,25987,1155,7315,573,29956,1099,15005,750,6179,440,4747,416,228485,70,2782,349,900,247,1844,252,4985,432,4048,368,7689,643,8269,605,4416,388,64144,1618,12972,711,34571,1211,12329,752,36207,1151,23431,882,5889,444,4009,351
