GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
0500000US24001,24001,"Allegany County, Maryland",61696,145,32462,751,32412,743,29357,756,3055,406,50,41,29234,716
0500000US24003,24003,"Anne Arundel County, Maryland",446935,517,316151,1711,303581,1918,286787,1963,16794,1033,12570,972,130784,1821
0500000US24005,24005,"Baltimore County, Maryland",667650,585,444124,2244,443325,2226,416908,2197,26417,1148,799,212,223526,2349
0500000US24009,24009,"Calvert County, Maryland",71413,290,49736,753,49073,787,45239,876,3834,504,663,180,21677,715
0500000US24011,24011,"Caroline County, Maryland",25747,95,16666,396,16663,396,15410,425,1253,207,3,7,9081,400
0500000US24013,24013,"Carroll County, Maryland",135072,230,92793,824,92719,822,88560,934,4159,446,74,46,42279,855
0500000US24015,24015,"Cecil County, Maryland",80777,239,53247,1083,53155,1076,49666,1070,3489,488,92,47,27530,1089
0500000US24017,24017,"Charles County, Maryland",120875,280,83126,768,81852,833,77775,912,4077,431,1274,334,37749,794
0500000US24019,24019,"Dorchester County, Maryland",26350,107,16952,407,16928,405,15222,485,1706,302,24,21,9398,385
0500000US24021,24021,"Frederick County, Maryland",192078,274,136600,1012,135872,1032,128721,1112,7151,574,728,213,55478,1003
0500000US24023,24023,"Garrett County, Maryland",24658,77,14821,417,14821,417,13995,431,826,137,0,22,9837,423
0500000US24025,24025,"Harford County, Maryland",199608,298,137757,1206,136014,1211,127908,1281,8106,731,1743,334,61851,1219
0500000US24027,24027,"Howard County, Maryland",241509,352,174892,1141,173462,1167,165567,1200,7895,661,1430,272,66617,1139
0500000US24029,24029,"Kent County, Maryland",16817,70,9652,292,9640,291,9100,328,540,167,12,11,7165,291
0500000US24031,24031,"Montgomery County, Maryland",811165,517,582122,2258,578875,2414,545236,2747,33639,1261,3247,524,229043,2315
0500000US24033,24033,"Prince George's County, Maryland",715768,562,512949,1844,510407,1848,469724,2266,40683,1504,2542,276,202819,1848
0500000US24035,24035,"Queen Anne's County, Maryland",39204,167,26902,508,26751,510,25592,504,1159,213,151,60,12302,519
0500000US24037,24037,"St. Mary's County, Maryland",86260,230,58498,960,56773,997,54271,1041,2502,392,1725,348,27762,968
0500000US24039,24039,"Somerset County, Maryland",22097,86,9030,1419,9020,1415,8263,1293,757,222,10,17,13067,1431
0500000US24041,24041,"Talbot County, Maryland",31511,113,18741,484,18716,489,17595,518,1121,220,25,27,12770,512
0500000US24043,24043,"Washington County, Maryland",120024,245,72795,926,72526,920,67117,955,5409,568,269,119,47229,875
0500000US24045,24045,"Wicomico County, Maryland",81673,188,53297,1060,53218,1057,49106,1096,4112,540,79,64,28376,1076
0500000US24047,24047,"Worcester County, Maryland",43275,177,25748,570,25713,576,23728,676,1985,306,35,35,17527,593
0500000US24510,24510,"Baltimore city, Maryland",502739,477,310850,2168,310323,2144,274906,2388,35417,1453,527,193,191889,2204
