GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US24001,24001,"Allegany County, Maryland",73549,*****,95,1805,35,1941,184,1875,189,1220,56,1481,164,807,214,860,205,1861,287,2759,161,2624,144,2357,228,2525,210,2692,123,2814,129,2678,208,897,141,1224,146,853,122,1146,144,1346,149,1233,117,668,110,634,101,95,1612,17,1653,194,1761,198,1112,53,1532,96,797,161,562,144,1567,166,1783,64,1804,77,1719,184,2049,191,2206,74,2488,61,2407,184,923,136,1419,178,829,126,1296,167,1840,162,1317,144,1169,162,1404,149
0500000US24003,24003,"Anne Arundel County, Maryland",555280,*****,115,18133,53,17804,705,17908,707,10658,42,7272,64,4411,526,4508,422,11366,597,19780,54,19562,72,16741,808,19583,809,20248,62,21012,13,18012,688,6874,515,8947,554,5045,376,6980,527,8400,513,5027,343,3543,297,2986,355,115,17230,92,17659,693,16796,706,10374,63,5784,2,3187,432,3176,417,10359,461,19180,81,19393,79,18442,734,18792,742,21301,46,22238,55,19101,641,6949,456,10308,534,6286,434,7649,478,9139,508,6584,375,5334,381,5219,380
0500000US24005,24005,"Baltimore County, Maryland",822959,*****,81,24989,66,24765,833,25139,835,15594,42,11283,37,5978,562,6135,505,15666,648,28112,7,25831,12,23606,799,24361,799,26236,65,28409,86,27244,712,9840,652,13485,603,7871,462,9718,482,12183,431,9172,352,6781,394,7020,359,81,24655,64,25153,808,23126,809,14952,43,11806,35,6050,425,5954,503,16738,554,29923,65,28311,25,26844,868,26351,863,29316,11,32093,18,30144,647,11850,589,16036,619,9825,486,11857,529,14718,582,12716,565,10717,571,14406,576
0500000US24009,24009,"Calvert County, Maryland",90114,*****,182,2464,105,2408,278,4095,344,2273,45,1285,88,573,117,556,174,1659,170,2513,55,2250,64,2249,242,2956,239,4029,103,4118,110,3250,274,1172,225,1503,228,831,159,1186,185,1343,174,567,133,512,117,703,131,182,2240,85,2821,271,3608,291,2245,54,1128,115,728,185,373,111,1468,189,2285,50,2483,65,2339,227,3430,236,4067,68,4269,112,3312,240,1198,184,1510,205,1141,174,928,154,1319,173,1050,151,779,176,898,156
0500000US24011,24011,"Caroline County, Maryland",32661,*****,49,1024,13,1219,146,1038,146,653,14,402,46,232,77,154,58,678,94,904,36,1068,100,677,119,1151,123,1125,56,1303,66,1289,119,308,68,449,108,368,82,380,74,587,86,324,71,285,62,217,75,49,990,17,1130,142,1177,155,652,44,366,52,149,63,206,73,630,79,975,14,1015,13,916,135,1150,139,1193,23,1365,51,1205,116,399,90,616,99,397,86,541,94,530,88,504,92,394,106,326,84
0500000US24013,24013,"Carroll County, Maryland",167444,*****,116,4206,51,5455,374,5995,373,3984,101,2338,105,1100,208,1192,213,3229,247,4484,112,4200,112,4163,354,5761,366,6993,72,7475,98,6396,341,1960,227,2916,295,1770,199,2250,207,2737,236,1899,159,1145,171,1106,158,116,4020,49,5120,404,5829,404,3777,98,2271,66,1135,214,1110,224,2710,239,4042,108,4109,94,4274,277,6287,286,7260,81,7452,43,5910,267,2538,253,3006,238,2057,186,2134,217,3280,246,2404,250,1847,213,2118,216
0500000US24015,24015,"Cecil County, Maryland",101960,*****,170,3025,76,3607,336,3604,343,2293,129,1359,144,599,173,981,224,1849,243,2811,103,2938,160,2492,340,3989,354,3770,106,4230,202,3863,323,1139,216,1876,243,1153,199,1210,193,1743,200,1025,156,551,140,537,125,170,2903,74,3210,277,3506,280,2162,131,1309,204,600,200,927,249,1593,233,2920,65,2937,126,3265,334,3481,309,4075,110,4168,90,4048,350,1150,219,1816,263,1152,240,1327,218,1639,197,1358,181,873,145,897,156
0500000US24017,24017,"Charles County, Maryland",152754,*****,74,4687,2,5269,344,5908,345,3836,38,2074,81,1010,181,913,163,3192,204,4674,55,4403,20,4133,377,5764,387,6210,92,6082,90,4698,259,1765,220,2008,232,1271,187,1428,171,1943,190,1049,147,814,143,600,134,74,4535,4,4756,350,5832,345,3696,83,1987,53,1071,255,787,201,3038,292,4703,60,5074,63,5308,402,6353,399,6923,45,6519,59,5197,288,1767,243,2322,275,1343,185,1956,237,2038,228,1486,199,1204,166,1128,163
0500000US24019,24019,"Dorchester County, Maryland",32534,*****,101,1029,54,998,147,947,137,606,11,284,67,156,81,134,56,655,88,898,35,865,57,975,146,724,132,1032,19,1222,34,1155,151,593,138,489,104,401,102,566,109,670,105,437,94,431,80,275,84,101,1013,53,1031,123,781,112,514,22,267,57,63,34,156,68,804,91,1037,29,902,17,1077,152,840,136,1207,77,1346,47,1365,113,518,114,638,108,484,89,478,72,896,98,699,108,344,88,532,113
