GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No vehicle available,Margin of Error; Total: - No vehicle available,Estimate; Total: - 1 vehicle available,Margin of Error; Total: - 1 vehicle available,Estimate; Total: - 2 vehicles available,Margin of Error; Total: - 2 vehicles available,Estimate; Total: - 3 vehicles available,Margin of Error; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Margin of Error; Total: - 4 or more vehicles available,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No vehicle available,Margin of Error; Total: - 1-person household: - No vehicle available,Estimate; Total: - 1-person household: - 1 vehicle available,Margin of Error; Total: - 1-person household: - 1 vehicle available,Estimate; Total: - 1-person household: - 2 vehicles available,Margin of Error; Total: - 1-person household: - 2 vehicles available,Estimate; Total: - 1-person household: - 3 vehicles available,Margin of Error; Total: - 1-person household: - 3 vehicles available,Estimate; Total: - 1-person household: - 4 or more vehicles available,Margin of Error; Total: - 1-person household: - 4 or more vehicles available,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No vehicle available,Margin of Error; Total: - 2-person household: - No vehicle available,Estimate; Total: - 2-person household: - 1 vehicle available,Margin of Error; Total: - 2-person household: - 1 vehicle available,Estimate; Total: - 2-person household: - 2 vehicles available,Margin of Error; Total: - 2-person household: - 2 vehicles available,Estimate; Total: - 2-person household: - 3 vehicles available,Margin of Error; Total: - 2-person household: - 3 vehicles available,Estimate; Total: - 2-person household: - 4 or more vehicles available,Margin of Error; Total: - 2-person household: - 4 or more vehicles available,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No vehicle available,Margin of Error; Total: - 3-person household: - No vehicle available,Estimate; Total: - 3-person household: - 1 vehicle available,Margin of Error; Total: - 3-person household: - 1 vehicle available,Estimate; Total: - 3-person household: - 2 vehicles available,Margin of Error; Total: - 3-person household: - 2 vehicles available,Estimate; Total: - 3-person household: - 3 vehicles available,Margin of Error; Total: - 3-person household: - 3 vehicles available,Estimate; Total: - 3-person household: - 4 or more vehicles available,Margin of Error; Total: - 3-person household: - 4 or more vehicles available,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No vehicle available,Margin of Error; Total: - 4-or-more-person household: - No vehicle available,Estimate; Total: - 4-or-more-person household: - 1 vehicle available,Margin of Error; Total: - 4-or-more-person household: - 1 vehicle available,Estimate; Total: - 4-or-more-person household: - 2 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 2 vehicles available,Estimate; Total: - 4-or-more-person household: - 3 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 3 vehicles available,Estimate; Total: - 4-or-more-person household: - 4 or more vehicles available,Margin of Error; Total: - 4-or-more-person household: - 4 or more vehicles available
0500000US24001,24001,"Allegany County, Maryland",28324,443,3059,335,9820,558,9404,396,4211,353,1830,224,9233,455,2052,258,5683,444,1183,167,253,81,62,43,10116,404,567,135,2422,281,5028,349,1624,171,475,129,4116,349,196,104,902,213,1370,220,1097,208,551,134,4859,291,244,92,813,184,1823,207,1237,223,742,138
0500000US24003,24003,"Anne Arundel County, Maryland",203336,964,8167,551,56601,1272,86793,1341,35556,1028,16219,799,49555,1370,4672,413,34668,1161,8712,705,1119,279,384,124,69092,1384,1748,305,12268,781,40512,1025,11502,626,3062,368,34239,1251,911,215,5190,592,14273,961,10314,616,3551,428,50450,1286,836,213,4475,465,23296,870,12621,645,9222,632
0500000US24005,24005,"Baltimore County, Maryland",312900,1478,24739,983,112929,1699,118643,1786,40308,1234,16281,699,89684,1621,15295,878,63129,1425,9244,609,1537,245,479,146,104374,1653,5348,575,27607,923,57253,1404,11161,664,3005,337,52288,1313,2087,361,11601,845,21417,886,13483,719,3700,343,66554,1225,2009,330,10592,733,30729,990,14127,799,9097,584
0500000US24009,24009,"Calvert County, Maryland",31155,456,1198,249,6598,475,11466,529,7321,455,4572,363,6324,450,781,216,3830,383,1324,258,352,121,37,29,10667,543,225,91,1552,270,5343,400,2844,243,703,154,5518,397,96,64,627,188,1965,267,1795,216,1035,202,8646,433,96,57,589,181,2834,284,2330,311,2797,336
0500000US24011,24011,"Caroline County, Maryland",11920,220,760,149,3268,270,4257,262,2322,245,1313,174,2868,295,463,118,1728,223,517,134,121,68,39,39,4157,289,189,83,749,165,2039,208,811,129,369,109,1874,263,55,39,296,100,646,197,645,142,232,70,3021,220,53,41,495,121,1055,175,745,121,673,120
0500000US24013,24013,"Carroll County, Maryland",60004,467,2676,302,13099,626,23642,673,13035,609,7552,468,12737,544,2032,258,8140,515,2087,266,331,92,147,92,20626,626,323,95,3141,373,11270,420,4426,326,1466,222,10113,530,197,93,1060,207,3586,353,3436,325,1834,251,16528,483,124,66,758,189,6699,368,4842,447,4105,361
0500000US24015,24015,"Cecil County, Maryland",36728,607,1972,310,10140,604,14784,621,6902,501,2930,339,8495,605,994,193,5703,541,1307,228,316,130,175,102,13335,577,412,139,2471,317,7353,454,2424,334,675,146,6275,497,268,137,864,213,2701,345,1769,273,673,171,8623,489,298,119,1102,216,3423,349,2393,352,1407,261
0500000US24017,24017,"Charles County, Maryland",53171,579,2056,331,13962,684,20352,691,10090,587,6711,423,12007,611,1080,247,7862,482,2263,292,597,220,205,101,15576,646,340,104,2590,308,8362,530,2946,338,1338,195,10931,709,350,152,2163,377,3788,426,2895,347,1735,234,14657,690,286,116,1347,252,5939,471,3652,382,3433,369
0500000US24019,24019,"Dorchester County, Maryland",13265,372,1276,207,4470,332,4699,314,2079,214,741,144,3661,368,693,154,2388,290,458,90,98,54,24,26,5870,361,309,106,1307,196,3006,253,968,174,280,105,1529,213,152,86,307,100,530,116,415,105,125,52,2205,198,122,63,468,124,705,169,598,121,312,93
0500000US24021,24021,"Frederick County, Maryland",88494,574,4369,416,23054,804,35344,973,17429,743,8298,495,19727,689,2695,364,13198,651,3121,367,509,134,204,91,29751,870,761,188,5244,506,15917,694,5927,504,1902,290,15389,818,494,168,2210,357,5883,451,4848,419,1954,246,23627,621,419,140,2402,355,10423,523,6145,420,4238,352
0500000US24023,24023,"Garrett County, Maryland",11863,404,941,167,3623,319,4633,311,1844,204,822,178,3243,277,566,155,2015,225,567,132,47,30,48,38,4699,270,237,73,1030,195,2459,215,808,155,165,69,1675,167,46,30,347,81,638,134,426,95,218,86,2246,195,92,49,231,71,969,178,563,107,391,126
0500000US24025,24025,"Harford County, Maryland",91727,594,4554,416,24679,921,38809,950,15753,671,7932,458,20481,786,2831,382,13785,691,3216,324,362,127,287,108,31818,844,845,218,6201,506,18337,668,5100,416,1335,218,15881,701,502,178,2420,374,6059,502,4848,408,2052,326,23547,632,376,138,2273,376,11197,645,5443,474,4258,361
0500000US24027,24027,"Howard County, Maryland",108555,700,3965,429,28485,1051,48992,1069,19076,709,8037,550,22600,866,2446,350,16433,894,3283,443,270,104,168,90,34587,1007,817,223,6205,503,20932,835,5422,515,1211,243,21154,838,297,110,3405,447,9841,691,5776,431,1835,228,30214,759,405,116,2442,397,14936,715,7608,530,4823,454
0500000US24029,24029,"Kent County, Maryland",7624,290,773,160,2521,242,2752,250,1091,166,487,106,2506,269,533,131,1491,229,432,164,30,24,20,30,3091,238,167,92,740,155,1556,190,557,102,71,38,965,153,2,3,144,69,430,115,226,90,163,75,1062,146,71,55,146,76,334,82,278,88,233,68
0500000US24031,24031,"Montgomery County, Maryland",365235,1108,27976,992,125319,1748,144640,2133,48057,1375,19243,744,91606,1567,17246,802,65155,1395,8027,588,861,173,317,123,111110,1497,5227,510,31260,987,60704,1264,11218,674,2701,247,64523,1457,2719,342,14341,820,28539,1104,15106,757,3818,336,97996,1378,2784,365,14563,718,47370,1298,20872,837,12407,681
0500000US24033,24033,"Prince George's County, Maryland",305610,1102,28707,1058,114530,1473,100357,1640,41925,1089,20091,791,85976,1533,13994,753,57463,1282,11694,809,2087,312,738,192,86558,1669,6451,445,27261,1063,38872,1060,10541,617,3433,354,53786,1260,3810,416,14560,718,20069,918,11466,665,3881,338,79290,1387,4452,517,15246,636,29722,980,17831,807,12039,624
0500000US24035,24035,"Queen Anne's County, Maryland",17522,396,479,163,3823,316,7595,437,3544,324,2081,260,3547,304,335,126,2170,258,929,176,39,31,74,46,7068,375,41,35,1006,205,4080,346,1528,211,413,144,2777,279,25,25,340,124,983,181,829,163,600,145,4130,253,78,56,307,107,1603,179,1148,186,994,206
0500000US24037,24037,"St. Mary's County, Maryland",38243,654,2182,329,8839,581,15155,801,7467,584,4600,440,8430,591,1196,268,5131,494,1669,287,301,114,133,76,12923,660,380,147,2041,342,6801,532,2563,312,1138,267,6380,570,138,113,689,204,2629,422,1957,296,967,206,10510,492,468,133,978,253,4056,399,2646,383,2362,301
0500000US24039,24039,"Somerset County, Maryland",8385,866,913,202,3216,375,2572,412,1108,257,576,132,2746,359,503,154,1675,270,353,124,142,83,73,93,3003,334,150,66,963,223,1227,178,393,104,270,95,1302,253,184,104,316,123,420,141,281,116,101,56,1334,247,76,41,262,107,572,177,292,108,132,52
0500000US24041,24041,"Talbot County, Maryland",16231,383,1034,236,5162,382,6514,401,2416,231,1105,187,4495,355,630,168,3046,327,702,126,91,51,26,26,6860,330,261,136,1430,260,3820,304,1083,152,266,89,2245,239,60,49,360,118,966,181,618,109,241,87,2631,213,83,63,326,122,1026,167,624,126,572,155
0500000US24043,24043,"Washington County, Maryland",56067,561,4638,402,17254,760,20168,781,9615,559,4392,378,14853,700,2638,314,9165,591,2443,341,465,127,142,86,19461,750,1065,206,4615,421,9318,536,3341,298,1122,196,8751,558,500,151,1719,241,2957,376,2678,294,897,213,13002,494,435,126,1755,265,5450,404,3131,360,2231,306
0500000US24045,24045,"Wicomico County, Maryland",36989,602,2757,379,12644,717,13376,832,5681,453,2531,329,9313,544,1355,236,6148,471,1445,287,254,109,111,63,13003,662,700,201,3287,401,6300,511,1977,298,739,203,6762,601,336,167,1460,318,2719,449,1662,264,585,149,7911,457,366,138,1749,319,2912,372,1788,278,1096,210
0500000US24047,24047,"Worcester County, Maryland",20773,613,1347,220,7447,455,7752,475,2978,289,1249,208,6180,458,871,165,4260,363,850,201,146,68,53,45,8878,382,297,125,2194,245,4719,319,1334,175,334,107,2660,326,113,82,529,160,1007,206,637,153,374,112,3055,284,66,52,464,136,1176,197,861,170,488,141
0500000US24510,24510,"Baltimore city, Maryland",242268,1587,72131,1480,100071,1764,54587,1490,11909,682,3570,437,95042,1567,38770,1194,50379,1408,4724,415,908,199,261,94,70508,1581,15462,806,25047,931,26566,984,2911,326,522,158,35915,1041,8415,647,12055,725,10518,659,4187,384,740,189,40803,1028,9484,593,12590,695,12779,684,3903,393,2047,321
