hhid,indid,APER,gender,age,educ,vehicles,income,school,employment
0,1,1,0,8,6,1,50000,1,1
80000,8000001,1,1,21,7,1,0,1,3
140000,14000001,1,1,21,2,1,0,1,3
140001,14000101,1,1,21,2,1,0,1,3
150000,15000001,1,1,18,6,1,0,1,3
160000,16000001,2,0,18,6,2,62000,1,1
160001,16000101,2,0,18,6,2,62000,1,1
160000,16000002,2,1,18,6,2,0,1,3
160001,16000102,2,1,18,6,2,0,1,3
300000,30000001,1,1,19,11,1,0,1,3
360000,36000002,2,0,7,10,2,0,2,3
360001,36000102,2,0,7,10,2,0,2,3
360002,36000202,2,0,7,10,2,0,2,3
360003,36000302,2,0,7,10,2,0,2,3
360004,36000402,2,0,7,10,2,0,2,3
360005,36000502,2,0,7,10,2,0,2,3
360006,36000602,2,0,7,10,2,0,2,3
360007,36000702,2,0,7,10,2,0,2,3
360000,36000001,2,0,7,10,2,0,2,3
360001,36000101,2,0,7,10,2,0,2,3
360002,36000201,2,0,7,10,2,0,2,3
360003,36000301,2,0,7,10,2,0,2,3
360004,36000401,2,0,7,10,2,0,2,3
360005,36000501,2,0,7,10,2,0,2,3
360006,36000601,2,0,7,10,2,0,2,3
360007,36000701,2,0,7,10,2,0,2,3
720000,72000001,1,1,6,8,0,0,2,3
730000,73000002,2,1,12,6,1,0,1,2
730000,73000001,2,0,12,6,1,19500,1,1
750000,75000001,2,0,12,6,2,75000,1,1
750000,75000002,2,1,15,5,2,41600,1,1
820000,82000001,2,1,9,11,2,40000,1,1
820001,82000101,2,1,9,11,2,40000,1,1
820002,82000201,2,1,9,11,2,40000,1,1
820003,82000301,2,1,9,11,2,40000,1,1
820004,82000401,2,1,9,11,2,40000,1,1
820005,82000501,2,1,9,11,2,40000,1,1
820006,82000601,2,1,9,11,2,40000,1,1
820000,82000002,2,0,10,11,2,67000,1,1
820001,82000102,2,0,10,11,2,67000,1,1
820002,82000202,2,0,10,11,2,67000,1,1
820003,82000302,2,0,10,11,2,67000,1,1
820004,82000402,2,0,10,11,2,67000,1,1
820005,82000502,2,0,10,11,2,67000,1,1
820006,82000602,2,0,10,11,2,67000,1,1
840000,84000001,2,1,12,10,2,93000,1,1
840001,84000101,2,1,12,10,2,93000,1,1
840002,84000201,2,1,12,10,2,93000,1,1
840003,84000301,2,1,12,10,2,93000,1,1
840004,84000401,2,1,12,10,2,93000,1,1
840000,84000002,2,0,12,10,2,81000,1,1
840001,84000102,2,0,12,10,2,81000,1,1
840002,84000202,2,0,12,10,2,81000,1,1
840003,84000302,2,0,12,10,2,81000,1,1
840004,84000402,2,0,12,10,2,81000,1,1
1030000,103000001,1,1,14,7,1,6000,1,1
