,hhid,indid,APER,gender,age,educ,vehicles,income,school,employment,x,y
0,0,1,1,0,8,6,1,50000,1,1,500400.655655,170778.137918
1,80000,8000001,1,1,21,7,1,0,1,3,457147.305099,135785.493556
2,140000,14000001,1,1,21,2,1,0,1,3,457267.120475,134587.115325
3,140001,14000101,1,1,21,2,1,0,1,3,480391.487946,152083.437506
4,150000,15000001,1,1,18,6,1,0,1,3,458465.27423000004,139260.790428
5,160000,16000001,2,0,18,6,2,62000,1,1,492133.394745,156637.274786
6,160001,16000101,2,0,18,6,2,62000,1,1,460022.874111,146451.059817
7,160000,16000002,2,1,18,6,2,0,1,3,492133.394745,156637.274786
8,160001,16000102,2,1,18,6,2,0,1,3,460022.874111,146451.059817
9,300000,30000001,1,1,19,11,1,0,1,3,487820.04122700007,164546.57111400002
10,360000,36000002,2,0,7,10,2,0,2,3,461221.02786599996,144653.49247
11,360001,36000102,2,0,7,10,2,0,2,3,459783.24336,140459.16866
12,360002,36000202,2,0,7,10,2,0,2,3,488299.302729,158434.842133
13,360003,36000302,2,0,7,10,2,0,2,3,469967.55027799995,139620.303897
14,360004,36000402,2,0,7,10,2,0,2,3,468290.135021,142855.925123
15,360005,36000502,2,0,7,10,2,0,2,3,473921.45766899997,154360.356146
16,360006,36000602,2,0,7,10,2,0,2,3,460262.504862,148608.14063399998
17,360007,36000702,2,0,7,10,2,0,2,3,487580.41047600005,174972.461729
18,360000,36000001,2,0,7,10,2,0,2,3,461221.02786599996,144653.49247
19,360001,36000101,2,0,7,10,2,0,2,3,459783.24336,140459.16866
20,360002,36000201,2,0,7,10,2,0,2,3,488299.302729,158434.842133
21,360003,36000301,2,0,7,10,2,0,2,3,469967.55027799995,139620.303897
22,360004,36000401,2,0,7,10,2,0,2,3,468290.135021,142855.925123
23,360005,36000501,2,0,7,10,2,0,2,3,473921.45766899997,154360.356146
24,360006,36000601,2,0,7,10,2,0,2,3,460262.504862,148608.14063399998
25,360007,36000701,2,0,7,10,2,0,2,3,487580.41047600005,174972.461729
26,720000,72000001,1,1,6,8,0,0,2,3,459903.058736,152442.950975
27,730000,73000002,2,1,12,6,1,0,1,2,480990.564824,151244.572744
28,730000,73000001,2,0,12,6,1,19500,1,1,480990.564824,151244.572744
29,750000,75000001,2,0,12,6,2,75000,1,1,462419.181621,144773.330293
30,750000,75000002,2,1,15,5,2,41600,1,1,462419.181621,144773.330293
31,820000,82000001,2,1,9,11,2,40000,1,1,490455.979488,148368.46498800002
32,820001,82000101,2,1,9,11,2,40000,1,1,455469.88984200003,140459.16866
33,820002,82000201,2,1,9,11,2,40000,1,1,496926.00976499997,158674.517779
34,820003,82000301,2,1,9,11,2,40000,1,1,471764.78091000003,139140.952605
35,820004,82000401,2,1,9,11,2,40000,1,1,492133.394745,150166.032335
36,820005,82000501,2,1,9,11,2,40000,1,1,457626.566601,144893.16811600002
37,820006,82000601,2,1,9,11,2,40000,1,1,503515.855418,163827.544175
38,820000,82000002,2,0,10,11,2,67000,1,1,490455.979488,148368.46498800002
39,820001,82000102,2,0,10,11,2,67000,1,1,455469.88984200003,140459.16866
40,820002,82000202,2,0,10,11,2,67000,1,1,496926.00976499997,158674.517779
41,820003,82000302,2,0,10,11,2,67000,1,1,471764.78091000003,139140.952605
42,820004,82000402,2,0,10,11,2,67000,1,1,492133.394745,150166.032335
43,820005,82000502,2,0,10,11,2,67000,1,1,457626.566601,144893.16811600002
44,820006,82000602,2,0,10,11,2,67000,1,1,503515.855418,163827.544175
45,840000,84000001,2,1,12,10,2,93000,1,1,462419.181621,143694.78988499998
46,840001,84000101,2,1,12,10,2,93000,1,1,460382.320238,147769.275872
47,840002,84000201,2,1,12,10,2,93000,1,1,475479.05755100003,154719.869615
48,840003,84000301,2,1,12,10,2,93000,1,1,469128.842649,136983.87178800002
49,840004,84000401,2,1,12,10,2,93000,1,1,472483.673163,142496.411653
50,840000,84000002,2,0,12,10,2,81000,1,1,462419.181621,143694.78988499998
51,840001,84000102,2,0,12,10,2,81000,1,1,460382.320238,147769.275872
52,840002,84000202,2,0,12,10,2,81000,1,1,475479.05755100003,154719.869615
53,840003,84000302,2,0,12,10,2,81000,1,1,469128.842649,136983.87178800002
54,840004,84000402,2,0,12,10,2,81000,1,1,472483.673163,142496.411653
55,1030000,103000001,1,1,14,7,1,6000,1,1,473801.64229399996,151124.734921
56,1080000,108000001,2,0,18,11,2,16000,1,3,472483.673163,144533.654647
57,1080001,108000101,2,0,18,11,2,16000,1,3,461101.212491,143694.78988499998
