 - 10 to 14 years, - 15 to 17 years, - 18 and 19 years, - 20 years, - 21 years, - 22 to 24 years, - 25 to 29 years, - 30 to 34 years, - 35 to 39 years, - 40 to 44 years, - 45 to 49 years, - 5 to 9 years, - 50 to 54 years, - 55 to 59 years, - 60 and 61 years, - 62 to 64 years, - 65 and 66 years, - 67 to 69 years, - 70 to 74 years, - 75 to 79 years, - 80 to 84 years, - 85 years and over, - Under 5 years
3636,2332,3013,1604,1422,3428,4542,4428,4076,4574,4898,3594,5302,5085,1820,2643,1682,2442,3186,2550,1837,2038,3417
34704,21032,13056,7598,7684,21725,38960,38955,35183,38375,41549,35463,43250,37113,13823,19255,11331,14629,17539,11611,8877,8205,35363
48265,30546,23089,12028,12089,32404,58035,54142,50450,50712,55552,49918,60502,57388,21690,29521,17696,21575,26901,21888,17498,21426,49644
7703,4518,2413,1301,929,3127,4798,4733,4588,6386,8096,5229,8387,6562,2370,3013,1972,2114,2662,1617,1291,1601,4704
2215,1305,768,381,360,1308,1879,2083,1593,2301,2318,2349,2668,2494,707,1065,765,921,1117,828,679,543,2014
11824,7761,4609,2235,2302,5939,8526,8309,8437,12048,14253,10575,14927,12306,4498,5922,3827,4384,6017,4303,2992,3224,8226
7110,4455,2668,1199,1908,3442,5731,5875,5757,7470,7845,6817,8398,7911,2289,3692,2305,2537,3382,2383,1424,1434,5928
11740,7532,4061,2081,1700,6230,9377,9477,9441,12117,13133,10025,12601,9895,3532,4330,2614,3384,3981,2535,2018,1728,9222
1728,1120,551,219,290,1459,1935,1767,2052,1564,2239,2029,2568,2520,1111,1127,885,1044,1566,1136,775,807,2042
17704,10594,6383,2847,3038,8906,14429,14998,14330,18371,19569,15606,19824,16531,5886,7817,4792,6132,6438,4865,3569,4232,14512
1676,1185,713,431,274,1065,1481,1585,1720,1833,2034,1731,2365,2336,773,1333,833,982,1554,1215,588,652,1454
17083,10879,5955,3048,3291,8866,15122,15021,14796,16776,19309,15996,20570,18102,6258,8859,5090,7043,8638,5582,4253,4319,14110
22234,14221,7347,2777,3018,11000,18288,19852,19602,23317,24665,21034,25068,21700,6829,9467,5539,7217,9198,5581,4064,3931,18166
985,556,963,522,361,857,977,1114,820,746,1176,922,1413,1486,581,852,623,661,1234,753,665,769,887
67489,40456,22603,9991,9669,36782,67087,71268,71806,71311,75159,65717,76849,69268,26444,34177,19773,24014,30745,22072,17170,21452,66557
54988,33373,28779,14360,15518,39484,67984,65567,60964,62282,64975,55692,65626,57464,20559,29325,16746,19718,23659,15510,10657,9838,59748
3235,2031,1190,592,457,1459,2315,2599,2484,3252,3990,3123,4135,3833,1271,1874,1088,1812,2168,1180,981,934,2597
7589,4665,3136,1564,1792,4094,7644,7123,6703,7603,8542,7907,8603,7387,2539,2761,1935,2471,3188,2098,1400,1448,7422
1224,740,1622,640,921,1539,1759,1546,1636,1431,1524,1128,1884,1719,535,992,537,788,893,753,468,442,1259
2060,1233,713,189,402,1223,1898,1659,1694,2314,2339,2037,2805,3084,907,1757,1173,1565,2594,1811,1188,1385,1769
9263,5904,3220,1853,1845,5640,9874,9383,8621,10922,11404,9498,11247,9971,3859,5177,3128,4050,5248,4034,3255,3132,8742
6226,3661,5032,2462,2694,5613,6239,5770,5627,5768,6391,6225,6736,6568,2499,3419,2044,2578,3430,2353,1814,1902,6131
2607,1640,1031,672,549,1645,2484,2203,2523,2856,3460,2707,4024,4051,1589,2467,1696,2266,3261,2437,1682,1408,2261
33879,19837,18505,10992,11061,29984,61135,51356,38394,36629,39420,36493,43426,39597,15188,19950,11904,13092,17078,13375,10198,9414,41547
