0,174422,,,0,377167,,,
1,210192,,,1,231576,,,
2,139715,,,2,161420,,,
3,74737,,,3,81586,,,
4,92490,,,4,83574,,,
5,214264,,,5,237219,,,
6,444739,,,6,412499,,,
7,448323,,,7,400813,,,
8,436080,,,8,373297,,,
9,427908,,,9,400958,,,
10,413479,,,10,433840,,,
11,356268,,,11,371815,,,
12,454110,,,12,453178,,,
13,413321,,,13,404371,,,
14,210360,,,14,147557,,,
15,199316,,,15,200795,,,
16,151451,,,16,119978,,,
17,233436,,,17,147419,,,
18,181341,,,18,185677,,,
19,139089,,,19,132470,,,
20,102741,,,20,99343,,,
21,100282,,,21,106264,,,
22,312480,,,22,367722,,,
,,,,,,,,
,5930544,,,,5930538,,error,6
