category,24001,24003,24005,24009,24011,24013,24015,24017,24019,24021,24023,24025,24027,24029,24031,24033,24035,24037,24039,24041,24043,24045,24047,24510
0,4251,31708,46353,5199,2105,9609,5844,8815,2177,13784,1968,14201,17513,1153,57324,50284,2853,6263,1540,2381,8452,5792,3044,35075
1,5498,36459,60186,5390,2662,10479,6895,9073,2803,15762,2434,16461,18177,1346,74441,65296,3029,7484,1914,3033,10917,7148,3975,45529
2,4433,30534,48823,4731,2162,8975,5736,7987,2137,13301,2002,13897,16096,1204,60379,52940,2860,6193,1619,2442,8859,5598,3171,36891
3,1394,10667,15521,1738,680,3255,1957,2980,647,4640,590,4763,5902,367,19209,16837,973,2119,502,755,2809,1957,1012,11738
4,1780,13466,19615,2192,867,4118,2481,3730,847,5868,777,6052,7414,480,24273,21316,1257,2667,628,985,3571,2484,1288,14846
5,2002,14965,21770,2425,923,4606,2795,4188,901,6544,833,6732,8281,503,26892,23612,1393,2979,675,1079,3967,2764,1411,16461
6,19792,152247,222715,25012,8340,46297,27738,42323,7956,66260,7519,68298,84338,5373,275289,241296,13337,30032,6686,9806,40587,27511,13703,168476
7,8487,65122,95135,10678,3896,19708,12093,18048,3760,28440,3558,29375,35897,2454,117623,103156,5677,13009,3185,4502,17379,11975,6168,71846
8,3805,29027,42396,4758,1718,8781,5273,8096,1752,12597,1680,12988,15998,995,52390,45962,2689,5675,1396,2009,7638,5228,2710,32062
10,12473,95782,140092,15773,5232,29028,17426,26710,5412,41579,4846,42660,52845,3433,173549,152186,8129,18603,4513,5956,25154,17257,8440,106052
11,9636,75303,110354,12218,4078,22588,13723,20804,4143,32598,3608,33539,41654,2615,136491,119932,6403,14591,3324,4851,19937,13469,6599,83478
