,0,1,2
0,655779329,105421398,"{'osmid': 60615239, 'oneway': True, 'lanes': '2', 'ref': 'US 22', 'highway': 'trunk', 'length': 50.95868167806173}"
1,105466370,105408497,"{'osmid': 11779693, 'ref': 'CR 645', 'name': 'W. R. Tracy Drive', 'highway': 'residential', 'oneway': False, 'length': 271.0350508145409, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC54F8DBE0>}"
2,105466370,105408483,"{'osmid': 242173898, 'oneway': True, 'highway': 'residential', 'length': 600.7446919047585, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC54F8DC50>}"
3,105438722,105438731,"{'osmid': 11776729, 'name': 'Birch Hill Road', 'highway': 'residential', 'oneway': False, 'length': 110.05319270562748, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC54F8DC18>}"
4,105438722,105438695,"{'osmid': 11776729, 'name': 'Birch Hill Road', 'highway': 'residential', 'oneway': False, 'length': 87.3175282118052, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC54F8DC88>}"
5,105438722,105429226,"{'osmid': 11776903, 'name': 'Hickory Lane', 'highway': 'residential', 'oneway': False, 'length': 120.62260442713983, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC54F8DCC0>}"
6,105461764,2914078247,"{'osmid': 11783111, 'name': 'Mill Lane', 'highway': 'residential', 'oneway': False, 'length': 168.13240941052086, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC54F8DCF8>}"
7,105461764,440169592,"{'osmid': 247241973, 'ref': 'CR 577', 'name': 'Springfield Avenue', 'highway': 'secondary', 'oneway': False, 'length': 215.5583959647054, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC54F8DDA0>}"
8,105500166,105450197,"{'osmid': 11783431, 'name': 'Beech Avenue', 'highway': 'residential', 'oneway': False, 'length': 194.2230564983462}"
9,105506826,105435603,"{'osmid': 11784340, 'name': 'Old Farm Road', 'highway': 'residential', 'oneway': False, 'length': 101.03173155429853}"
10,105506826,105395497,"{'osmid': 11784340, 'name': 'Old Farm Road', 'highway': 'residential', 'oneway': False, 'length': 87.51610939527048}"
11,105506826,105491915,"{'osmid': 11785480, 'name': 'Knollcrest Road', 'highway': 'residential', 'oneway': False, 'length': 287.3712820731444, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC54F8DDD8>}"
12,105438731,105438735,"{'osmid': 11776729, 'name': 'Birch Hill Road', 'highway': 'residential', 'oneway': False, 'length': 13.751080737175165}"
