,0,1,2
0,0.0,483.0,{'dist': 0.00067783113679124895}
1,0.0,1.0,{'dist': 0.0010131159854612122}
2,0.0,485.0,{'dist': 0.0013856521930080809}
3,0.0,435.0,{'dist': 0.0019588274553915528}
4,1.0,483.0,{'dist': 0.0011723594372099844}
5,1.0,221.0,{'dist': 0.0016915439692767745}
6,1.0,166.0,{'dist': 0.001879523875881891}
7,2.0,441.0,{'dist': 0.00081203201908236359}
8,2.0,300.0,{'dist': 0.0012510427650653279}
9,2.0,284.0,{'dist': 0.0013671146330844249}
10,2.0,348.0,{'dist': 0.0013716110964766349}
11,3.0,136.0,{'dist': 0.00077288356173798364}
12,3.0,291.0,{'dist': 0.00079125280409937508}
13,3.0,436.0,{'dist': 0.0015922075869732543}
14,3.0,244.0,{'dist': 0.0016025292509021715}
15,3.0,247.0,{'dist': 0.0017161744550059379}
16,4.0,257.0,{'dist': 0.0010347195610388021}
17,4.0,74.0,{'dist': 0.0011941710514046982}
18,4.0,81.0,{'dist': 0.0014255464671427858}
19,4.0,79.0,{'dist': 0.0014729838322189532}
20,5.0,102.0,{'dist': 0.00048303147931424371}
21,5.0,6.0,{'dist': 0.00053789999070007785}
22,5.0,76.0,{'dist': 0.00055432649223388229}
23,5.0,79.0,{'dist': 0.00093915760125932231}
24,5.0,18.0,{'dist': 0.0012968064543333528}
25,6.0,79.0,{'dist': 0.00043653842901063462}
26,6.0,76.0,{'dist': 0.00048168032968143152}
27,6.0,81.0,{'dist': 0.00061300978785635402}
28,6.0,102.0,{'dist': 0.00092149713510456606}
29,7.0,129.0,{'dist': 0.0007734655777762706}
30,7.0,337.0,{'dist': 0.0023159555263449292}
31,7.0,61.0,{'dist': 0.0023490104299434315}
32,7.0,420.0,{'dist': 0.0027837471149535701}
33,8.0,341.0,{'dist': 0.00018194353519294181}
34,8.0,21.0,{'dist': 0.00098806927389268441}
35,8.0,9.0,{'dist': 0.0010535148219192163}
36,8.0,126.0,{'dist': 0.0011394353777211457}
37,8.0,95.0,{'dist': 0.0015442355552119111}
38,8.0,125.0,{'dist': 0.0016143713203651457}
39,9.0,125.0,{'dist': 0.00070369885604822287}
40,9.0,341.0,{'dist': 0.0010976287578176988}
41,9.0,21.0,{'dist': 0.0013233163227284661}
42,9.0,20.0,{'dist': 0.0016881085273201201}
43,9.0,126.0,{'dist': 0.0014176104754102699}
44,10.0,356.0,{'dist': 0.00010679784641898154}
45,10.0,259.0,{'dist': 0.00032294052084444913}
46,10.0,26.0,{'dist': 0.00049413514345899559}
47,10.0,358.0,{'dist': 0.00052434435249999441}
48,11.0,112.0,{'dist': 0.0003541756626243178}
49,11.0,194.0,{'dist': 0.00038090502753151462}
50,11.0,454.0,{'dist': 0.00068067899189314541}
51,11.0,448.0,{'dist': 0.00069044684805467569}
52,11.0,274.0,{'dist': 0.00077090142042093347}
53,11.0,424.0,{'dist': 0.0007791121228559176}
